#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5529087.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5529087.0/GQ22.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5529087.0/GQ22_profile.txt /localscratch/ronj2303.5529087.0/all_reads.fastq
#27604825 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	27.66585	
k__Bacteria	2	72.33415008338763	
k__Bacteria|p__Firmicutes	2|1239	42.084348489020314	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	12.604399253990493	
k__Bacteria|p__Bacteroidota	2|976	6.993497099342182	
k__Bacteria|p__Actinobacteria	2|201174	3.9022176279635206	
k__Bacteria|p__Proteobacteria	2|1224	2.6516831410768904	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	2.1497203065732218	
k__Bacteria|p__Fusobacteria	2|32066	1.6549764202478756	
k__Bacteria|p__Spirochaetes	2|203691	0.14391602500590803	
k__Bacteria|p__Candidatus_Gracilibacteria	2|363464	0.14019081627661356	
k__Bacteria|p__Tenericutes	2|544448	0.007595085758755701	
k__Bacteria|p__Synergistetes	2|508458	0.0015985847168428666	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	22.489287634370907	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	10.239072546263719	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.645186466445646	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.216128214422589	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.888432814299818	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.2508289815597813	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified	2|221235|	2.1497203065732218	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	1.6549764202478756	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	1.136080161209686	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.842931551166741	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314	2|95818|	0.8290650945957557	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.6860894135409317	
k__Bacteria|p__Firmicutes|c__CFGB1762	2|1239|	0.6680420430951264	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.6362150170584359	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	2|95818|2093818	0.6260086684816699	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.324577798254177	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.2787034802712925	
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified	2|363464|	0.14019081627661356	
k__Bacteria|p__Firmicutes|c__CFGB1781	2|1239|	0.1146134608071277	
k__Bacteria|p__Firmicutes|c__CFGB79381	2|1239|	0.0957848815404219	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.07347702965470515	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.06855107403402645	
k__Bacteria|p__Spirochaetes|c__CFGB1017	2|203691|	0.05862682864258567	
k__Bacteria|p__Bacteroidota|c__CFGB570	2|976|	0.04750183635976066	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia	2|95818|2171981	0.037100185577769514	
k__Bacteria|p__Firmicutes|c__CFGB1261	2|1239|	0.03314350756820821	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355	2|95818|	0.03022120790483935	
k__Bacteria|p__Firmicutes|c__CFGB1534	2|1239|	0.021736412100057983	
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified	2|976|	0.01566034349305342	
k__Bacteria|p__Firmicutes|c__CFGB1230	2|1239|	0.013671154365760262	
k__Bacteria|p__Spirochaetes|c__CFGB1023	2|203691|	0.0118121667086172	
k__Bacteria|p__Proteobacteria|c__CFGB4196	2|1224|	0.007725287228905799	
k__Bacteria|p__Tenericutes|c__Tenericutes_unclassified	2|544448|	0.007595085758755701	
k__Bacteria|p__Bacteroidota|c__CFGB497	2|976|	0.004940422450695375	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0015985847168428666	
k__Bacteria|p__Bacteroidota|c__CFGB496	2|976|	0.0015117837367428014	
k__Bacteria|p__Firmicutes|c__CFGB1207	2|1239|	0.00018806879021680782	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	21.557001707606155	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	10.239072546263719	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.645186466445646	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.6621281923489315	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified	2|221235||	2.1497203065732218	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	2.0649808497505333	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	1.7144857255214785	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	1.6549764202478756	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	1.2915551833989194	
k__Bacteria|p__Firmicutes|c__CFGB1764|o__OFGB1764	2|1239||	1.136080161209686	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.9322859267647498	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.842931551166741	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314|o__OFGB9314	2|95818||	0.8290650945957557	
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762	2|1239||	0.6680420430951264	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.6508988495253636	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.6362150170584359	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales	2|95818|2093818|2093819	0.4773692234753167	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.2867470377605652	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.2787034802712925	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.22630462195088655	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.18584813180924784	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales	2|95818|2093818|2093825	0.14863944500635323	
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified|o__Candidatus_Gracilibacteria_unclassified	2|363464||	0.14019081627661356	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.13197365682714074	
k__Bacteria|p__Firmicutes|c__CFGB1781|o__OFGB1781	2|1239||	0.1146134608071277	
k__Bacteria|p__Firmicutes|c__CFGB79381|o__OFGB79381	2|1239||	0.0957848815404219	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.0781136486750503	
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.07347702965470515	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.06855107403402645	
k__Bacteria|p__Spirochaetes|c__CFGB1017|o__OFGB1017	2|203691||	0.05862682864258567	
k__Bacteria|p__Bacteroidota|c__CFGB570|o__OFGB570	2|976||	0.04750183635976066	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	2|1224|1236|135615	0.037830760493611726	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia|o__Candidatus_Nanoperiomorbales	2|95818|2171981|2171983	0.037100185577769514	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.03519056401556808	
k__Bacteria|p__Firmicutes|c__CFGB1261|o__OFGB1261	2|1239||	0.03314350756820821	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355|o__OFGB4355	2|95818||	0.03022120790483935	
k__Bacteria|p__Firmicutes|c__CFGB1534|o__OFGB1534	2|1239||	0.021736412100057983	
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified|o__Bacteroidota_unclassified	2|976||	0.01566034349305342	
k__Bacteria|p__Firmicutes|c__CFGB1230|o__OFGB1230	2|1239||	0.013671154365760262	
k__Bacteria|p__Spirochaetes|c__CFGB1023|o__OFGB1023	2|203691||	0.0118121667086172	
k__Bacteria|p__Proteobacteria|c__CFGB4196|o__OFGB4196	2|1224||	0.007725287228905799	
k__Bacteria|p__Tenericutes|c__Tenericutes_unclassified|o__Mycoplasmoidales	2|544448||2790996	0.007595085758755701	
k__Bacteria|p__Bacteroidota|c__CFGB497|o__OFGB497	2|976||	0.004940422450695375	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.0015985847168428666	
k__Bacteria|p__Bacteroidota|c__CFGB496|o__OFGB496	2|976||	0.0015117837367428014	
k__Bacteria|p__Firmicutes|c__CFGB1207|o__OFGB1207	2|1239||	0.00018806879021680782	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	19.063289116896375	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	2|95818|||	10.239072546263719	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	7.032557540387212	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	5.735555595487013	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	4.689343382340929	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	2.6621281923489315	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified|f__Candidatus_Absconditabacteria_unclassified	2|221235|||	2.1497203065732218	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	2.0649808497505333	
