name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	2270514	887300	3157814	0.26618
Bacteroides uniformis	820	S	742453	842006	1584459	0.13356
Bacteroides thetaiotaomicron	818	S	120727	32449	153176	0.01291
Bacteroides ovatus	28116	S	62310	185327	247637	0.02087
Bacteroides caccae	47678	S	56458	7227	63685	0.00537
Bacteroides eggerthii	28111	S	14666	5225	19891	0.00168
Bacteroides intestinalis	329854	S	10774	1200	11974	0.00101
Bacteroides xylanisolvens	371601	S	10130	17737	27867	0.00235
Bacteroides sp. DH3716P	2847299	S	3299	47314	50613	0.00427
Bacteroides sp. M10	2763022	S	1581	1521	3102	0.00026
Bacteroides sp. CACC 737	2755405	S	1150	7182	8332	0.00070
Bacteroides sp. D2	556259	S	914	1762	2676	0.00023
Bacteroides sp. A1C1	2528203	S	816	6936	7752	0.00065
Bacteroides sp. HF-162	2785531	S	285	3380	3665	0.00031
Bacteroides sp. ZJ-18	2709390	S	39	350	389	0.00003
Bacteroides sp. MSB163	3117552	S	7	2	9	0.00000
Bacteroides sp. BFG-637	2972764	S	1	36	37	0.00000
Bacteroides fragilis	817	S	6857	121853	128710	0.01085
Bacteroides faecis	674529	S	5303	2460	7763	0.00065
Bacteroides nordii	291645	S	2080	134	2214	0.00019
Bacteroides finegoldii	338188	S	1624	982	2606	0.00022
Bacteroides salyersiae	291644	S	1359	181	1540	0.00013
Bacteroides humanifaecis	2792859	S	734	7309	8043	0.00068
Bacteroides zhangwenhongii	2650157	S	579	549	1128	0.00010
Bacteroides helcogenes	290053	S	478	7	485	0.00004
Bacteroides caecimuris	1796613	S	297	105	402	0.00003
Bacteroides cellulosilyticus	246787	S	220	186	406	0.00003
Bacteroides faecium	2715212	S	175	6	181	0.00002
Bacteroides luhongzhouii	2650158	S	97	22	119	0.00001
Bacteroides heparinolyticus	28113	S	55	9	64	0.00001
Bacteroides zoogleoformans	28119	S	37	7	44	0.00000
Bacteroides graminisolvens	477666	S	16	0	16	0.00000
uncultured Bacteroides sp.	162156	S	2	0	2	0.00000
Bacteroides sedimenti	2136147	S	2	0	2	0.00000
Phocaeicola dorei	357276	S	789322	455488	1244810	0.10493
Phocaeicola vulgatus	821	S	61406	32426	93832	0.00791
Phocaeicola coprophilus	387090	S	2029	819	2848	0.00024
Phocaeicola salanitronis	376805	S	352	34	386	0.00003
Alistipes onderdonkii	328813	S	172727	37382	210109	0.01771
Alistipes shahii	328814	S	36777	24313	61090	0.00515
Alistipes communis	2585118	S	18555	2101	20656	0.00174
Alistipes finegoldii	214856	S	18018	8185	26203	0.00221
Alistipes senegalensis	1288121	S	829	141	970	0.00008
Alistipes ihumii	1470347	S	703	4	707	0.00006
Alistipes dispar	2585119	S	567	46	613	0.00005
uncultured Alistipes sp.	538949	S	352	31	383	0.00003
Alistipes sp. i18-0019-D1	3132707	S	249	57	306	0.00003
Alistipes sp. dk3624	2662363	S	62	3	65	0.00001
Alistipes megaguti	2364787	S	39	3	42	0.00000
Alistipes indistinctus	626932	S	5	0	5	0.00000
Parabacteroides merdae	46503	S	177374	43299	220673	0.01860
Parabacteroides distasonis	823	S	26872	36186	63058	0.00532
Parabacteroides faecis	1217282	S	24599	2243	26842	0.00226
Parabacteroides chongii	2685834	S	1124	97	1221	0.00010
Parabacteroides sp. AD58	2951805	S	1092	97	1189	0.00010
Parabacteroides sp. CT06	2025876	S	15	761	776	0.00007
Parabacteroides johnsonii	387661	S	906	97	1003	0.00008
Parabacteroides goldsteinii	328812	S	898	120	1018	0.00009
Tannerella forsythia	28112	S	15	7	22	0.00000
Tannerella serpentiformis	712710	S	4	0	4	0.00000
Paraprevotella clara	454154	S	38229	2559	40788	0.00344
Paraprevotella xylaniphila	454155	S	365	47	412	0.00003
Segatella copri	165179	S	695	62	757	0.00006
Segatella hominis	2518605	S	15	4	19	0.00000
Segatella oris	28135	S	1	0	1	0.00000
Prevotella nigrescens	28133	S	33	354	387	0.00003
Prevotella intermedia	28131	S	17	45	62	0.00001
Prevotella melaninogenica	28132	S	8	18	26	0.00000
Prevotella corporis	28128	S	3	1	4	0.00000
Prevotella sp. Rep29	2691580	S	1	0	1	0.00000
Hoylesella buccalis	28127	S	14	2	16	0.00000
Hoylesella enoeca	76123	S	1	0	1	0.00000
Odoribacter splanchnicus	28118	S	18708	1222	19930	0.00168
Butyricimonas faecihominis	1472416	S	4308	1743	6051	0.00051
Butyricimonas paravirosa	1472417	S	201	85	286	0.00002
Butyricimonas faecalis	2093856	S	173	97	270	0.00002
Butyricimonas virosa	544645	S	59	6	65	0.00001
Barnesiella viscericola	397865	S	479	162	641	0.00005
Barnesiella sp. An22	1965590	S	65	17	82	0.00001
Coprobacter secundus	1501392	S	35	5	40	0.00000
Coprobacter fastidiosus	1099853	S	6	0	6	0.00000
Porphyromonas gingivalis	837	S	132	76	208	0.00002
Porphyromonas crevioricanis	393921	S	40	11	51	0.00000
Porphyromonas endodontalis	28124	S	21	6	27	0.00000
Porphyromonas cangingivalis	36874	S	11	12	23	0.00000
Porphyromonas somerae	322095	S	2	0	2	0.00000
Muribaculum intestinale	1796646	S	124	2	126	0.00001
Muribaculum gordoncarteri	2530390	S	27	0	27	0.00000
Duncaniella dubosii	2518971	S	14	0	14	0.00000
Sodaliphilus pleomorphus	2606626	S	11	0	11	0.00000
Dysgonomonas capnocytophagoides	45254	S	40	2	42	0.00000
Alkalitalea saponilacus	889453	S	1	0	1	0.00000
Capnocytophaga canimorsus	28188	S	11	8	19	0.00000
Capnocytophaga stomatis	1848904	S	2	6	8	0.00000
Flavobacterium eburneipallidum	3003263	S	1	0	1	0.00000
Sphingobacterium daejeonense	371142	S	4	1	5	0.00000
Mucilaginibacter gotjawali	1550579	S	1	1	2	0.00000
Akkermansia sp. BCRC 18949	3037987	S	20536	77482	98018	0.00826
Akkermansia sp. EB-AMDK43	3073964	S	125	11108	11233	0.00095
Akkermansia sp. AE01SA01	3115151	S	1	5	6	0.00000
Akkermansia massiliensis	2927224	S	1945	6844	8789	0.00074
Akkermansia muciniphila	239935	S	233	26	259	0.00002
Luteolibacter sp. LG18	2819286	S	1	0	1	0.00000
Escherichia coli	562	S	340	20696	21036	0.00177
Escherichia albertii	208962	S	1	2	3	0.00000
Escherichia sp. KS167_9B	2509666	S	1	56	57	0.00000
Klebsiella pneumoniae	573	S	12	1909	1921	0.00016
Klebsiella quasipneumoniae	1463165	S	4	116	120	0.00001
Klebsiella aerogenes	548	S	1	7	8	0.00000
Klebsiella variicola	244366	S	1	111	112	0.00001
Enterobacter cloacae	550	S	1	21	22	0.00000
Enterobacter roggenkampii	1812935	S	1	16	17	0.00000
Salmonella enterica	28901	S	2	354	356	0.00003
Shigella dysenteriae	622	S	1	38	39	0.00000
Serratia symbiotica	138074	S	1	0	1	0.00000
Candidatus Sodalis pierantonius	1486991	S	1	0	1	0.00000
Haemophilus parainfluenzae	729	S	1684	4972	6656	0.00056
Haemophilus influenzae	727	S	3	11	14	0.00000
Haemophilus haemolyticus	726	S	1	2	3	0.00000
Haemophilus sp. oral taxon 036	712310	S	1	1	2	0.00000
Aggregatibacter sp. 2125159857	2820817	S	1	4	5	0.00000
Aggregatibacter aphrophilus	732	S	1	3	4	0.00000
Gallibacterium salpingitidis	505341	S	2	1	3	0.00000
Bibersteinia trehalosi	47735	S	1	1	2	0.00000
Pseudomonas aeruginosa	287	S	139	11406	11545	0.00097
Xanthomonas campestris	339	S	3	6	9	0.00000
Xanthomonas vesicatoria	56460	S	1	8	9	0.00000
Acinetobacter seifertii	1530123	S	4	27	31	0.00000
Acinetobacter haemolyticus	29430	S	2	8	10	0.00000
Cardiobacterium hominis	2718	S	4	19	23	0.00000
Bartonella krasnovii	2267275	S	1832	496	2328	0.00020
Agrobacterium tumefaciens	358	S	1	6	7	0.00000
Pararhizobium sp. A13	3133975	S	1	0	1	0.00000
Komagataeibacter oboediens	65958	S	103	260	363	0.00003
Turicimonas muris	1796652	S	82	189	271	0.00002
Duodenibacillus massiliensis	1852381	S	39	57	96	0.00001
Sutterella wadsworthensis	40545	S	10	24	34	0.00000
Sutterella megalosphaeroides	2494234	S	2	6	8	0.00000
Sutterella faecalis	2584944	S	1	2	3	0.00000
Burkholderia multivorans	87883	S	50	380	430	0.00004
Oxalobacter formigenes	847	S	2	10	12	0.00000
Caldimonas aquatica	376175	S	1	26	27	0.00000
Neisseria subflava	28449	S	4	32	36	0.00000
Neisseria sp. Marseille-Q5346	2972775	S	2	20	22	0.00000
Neisseria sp. Marseille-Q6792	2937985	S	1	11	12	0.00000
Neisseria mucosa	488	S	1	19	20	0.00000
Neisseria sicca	490	S	1	10	11	0.00000
Campylobacter jejuni	197	S	312	2582	2894	0.00024
Campylobacter concisus	199	S	13	1	14	0.00000
Campylobacter coli	195	S	7	13	20	0.00000
Desulfovibrio sp. G11	631220	S	36	103	139	0.00001
Desulfovibrio piger	901	S	25	74	99	0.00001
Desulfovibrio fairfieldensis	44742	S	16	5	21	0.00000
Desulfovibrio desulfuricans	876	S	8	3	11	0.00000
Nitratidesulfovibrio vulgaris	881	S	3	6	9	0.00000
Nitratidesulfovibrio liaohensis	2604158	S	1	1	2	0.00000
uncultured Mailhella sp.	1981031	S	6	21	27	0.00000
Megalodesulfovibrio gigas	879	S	1	0	1	0.00000
Geobacter sulfurreducens	35554	S	1	5	6	0.00000
Treponema phagedenis	162	S	36	18	54	0.00000
Treponema pedis	409322	S	6	2	8	0.00000
Treponema peruense	2787628	S	2	0	2	0.00000
Treponema denticola	158	S	2	7	9	0.00000
Treponema sp. OMZ 857	1643513	S	1	1	2	0.00000
Persephonella marina	309805	S	1	0	1	0.00000
Faecalibacterium prausnitzii	853	S	47650	104997	152647	0.01287
Faecalibacterium sp. I4-3-84	2929495	S	3398	17002	20400	0.00172
Faecalibacterium sp. i21-0019-B1	3141184	S	2778	25903	28681	0.00242
Faecalibacterium sp. IP-3-29	2929489	S	2529	12402	14931	0.00126
Faecalibacterium sp. I3-3-89	2929493	S	2468	2609	5077	0.00043
Faecalibacterium sp. I2-3-92	2929490	S	1797	9474	11271	0.00095
Faecalibacterium sp. i25-0019-C1	3141185	S	1566	20007	21573	0.00182
Faecalibacterium sp. I4-1-79	2929494	S	743	1264	2007	0.00017
Faecalibacterium sp. I3-3-33	2929492	S	583	735	1318	0.00011
Faecalibacterium sp. IP-1-18	2929488	S	576	10175	10751	0.00091
Faecalibacterium duncaniae	411483	S	5089	32544	37633	0.00317
Faecalibacterium taiwanense	3030638	S	4548	44516	49064	0.00414
Faecalibacterium wellingii	2929491	S	712	1707	2419	0.00020
Ruminococcus sp. SR1/5	657323	S	4783	17141	21924	0.00185
Ruminococcus sp. FMBCY1	2831966	S	10	234065	234075	0.01973
Ruminococcus champanellensis	1161942	S	222	261	483	0.00004
Ruminococcus bovis	2564099	S	176	43	219	0.00002
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	130	141	271	0.00002
Ruminococcus gauvreauii	438033	S	44	15	59	0.00000
Ruminococcus albus	1264	S	2	0	2	0.00000
Vescimonas coprocola	2714355	S	112933	71653	184586	0.01556
Vescimonas fastidiosa	2714353	S	4669	3553	8222	0.00069
Ruthenibacterium lactatiformans	1550024	S	35787	8775	44562	0.00376
Ruthenibacterium sp. TH_2024_36131	3136601	S	1413	1039	2452	0.00021
Flavonifractor plautii	292800	S	29806	5890	35696	0.00301
Lawsonibacter asaccharolyticus	2108523	S	22645	6428	29073	0.00245
Anaerotruncus colihominis	169435	S	14560	8069	22629	0.00191
Oscillibacter sp. PEA192	2109687	S	11793	67366	79159	0.00667
Oscillibacter hominis	2763056	S	2489	850	3339	0.00028
Dysosmobacter welbionis	2093857	S	10679	57576	68255	0.00575
Pusillibacter faecalis	2714358	S	5904	2968	8872	0.00075
Subdoligranulum variabile	214851	S	1815	2181	3996	0.00034
uncultured Subdoligranulum sp.	512298	S	564	1061	1625	0.00014
Pseudoflavonifractor gallinarum	2779352	S	1013	635	1648	0.00014
Solibaculum mannosilyticum	2780922	S	224	153	377	0.00003
Caproicibacterium argilliputei	3030016	S	36	16	52	0.00000
Caproicibacterium sp. BJN0003	2994078	S	4	0	4	0.00000
Caproicibacterium lactatifermentans	2666138	S	3	1	4	0.00000
Mageeibacillus indolicus	884684	S	41	71	112	0.00001
Paludicola sp. MB14-C6	3070656	S	5	0	5	0.00000
Thermocaproicibacter melissae	2966552	S	3	0	3	0.00000
Ethanoligenens harbinense	253239	S	2	0	2	0.00000
