name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blautia_A wexlerae	60863	S	122240	2676792	2799032	0.07653
Blautia_A fusiformis	60759	S	50711	828036	878747	0.02403
Blautia_A faecis	60758	S	31857	210206	242063	0.00662
Blautia_A ammoniilytica	60749	S	31287	310585	341872	0.00935
Blautia_A gallistercoris	60760	S	15449	5965	21414	0.00059
Blautia_A sp900066355	60808	S	14137	173496	187633	0.00513
Blautia_A wexlerae_B	60864	S	11908	148403	160311	0.00438
Blautia_A wexlerae_C	60865	S	10533	282076	292609	0.00800
Blautia_A hydrogenotrophica	60761	S	4941	5438	10379	0.00028
Blautia_A sp019419095	60784	S	4505	45682	50187	0.00137
Blautia_A sp003471165	60771	S	3774	36224	39998	0.00109
Blautia_A sp900548245	60815	S	3251	39671	42922	0.00117
Blautia_A difficilis	60752	S	3139	18822	21961	0.00060
Blautia_A sp900066205	60806	S	2850	42024	44874	0.00123
Blautia_A sp900751995	60821	S	1904	45150	47054	0.00129
Blautia_A intestinalis	60762	S	1756	18496	20252	0.00055
Blautia_A sp905209435	60828	S	1701	3786	5487	0.00015
Blautia_A sp003474435	60772	S	1451	13537	14988	0.00041
Blautia_A caecimuris	60751	S	1414	8399	9813	0.00027
Blautia_A obeum	60767	S	1396	13642	15038	0.00041
Blautia_A sp003477525	60773	S	801	6833	7634	0.00021
Blautia_A sp938028845	60849	S	664	2528	3192	0.00009
Blautia_A sp900066335	60807	S	603	5350	5953	0.00016
Blautia_A acetigignens	60748	S	535	3457	3992	0.00011
Blautia_A sp900764225	60823	S	507	1883	2390	0.00007
Blautia_A sp905206915	60827	S	329	3258	3587	0.00010
Blautia_A sp934371915	60833	S	324	559	883	0.00002
Blautia_A sp018919065	60782	S	312	962	1274	0.00003
Blautia_A sp900120195	60809	S	284	3070	3354	0.00009
Blautia_A excrementipullorum	60754	S	270	717	987	0.00003
Blautia_A sp900763175	60822	S	265	1096	1361	0.00004
Blautia_A sp000436615	60770	S	262	2400	2662	0.00007
Blautia_A luti	60766	S	173	1315	1488	0.00004
Blautia_A intestinipullorum	60765	S	92	345	437	0.00001
Blautia_A sp934394545	60837	S	88	64	152	0.00000
Blautia_A sp934424005	60842	S	81	196	277	0.00001
Blautia_A schinkii_B	60769	S	79	566	645	0.00002
Blautia_A sp028767025	60794	S	67	235	302	0.00001
Blautia_A sp934408705	60840	S	59	20	79	0.00000
Blautia_A avistercoris	60750	S	59	78	137	0.00000
Blautia_A faecavium	60755	S	55	159	214	0.00001
Blautia_A sp934371575	60832	S	54	74	128	0.00000
Blautia_A sp900316115	60810	S	45	25	70	0.00000
Blautia_A sp029101305	60795	S	43	16	59	0.00000
Blautia_A sp934437695	60845	S	40	23	63	0.00000
Blautia_A sp934409175	60841	S	39	9	48	0.00000
Blautia_A excrementigallinarum	60753	S	33	61	94	0.00000
Blautia_A sp934378195	60836	S	31	12	43	0.00000
Blautia_A faecipullorum	60757	S	29	2	31	0.00000
