#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.6818000.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.6818000.0/SRR19064637.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.6818000.0/SRR19064637_profile.txt /localscratch/ronj2303.6818000.0/all_reads.fastq
#32734265 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.55275	
k__Bacteria	2	84.3860677121033	
k__Archaea	2157	0.06118203243992157	
k__Bacteria|p__Firmicutes	2|1239	54.2785542205549	
k__Bacteria|p__Bacteroidota	2|976	24.483960012934908	
k__Bacteria|p__Bacillota	2|1239	2.4403059547679637	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.857756049830249	
k__Bacteria|p__Actinobacteria	2|201174	0.8097140094505784	
k__Bacteria|p__Proteobacteria	2|1224	0.7474172733140287	
k__Bacteria|p__Verrucomicrobia	2|74201	0.6162791391857275	
k__Bacteria|p__Tenericutes	2|544448	0.13940551987829197	
k__Archaea|p__Euryarchaeota	2157|28890	0.06118203243992157	
k__Bacteria|p__Bacteria_unclassified	2|	0.012244851212958768	
k__Bacteria|p__Synergistetes	2|508458	0.0004475704236460791	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	24.483960012934908	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	4.206697522399549	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.4403059547679637	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.6318839882384768	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.1234270975265819	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.7085799831565134	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.6335992701083334	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.6304156087929641	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.6162791391857275	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.46368295889733796	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.4281137773049363	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.4256816965122935	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.42374785449314345	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.37196480094978956	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.3217271320767608	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.31450689222360234	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.26839869386308174	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.2623100471565002	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.19912661489763295	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.14916762194876115	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.145781287234005	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.14301141744238396	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.13940551987829197	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.13327464954683813	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.10907206777005203	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.08451480754433886	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.08416857382038623	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.0775225752654907	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.0774465727407206	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.06295542468455698	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.06118203243992157	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.057787253000190934	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.05620808942996797	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.055887189880938715	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.04773803028059029	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.045204612788253995	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.04342277581864413	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.04235029574688843	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.0367345536388763	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.036160312340613406	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.03456425932044154	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.03153260305461244	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.03107658790599191	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.026541770594709937	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.025731076997162323	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.02568885337229005	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.02260652875661422	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.02152560395988407	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.020064666539303472	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.01369734390856491	
k__Bacteria|p__Firmicutes|c__CFGB11916	2|1239|	0.013190660410097652	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.012244851212958768	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.010834582142224896	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.00980432569534147	
k__Bacteria|p__Firmicutes|c__CFGB9583	2|1239|	0.006629109104946643	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.006612219654997735	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.006553106580176555	
k__Bacteria|p__Firmicutes|c__CFGB30328	2|1239|	0.005852194407296846	
