#Classification	GQ1_bracken_P.kreport
k__Bacteria	3995045
k__Bacteria|p__Actinobacteria	1642643
k__Bacteria|p__Firmicutes	1382030
k__Bacteria|p__Tenericutes	122
k__Bacteria|p__Cyanobacteria	12
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Deinococcus-Thermus	7
k__Bacteria|p__Proteobacteria	551185
k__Bacteria|p__Bacteroidetes	384227
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Fusobacteria	24348
k__Bacteria|p__Spirochaetes	5694
k__Bacteria|p__Candidatus_Saccharibacteria	3852
k__Bacteria|p__Synergistetes	888
k__Bacteria|p__Planctomycetes	10
k__Bacteria|p__Verrucomicrobia	7
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Thermotogae	3
k__Bacteria|p__Acidobacteria	2
k__Bacteria|p__Aquificae	1
k__Eukaryota	8352
k__Eukaryota|k__Metazoa	7777
k__Eukaryota|k__Metazoa|p__Chordata	7777
k__Eukaryota|k__Fungi	77
k__Eukaryota|k__Fungi|p__Basidiomycota	58
k__Eukaryota|k__Fungi|p__Ascomycota	19
k__Eukaryota|k__Viridiplantae	486
k__Eukaryota|k__Viridiplantae|p__Streptophyta	485
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|p__Apicomplexa	11
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	689
k__Viruses|k__Heunggongvirae	689
k__Viruses|k__Heunggongvirae|p__Uroviricota	433
k__Viruses|k__Heunggongvirae|p__Peploviricota	256
