#Classification	GQ16_bracken_C.kreport
k__Bacteria	3143251
k__Bacteria|p__Firmicutes	1540811
k__Bacteria|p__Firmicutes|c__Bacilli	1380081
k__Bacteria|p__Firmicutes|c__Negativicutes	154133
k__Bacteria|p__Firmicutes|c__Clostridia	6073
k__Bacteria|p__Firmicutes|c__Tissierellia	438
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	84
k__Bacteria|p__Actinobacteria	571226
k__Bacteria|p__Actinobacteria|c__Actinomycetia	570443
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	782
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	1
k__Bacteria|p__Tenericutes	586
k__Bacteria|p__Tenericutes|c__Mollicutes	586
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Tepidiformia	1
k__Bacteria|p__Proteobacteria	672349
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	361093
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	289558
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	20207
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1213
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	274
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	2
k__Bacteria|p__Bacteroidetes	281968
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	248943
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	32963
k__Bacteria|p__Bacteroidetes|c__Cytophagia	40
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	11
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	10
k__Bacteria|p__Fusobacteria	62774
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	62774
k__Bacteria|p__Candidatus_Saccharibacteria	6967
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	6967
k__Bacteria|p__Spirochaetes	5937
k__Bacteria|p__Spirochaetes|c__Spirochaetia	5937
k__Bacteria|p__Synergistetes	620
k__Bacteria|p__Synergistetes|c__Synergistia	620
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	1
k__Bacteria|p__Acidobacteria	2
k__Bacteria|p__Acidobacteria|c__Blastocatellia	1
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1
k__Bacteria|p__Thermotogae	2
k__Bacteria|p__Thermotogae|c__Thermotogae	2
k__Eukaryota	10816
k__Eukaryota|k__Metazoa	8743
k__Eukaryota|k__Metazoa|p__Chordata	8743
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	8743
k__Eukaryota|k__Fungi	76
k__Eukaryota|k__Fungi|p__Basidiomycota	72
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	72
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	2
k__Eukaryota|k__Viridiplantae	1652
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1652
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1652
k__Eukaryota|p__Apicomplexa	331
k__Eukaryota|p__Apicomplexa|c__Conoidasida	292
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	38
k__Eukaryota|p__Euglenozoa	13
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	13
k__Archaea	7
k__Archaea|p__Euryarchaeota	6
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2
k__Archaea|p__Euryarchaeota|c__Methanococci	2
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	1
k__Archaea|p__Euryarchaeota|c__Halobacteria	1
k__Archaea|p__Crenarchaeota	1
k__Archaea|p__Crenarchaeota|c__Thermoprotei	1
k__Viruses	612
k__Viruses|k__Heunggongvirae	608
k__Viruses|k__Heunggongvirae|p__Uroviricota	599
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	599
k__Viruses|k__Heunggongvirae|p__Peploviricota	9
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	9
k__Viruses|k__Shotokuvirae	4
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	2
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota|c__Arfiviricetes	2
k__Viruses|k__Shotokuvirae|p__Cossaviricota	2
k__Viruses|k__Shotokuvirae|p__Cossaviricota|c__Papovaviricetes	2
