#Classification	GQ12_bracken_C.kreport
k__Bacteria	948047
k__Bacteria|p__Firmicutes	493727
k__Bacteria|p__Firmicutes|c__Bacilli	464729
k__Bacteria|p__Firmicutes|c__Negativicutes	26443
k__Bacteria|p__Firmicutes|c__Clostridia	2040
k__Bacteria|p__Firmicutes|c__Tissierellia	514
k__Bacteria|p__Actinobacteria	241344
k__Bacteria|p__Actinobacteria|c__Actinomycetia	241068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	275
k__Bacteria|p__Tenericutes	14
k__Bacteria|p__Tenericutes|c__Mollicutes	14
k__Bacteria|p__Proteobacteria	126784
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	100296
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	22245
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	4218
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	24
k__Bacteria|p__Bacteroidetes	74379
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	70862
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3517
k__Bacteria|p__Fusobacteria	10394
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	10394
k__Bacteria|p__Spirochaetes	877
k__Bacteria|p__Spirochaetes|c__Spirochaetia	877
k__Bacteria|p__Candidatus_Saccharibacteria	522
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	522
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Synergistetes|c__Synergistia	3
k__Eukaryota	4671
k__Eukaryota|k__Metazoa	4629
k__Eukaryota|k__Metazoa|p__Chordata	4629
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	4629
k__Eukaryota|k__Fungi	37
k__Eukaryota|k__Fungi|p__Ascomycota	37
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	37
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Viruses	25
k__Viruses|k__Heunggongvirae	25
k__Viruses|k__Heunggongvirae|p__Peploviricota	19
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	19
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	6
