#Classification	GQ13_bracken_F.kreport
k__Bacteria	3156200
k__Bacteria|p__Proteobacteria	1625281
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1111003
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1103916
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	1103916
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	3542
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	3542
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	3496
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	3496
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	27
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	27
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	5
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	495094
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	471396
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	471396
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	23693
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	23577
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	116
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	4
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	19104
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	19104
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	19104
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	78
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	28
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	1
k__Bacteria|p__Firmicutes	750513
k__Bacteria|p__Firmicutes|c__Bacilli	645605
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	636327
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	423730
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	20797
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	6827
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1049
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	183922
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	9278
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	9278
k__Bacteria|p__Firmicutes|c__Negativicutes	86125
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	81087
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	81087
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5038
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	5038
k__Bacteria|p__Firmicutes|c__Clostridia	11487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	11487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	8949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	1774
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	644
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	114
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	5
k__Bacteria|p__Firmicutes|c__Tissierellia	7267
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	7267
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	7267
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	26
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	26
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	26
k__Bacteria|p__Actinobacteria	374506
k__Bacteria|p__Actinobacteria|c__Actinomycetia	374386
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	364113
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	364070
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae	32
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae	10
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	6388
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	6388
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2348
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2343
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1531
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	1531
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	120
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	117
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	117
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	3
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	3
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Tenericutes|c__Mollicutes	1
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	1
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	1
k__Bacteria|p__Bacteroidetes	366610
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	343322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	343322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	339233
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2898
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1185
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	3
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	23288
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	23288
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	23275
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	13
k__Bacteria|p__Fusobacteria	31355
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	31355
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	31355
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	23729
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	7625
k__Bacteria|p__Candidatus_Saccharibacteria	4800
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	4800
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	4800
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae	4800
k__Bacteria|p__Spirochaetes	2999
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2999
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2999
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae	2999
k__Bacteria|p__Synergistetes	131
k__Bacteria|p__Synergistetes|c__Synergistia	131
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	131
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	131
k__Eukaryota	3058
k__Eukaryota|k__Metazoa	2928
k__Eukaryota|k__Metazoa|p__Chordata	2928
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2928
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	2928
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	2928
k__Eukaryota|k__Fungi	67
k__Eukaryota|k__Fungi|p__Ascomycota	67
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	67
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	67
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	67
k__Eukaryota|k__Viridiplantae	62
k__Eukaryota|k__Viridiplantae|p__Streptophyta	62
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	62
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	30
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae	30
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	19
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales|f__Musaceae	19
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales|f__Fabaceae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae	5
k__Viruses	25
k__Viruses|k__Heunggongvirae	25
k__Viruses|k__Heunggongvirae|p__Peploviricota	23
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	23
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes|o__Herpesvirales	23
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae	23
k__Viruses|k__Heunggongvirae|p__Uroviricota	2
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	2
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	2
