#Classification	GQ17b_bracken_C.kreport
k__Bacteria	8441703
k__Bacteria|p__Firmicutes	5783084
k__Bacteria|p__Firmicutes|c__Bacilli	4513855
k__Bacteria|p__Firmicutes|c__Negativicutes	1186417
k__Bacteria|p__Firmicutes|c__Clostridia	79680
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	500
k__Bacteria|p__Firmicutes|c__Tissierellia	2630
k__Bacteria|p__Actinobacteria	414361
k__Bacteria|p__Actinobacteria|c__Actinomycetia	414177
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	184
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Tenericutes|c__Mollicutes	9
k__Bacteria|p__Bacteroidetes	1672597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1665554
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	7042
k__Bacteria|p__Proteobacteria	422188
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	130767
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	90997
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	200349
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	72
k__Bacteria|p__Fusobacteria	148199
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	148199
k__Bacteria|p__Candidatus_Saccharibacteria	1078
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	1078
k__Bacteria|p__Spirochaetes	173
k__Bacteria|p__Spirochaetes|c__Spirochaetia	173
k__Bacteria|p__Synergistetes	10
k__Bacteria|p__Synergistetes|c__Synergistia	10
k__Eukaryota	6964
k__Eukaryota|k__Metazoa	4595
k__Eukaryota|k__Metazoa|p__Chordata	4595
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	4595
k__Eukaryota|k__Viridiplantae	2365
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2365
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2365
k__Eukaryota|p__Apicomplexa	3
k__Eukaryota|p__Apicomplexa|c__Conoidasida	3
k__Viruses	175
k__Viruses|k__Heunggongvirae	175
k__Viruses|k__Heunggongvirae|p__Uroviricota	165
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	165
k__Viruses|k__Heunggongvirae|p__Peploviricota	10
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	10
