#Classification	GQ24_bracken_P.kreport
k__Bacteria	2497508
k__Bacteria|p__Firmicutes	1870021
k__Bacteria|p__Actinobacteria	186505
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Bacteroidetes	322283
k__Bacteria|p__Proteobacteria	112708
k__Bacteria|p__Fusobacteria	4315
k__Bacteria|p__Candidatus_Saccharibacteria	1603
k__Bacteria|p__Spirochaetes	66
k__Bacteria|p__Synergistetes	3
k__Eukaryota	3604
k__Eukaryota|k__Metazoa	3246
k__Eukaryota|k__Metazoa|p__Chordata	3246
k__Eukaryota|k__Fungi	23
k__Eukaryota|k__Fungi|p__Basidiomycota	23
k__Eukaryota|k__Viridiplantae	331
k__Eukaryota|k__Viridiplantae|p__Streptophyta	331
k__Eukaryota|p__Apicomplexa	2
k__Viruses	6
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	3
k__Viruses|k__Heunggongvirae|p__Peploviricota	3
