#Classification	GQ8_bracken_P.kreport
k__Bacteria	13955770
k__Bacteria|p__Firmicutes	12173326
k__Bacteria|p__Actinobacteria	1098383
k__Bacteria|p__Tenericutes	206
k__Bacteria|p__Deinococcus-Thermus	17
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	366938
k__Bacteria|p__Proteobacteria	150272
k__Bacteria|p__Fusobacteria	139344
k__Bacteria|p__Candidatus_Saccharibacteria	22745
k__Bacteria|p__Spirochaetes	3837
k__Bacteria|p__Synergistetes	698
k__Eukaryota	11762
k__Eukaryota|k__Viridiplantae	6002
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5995
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	7
k__Eukaryota|k__Metazoa	5385
k__Eukaryota|k__Metazoa|p__Chordata	5385
k__Eukaryota|k__Fungi	344
k__Eukaryota|k__Fungi|p__Basidiomycota	334
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|p__Apicomplexa	29
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	16734
k__Viruses|k__Heunggongvirae	16734
k__Viruses|k__Heunggongvirae|p__Uroviricota	16697
k__Viruses|k__Heunggongvirae|p__Peploviricota	37
