#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5528064.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5528064.0/GQ3.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5528064.0/GQ3_profile.txt /localscratch/ronj2303.5528064.0/all_reads.fastq
#18875577 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	37.91402	
k__Bacteria	2	62.085978306582525	
k__Bacteria|p__Firmicutes	2|1239	36.484514721971685	
k__Bacteria|p__Actinobacteria	2|201174	12.804413490818998	
k__Bacteria|p__Bacteroidota	2|976	6.60999609760597	
k__Bacteria|p__Proteobacteria	2|1224	3.481936878378914	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	1.8588417733034195	
k__Bacteria|p__Fusobacteria	2|32066	0.7792845739107318	
k__Bacteria|p__Spirochaetes	2|203691	0.053344272561015704	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	0.013652706629617496	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	29.02398418175035	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	11.84509820561267	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.499545142198559	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.144071193032323	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.6485379389855326	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	1.154904742665556	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.9593152852063291	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	0.8248246389986101	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.7792845739107318	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314	2|95818|	0.6333576904989403	
