#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5578777.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.5578777.0/S-8-DICUND-B.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5578777.0/S-8-DICUND-B_profile.txt /localscratch/ronj2303.5578777.0/all_reads.fastq
#25199747 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	99.0903	
k__Bacteria	2	0.9097000210155761	
k__Bacteria|p__Actinobacteria	2|201174	0.5607737525248019	
k__Bacteria|p__Proteobacteria	2|1224	0.30344199520001236	
k__Bacteria|p__Verrucomicrobia	2|74201	0.038347585655892705	
k__Bacteria|p__Acidobacteria	2|57723	0.007136687634869297	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.5607737525248019	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.13175094434366488	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.11576542266437287	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.05592562819197458	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_unclassified	2|74201|	0.038347585655892705	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.007136687634869297	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	2|201174|1760|85012	0.5607737525248019	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.13175094434366488	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.07952624874718797	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2|1224|1236|1775403	0.05592562819197458	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_unclassified|o__Verrucomicrobia_unclassified	2|74201||	0.038347585655892705	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.0362391739171849	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0.007136687634869297	
