#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.69500.0 --bowtie2db /net/nfs-ip34/fast/def-ilafores/metaphlan4_db/2025 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --bowtie2out /localscratch/ronj2303.69500.0/S-3-POLCOM-G.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.69500.0/S-3-POLCOM-G_profile.txt /localscratch/ronj2303.69500.0/all_reads.fastq
#16075859 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	99.3684	
k__Bacteria	2	0.6315982898745661	
k__Bacteria|p__Pseudomonadota	2|1224	0.5678736856963036	
k__Bacteria|p__Actinomycetota	2|201174	0.06372460417826245	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.375623819155057	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.16052089485110793	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.06372460417826245	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.031728971690138705	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	2|1224|28211|3120395	0.22436272367197108	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.16052089485110793	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.12787901099278454	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.06372460417826245	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	0.031728971690138705	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.02338214765013036	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae	2|1224|28211|3120395|433	0.16562900918029747	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	2|1224|28216|80840|119060	0.16052089485110793	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae	2|1224|28211|356|45404	0.0963978784715926	
