#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.70600.0 --bowtie2db /net/nfs-ip34/fast/def-ilafores/metaphlan4_db/2025 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --bowtie2out /localscratch/ronj2303.70600.0/GQ38.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.70600.0/GQ38_profile.txt /localscratch/ronj2303.70600.0/all_reads.fastq
#80846392 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	14.95403	
k__Bacteria	2	85.04597045433512	
k__Bacteria|p__Firmicutes	2|1239	56.128239864390956	
k__Bacteria|p__Bacteroidota	2|976	19.314603248749048	
k__Bacteria|p__Actinomycetota	2|201174	7.350778364279547	
k__Bacteria|p__Pseudomonadota	2|1224	1.8387364042079521	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.41293220494397875	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0006038263902257793	
k__Bacteria|p__Lentisphaerota	2|256845	6.80367763634681e-05	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	52.588184335035166	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	19.314603248749048	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	2.9626954451353997	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	2.490341620634977	
k__Bacteria|p__Actinomycetota|c__CFGB77988	2|201174|	1.8977327939121247	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.8387364042079521	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.4104448969999208	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.0860200335077685	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.9233526058197618	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.41293220494397875	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.04663070560011194	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03475828812468676	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.02789507830902192	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.004890143301124269	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.003401838818173405	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.0015393320652234655	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.0011311114070426571	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.0006038263902257793	
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria	2|256845|1313211	6.80367763634681e-05	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	41.25971238203886	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	19.314603248749048	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	11.18050897359985	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	2.9492496772065695	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.359285780164847	
k__Bacteria|p__Actinomycetota|c__CFGB77988|o__OFGB77988	2|201174||	1.8977327939121247	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.8387364042079521	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.4104448969999208	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.0860200335077685	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.9233526058197618	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.41293220494397875	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	0.1429027441544193	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.1310558404701304	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified	2|1239||	0.04663070560011194	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.03475828812468676	
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.02789507830902192	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	2|201174|1760|2037	0.013454272525875817	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00506023524203294	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.004890143301124269	
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	2|1239||	0.003401838818173405	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.0015393320652234655	
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	2|1239||	0.0011311114070426571	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.0006038263902257793	
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	6.80367763634681e-05	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	2|1239|186801|3085636|186803	41.22710575696668	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	16.063780560311407	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	4.33969176195563	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.9492496772065695	
