#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.70583.0 --bowtie2db /net/nfs-ip34/fast/def-ilafores/metaphlan4_db/2025 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --bowtie2out /localscratch/ronj2303.70583.0/GQ14.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.70583.0/GQ14_profile.txt /localscratch/ronj2303.70583.0/all_reads.fastq
#33389117 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	19.12619	
k__Bacteria	2	80.87381285787862	
k__Bacteria|p__Firmicutes	2|1239	35.00636738101462	
k__Bacteria|p__Bacteroidota	2|976	23.05166506341329	
k__Bacteria|p__Pseudomonadota	2|1224	7.643173781284678	
k__Bacteria|p__Actinomycetota	2|201174	4.544323806628058	
k__Bacteria|p__Fusobacteriota	2|32066	4.006351203497449	
k__Bacteria|p__Candidatus_Absconditibacteriota	2|221235	3.385345456705656	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	2.7394063134097792	
k__Bacteria|p__Spirochaetota	2|203691	0.24700479923053292	
k__Bacteria|p__Campylobacterota	2|29547	0.23595743639414668	
k__Bacteria|p__Mycoplasmatota	2|544448	0.012389868129827005	
k__Bacteria|p__Synergistota	2|508458	0.001819660789302269	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	22.546527228302978	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	21.16766106860129	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	9.478685837907092	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	5.288848127797688	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	4.5423504855943255	
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia	2|32066|203490	4.006351203497449	
k__Bacteria|p__Candidatus_Absconditibacteriota|c__CFGB1860	2|221235|	3.385345456705656	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	2.478119198828545	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	2.352481730553831	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.3238200512769986	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	1.7304731484826006	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.25791467658506073	
k__Bacteria|p__Spirochaetota|c__Spirochaetia	2|203691|203692	0.24101204969776407	
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	2|29547|3031852	0.2166771194088284	
k__Bacteria|p__Firmicutes|c__CFGB1261	2|1239|	0.19890914272395246	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.18795074108170992	
k__Bacteria|p__Bacteroidota|c__CFGB570	2|976|	0.14341353234087614	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.11095078385972369	
k__Bacteria|p__Firmicutes|c__CFGB79381	2|1239|	0.07885196753643166	
k__Bacteria|p__Firmicutes|c__CFGB1762	2|1239|	0.05331201743591359	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.025151755798800253	
k__Bacteria|p__Campylobacterota|c__CFGB4196	2|29547|	0.019280316985318263	
k__Bacteria|p__Mycoplasmatota|c__Mycoplasmatota_unclassified	2|544448|	0.012389868129827005	
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified	2|976|	0.010117313988520615	
k__Bacteria|p__Spirochaetota|c__CFGB1017	2|203691|	0.006000836914054594	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	2|95818|2093818	0.003048942744742024	
k__Bacteria|p__Firmicutes|c__CFGB1781	2|1239|	0.0022078550910200863	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.0019733210337322385	
k__Bacteria|p__Pseudomonadota|c__CFGB73473	2|1224|	0.0018439229331596325	
k__Bacteria|p__Synergistota|c__Synergistia	2|508458|649775	0.001819660789302269	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB991	2|95818|	0.0003154078701457266	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	21.16766106860129	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	16.321686027394634	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	9.411916418011627	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	6.2248412009083465	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	5.238067460704226	
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	4.006351203497449	
k__Bacteria|p__Candidatus_Absconditibacteriota|c__CFGB1860|o__OFGB1860	2|221235||	3.385345456705656	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	3.3134001127872876	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	2.478119198828545	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	2.268494275900924	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	1.7304731484826006	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	2|201174|1760|2037	1.1510850657874723	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.9711246574161208	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	0.7461741469519314	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	0.6065212469089465	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.2546554619268882	
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.24101204969776407	
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	2|29547|3031852|213849	0.2166771194088284	
k__Bacteria|p__Firmicutes|c__CFGB1261|o__OFGB1261	2|1239||	0.19890914272395246	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.18795074108170992	
k__Bacteria|p__Bacteroidota|c__CFGB570|o__OFGB570	2|976||	0.14341353234087614	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.11095078385972369	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.08398745465290695	
k__Bacteria|p__Firmicutes|c__CFGB79381|o__OFGB79381	2|1239||	0.07885196753643166	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.06676941989546459	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.0591025824365377	
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762	2|1239||	0.05331201743591359	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales	2|1224|1236|135615	0.05078066709346199	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.025151755798800253	
k__Bacteria|p__Campylobacterota|c__CFGB4196|o__OFGB4196	2|29547||	0.019280316985318263	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.014241878444272426	
k__Bacteria|p__Mycoplasmatota|c__Mycoplasmatota_unclassified|o__Mycoplasmoidales	2|544448||2790996	0.012389868129827005	
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified|o__Bacteroidota_unclassified	2|976||	0.010117313988520615	
