#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.7526954.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.7526954.0/SRR19065022.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.7526954.0/SRR19065022_profile.txt /localscratch/ronj2303.7526954.0/all_reads.fastq
#33327556 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.78782	
k__Bacteria	2	83.21217694284144	
k__Bacteria|p__Firmicutes	2|1239	53.46665289979168	
k__Bacteria|p__Bacteroidetes	2|976	23.20327451597354	
k__Bacteria|p__Verrucomicrobia	2|74201	2.7259976317767087	
k__Bacteria|p__Actinobacteria	2|201174	2.183529129068631	
k__Bacteria|p__Proteobacteria	2|1224	1.5926394605975138	
k__Bacteria|p__Synergistetes	2|508458	0.03940928700012971	
k__Bacteria|p__Bacteria_unclassified	2|	0.0006656974155427316	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	44.57964232960238	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.20327451597354	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.4704803364489223	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.7259976317767087	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.0410948457955693	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.653933550133611	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	1.07564220525164	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.9291554889614619	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.7964903152614897	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.43832014204641734	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.3733231106363638	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.3699280538170959	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.2935642390366503	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.28252198315633525	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.1419017253406275	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.1356108847637487	
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.10205973502039503	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.08609963948275805	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.07278569117190342	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.03940928700012971	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.02924075897771448	
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.027310236472640564	
