#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.6830809.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.6830809.0/SRR19064946.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.6830809.0/SRR19064946_profile.txt /localscratch/ronj2303.6830809.0/all_reads.fastq
#36378079 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.89326	
k__Bacteria	2	84.1067440914766	
k__Bacteria|p__Firmicutes	2|1239	46.55082879389065	
k__Bacteria|p__Bacteroidota	2|976	23.131608685897717	
k__Bacteria|p__Verrucomicrobia	2|74201	7.528680626557982	
k__Bacteria|p__Actinobacteria	2|201174	3.500741366621894	
k__Bacteria|p__Bacillota	2|1239	2.672315169344077	
k__Bacteria|p__Proteobacteria	2|1224	0.5795543415111378	
k__Bacteria|p__Synergistetes	2|508458	0.1304832027835168	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.011127322243302356	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0013961719519185116	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	23.131608685897717	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	7.528680626557982	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	5.832281240930535	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.9673448062681587	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.672315169344077	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	2.0210766498437738	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.7928109463795063	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.7079304202423882	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.5532160644861166	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	1.0408293688064323	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.9843432794745964	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.8963255717828662	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5795543415111378	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.5478797416862878	
k__Bacteria|p__Firmicutes|c__CFGB1012	2|1239|	0.30561867600519854	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.23780340824424095	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.19886198572988728	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.1304832027835168	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.10543621439307507	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.08141532828054936	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.0647285502528004	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.05808411746957374	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.05471984770591468	
k__Bacteria|p__Firmicutes|c__CFGB77566	2|1239|	0.046233477227084686	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.03679670054002101	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.02954669919933573	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.016888634213568503	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.016577439260430038	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.011127322243302356	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.008797565431968453	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.005029583296670301	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.005012761947852005	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.004373550692756783	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.001808294997966747	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.0013961719519185116	
