#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.70735.0 --bowtie2db /net/nfs-ip34/fast/def-ilafores/metaphlan4_db/2025 -x mpa_vJan25_CHOCOPhlAnSGB_202503 --bowtie2out /localscratch/ronj2303.70735.0/SRR5091473.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.70735.0/SRR5091473_profile.txt /localscratch/ronj2303.70735.0/all_reads.fastq
#85394500 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	12.0673	
k__Bacteria	2	87.92442155639516	
k__Archaea	2157	0.008274466695772857	
k__Bacteria|p__Firmicutes	2|1239	46.066980980110685	
k__Bacteria|p__Bacteroidota	2|976	33.744989872934156	
k__Bacteria|p__Actinomycetota	2|201174	6.412403924787883	
k__Bacteria|p__Pseudomonadota	2|1224	1.4909692072283252	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.10963448540158977	
k__Bacteria|p__Bacteria_unclassified	2|	0.05742005050307837	
k__Bacteria|p__Campylobacterota	2|29547	0.01630272184268106	
k__Bacteria|p__Synergistota	2|508458	0.011607115875048002	
k__Bacteria|p__Verrucomicrobiota	2|74201	0.010420024478736275	
k__Archaea|p__Methanobacteriota	2157|28890	0.007685317632418147	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.003693173232969819	
k__Archaea|p__Thermoplasmatota	2157|2283796	0.0005891490633547092	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	43.36955759690635	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	33.744989872934156	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	6.058606722338976	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.3973032994245287	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.33851149886349	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.5361080611135808	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.3538059957185087	
