intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5785000,0.007083540472301336,0.7910570217421031,0.007083540472301336,0.006442517255872196,8.224719101123595,6.0,20.229187540560606,signatures/40a280eb3f1912a8dabe69fa973beaf9.sig.gz,"GCF_000273015.1 Bacteroides cellulosilyticus CL02T12C19 strain=CL02T12C19, Bact_cell_CL02T12C19_V1",40a280eb3f1912a8dabe69fa973beaf9,0.7910570217421031,5785000,0,810897000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8524192290390892,0.9924676973208744,0.9224434631799818,0.9924676973208744,47580,47580,7385312
5219000,0.00639049226014532,0.9124780316344464,0.006357431656385227,0.011298371686937533,16.071263482280433,9.0,106.92959684365357,signatures/313789fed0f8e168d049bee90c592419.sig.gz,"GCF_015560875.1 Phocaeicola dorei strain=1001099B_141217_G4, ASM1556087v1",313789fed0f8e168d049bee90c592419,0.9172231985940246,5192000,1,805705000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8495927237768014,0.9972166408925454,0.9234046823346733,0.9972166408925454,83442,131022,7385312
4735000,0.005797850326075511,0.8831784562867437,0.0057023419152130205,0.006626395743334879,10.508481855271635,9.0,10.710450315773672,signatures/9436815d4b2ec09aff35fc3e9b937910.sig.gz,"GCF_020297545.1 Bacteroides fragilis strain=FDAARGOS_1513, ASM2029754v1",9436815d4b2ec09aff35fc3e9b937910,0.8979707946140717,4657000,2,801048000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8469296213406866,0.9965344790238653,0.9217320501822759,0.9965344790238653,48938,179960,7385312
4437000,0.005432959217908562,0.8678943154523618,0.005309288070509697,0.011486718502887894,19.564806273062732,18.0,13.818904752557534,signatures/e6ae70cc7eafdf1cf313f57c2cbc4567.sig.gz,"GCF_024788155.1 Bacteroides uniformis strain=BFG-469, ASM2478815v1",e6ae70cc7eafdf1cf313f57c2cbc4567,0.8881104883907126,4336000,3,796712000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8451555728926704,0.9961796028134547,0.9206675878530626,0.9961796028134547,84833,264793,7385312
4359000,0.005337450807046072,0.5780689440024958,0.004537873982774201,0.006088977689771265,12.134106853750675,4.0,73.72497489730769,signatures/e6926dd01541bce8b0d47713832ab6c9.sig.gz,"GCA_022715565.1 Bacteroides caccae, ASM2271556v1",e6926dd01541bce8b0d47713832ab6c9,0.6799251286850725,3706000,4,793006000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8446721786222602,0.9876328326736328,0.9161525056479465,0.9876328326736328,44969,309762,7385312
3532000,0.004324816758542492,0.8975857687420584,0.004324816758542492,0.007031930404565169,14.70356738391846,9.0,68.6596449081693,signatures/3398d63b7f563f388a9e24d0a4d52a8f.sig.gz,"GCF_024460975.1 Neglectibacter timonensis strain=DFI.9.73, ASM2446097v1",3398d63b7f563f388a9e24d0a4d52a8f,0.8975857687420584,3532000,5,789474000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8389593024638506,0.9965206927006488,0.9177399975822498,0.9965206927006488,51933,361695,7385312
3477000,0.004257471084216378,0.6517338331771322,0.004257471084216378,0.0018080481907873358,3.8403796376186365,3.0,3.1750035134748416,signatures/d6b334ceb3c01dd0c1cac4c093d05ed8.sig.gz,"GCF_003306435.1 Escherichia coli strain=TUM18752, ASM330643v1",d6b334ceb3c01dd0c1cac4c093d05ed8,0.6517338331771322,3477000,6,785997000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8385346684209036,0.9862846332462718,0.9124096508335877,0.9862846332462718,13353,375048,7385312
3749000,0.004590526055429163,0.5624896813604094,0.004171758407801323,0.00403639006720366,8.749633108306428,3.0,25.814944131019125,signatures/3a1f560b2a0114f3879aa472f451b42c.sig.gz,"GCA_009678725.1 Parabacteroides distasonis strain=BIOML-A16, ASM967872v1",3a1f560b2a0114f3879aa472f451b42c,0.618953277199934,3407000,7,782590000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8405744948554786,0.9846441069755854,0.912609300915532,0.9846441069755854,29810,404858,7385312
3361000,0.004115432934728573,0.7481514676226754,0.004088494664998127,0.022646707410600934,50.090745732255165,43.0,74.98372690392407,signatures/65bf24f31c7e62d1f0186eaceba3b128.sig.gz,"GCF_013301655.1 Blautia wexlerae strain=MSK.23.95, ASM1330165v1",65bf24f31c7e62d1f0186eaceba3b128,0.7530808872955411,3339000,8,779251000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8376173455445839,0.990893887077855,0.9142556163112194,0.990893887077855,167253,572111,7385312
3518000,0.004307674223259481,0.5917906232347957,0.0038484991710359723,0.003812702835032562,8.958956411072224,5.0,29.532736654819946,signatures/9d9f0884b712f60a89183757c2e645aa.sig.gz,"GCA_009677945.1 Odoribacter splanchnicus strain=BIOML-A2, ASM967794v1",9d9f0884b712f60a89183757c2e645aa,0.6623987949538693,3143000,9,776108000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064670/SRR19064670_unmatched_2.fastq,SRR19064670,1faaf6bc052e8dd3a2e717354a46673b,816682000,31,DNA,1000,816682,true,0.8388518241448529,0.9868011850841687,0.9128265046145108,0.9868011850841687,28158,600269,7385312
