intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3042000,0.0034683741739523046,0.5506879073135409,0.0034683741739523046,0.0038168930584981378,2.1249178172255094,2.0,1.7074431200973033,signatures/e926ae55efb1831a95fce90b5e41ffec.sig.gz,GCF_030700285.1 Methylobacterium sp. NEAU K strain=NEAU K ASM3070028v1,e926ae55efb1831a95fce90b5e41ffec,0.5506879073135409,3042000,0,874026000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.8330080991824719,0.9809392545700429,0.9069736768762574,0.9809392545700429,6464,6464,1693524
391000,0.0004458035180852568,0.07979591836734694,0.0004458035180852568,0.0006955909688909044,3.0127877237851663,2.0,3.36254990222664,signatures/b5eaa498e7e77b73a50a325583c237a0.sig.gz,"GCF_018982885.2 Polymorphobacter sp. PAMC 29362 strain=PAMC 29362, ASM1898288v2",b5eaa498e7e77b73a50a325583c237a0,0.07979591836734694,391000,1,873635000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.779664669405345,0.9216796991372108,0.8506721842712779,0.9216796991372108,1178,7642,1693524
387000,0.0004412428682838731,0.0852994555353902,0.0004287010813300679,0.0004127488007255876,1.8590425531914894,1.0,1.9071040589874073,signatures/993863c396290f249e59c5106a760bf4.sig.gz,"GCF_014653575.1 Sphingomonas glacialis strain=CGMCC 1.8957, ASM1465357v1",993863c396290f249e59c5106a760bf4,0.08779491833030853,376000,2,873259000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7794060933234016,0.9245243777461769,0.8519652355347893,0.9245243777461769,699,8341,1693524
352000,0.0004013371825217657,0.08558230002431315,0.0004013371825217657,0.0006324091066911364,3.0426136363636362,3.0,2.085093737983424,signatures/e027456f7b5671494e1b0d2ab547d748.sig.gz,"GCA_903827735.1 uncultured Rhodanobacter sp., freshwater MAG --- MJ130820A_bin-077",e027456f7b5671494e1b0d2ab547d748,0.08558230002431315,352000,3,872907000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7770264223904058,0.9237634455973243,0.850394933993865,0.9237634455973243,1071,9412,1693524
348000,0.000396776532720382,0.054564718347165815,0.0003523101971568909,0.00037850068850515256,2.074433656957929,2.0,1.6868883533879802,signatures/e5bf01c613c616b5ef30b491d1b9f44e.sig.gz,"GCF_008039875.1 Methylobacterium sp. WL119 strain=WL119, ASM803987v1",e5bf01c613c616b5ef30b491d1b9f44e,0.06145152745894402,309000,4,872598000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7767400107171185,0.9139457320364056,0.8453428713767621,0.9139457320364056,641,10053,1693524
287000,0.00032722662324928054,0.04515924576136904,0.00032494629834858873,0.00034661451505854066,2.0596491228070177,2.0,1.5514407168621775,signatures/be84853b0c595a0b38db8da38d8600ce.sig.gz,GCF_023231945.1 Scleromatobacter humisilvae strain=BS-T2-15 ASM2323194v1,be84853b0c595a0b38db8da38d8600ce,0.04547615274916812,285000,5,872313000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7719261656664812,0.905112787191151,0.8385194764288161,0.905112787191151,587,10640,1693524
280000,0.00031924548609685906,0.08328375966686496,0.00031924548609685906,0.00025213696410561644,1.525,1.0,1.161626015548894,signatures/0d5182a1bb08c0a3ffea3201693f6a0c.sig.gz,"GCF_000317085.1 Synechococcus sp. PCC 7502 strain=PCC 7502, ASM31708v1",0d5182a1bb08c0a3ffea3201693f6a0c,0.08328375966686496,280000,6,872033000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7713115435878573,0.9229525312728643,0.8471320374303608,0.9229525312728643,427,11067,1693524
273000,0.0003112643489444376,0.050381111730804985,0.0003089840240437458,0.0003153188263053845,1.970479704797048,1.0,1.4372018704335776,signatures/1ab449ae6574d80a4ef454b3941546f7.sig.gz,"GCA_903848645.1 uncultured cyanobacterium, freshwater MAG --- I3-5_bin-073",1ab449ae6574d80a4ef454b3941546f7,0.05075292805354155,271000,7,871762000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7706818679276024,0.9083237727373135,0.8395028203324579,0.9083237727373135,534,11601,1693524
255000,0.00029074142483821096,0.04333050127442651,0.00029074142483821096,0.00040212007624338363,2.6705882352941175,2.0,1.8873463181322798,signatures/88391b53d1e2b399a395200af5e721a1.sig.gz,GCF_025685565.1 Granulicella aggregans strain=TPB6028 ASM2568556v1,88391b53d1e2b399a395200af5e721a1,0.04333050127442651,255000,8,871507000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7689880268506056,0.9037027495774638,0.8363453882140347,0.9037027495774638,681,12282,1693524
231000,0.00026337752602990873,0.07827854964418841,0.00026337752602990873,0.00035192887729964265,2.58008658008658,1.0,2.658213114519011,signatures/d274ca0535b3d1c17de124b6c73d3ee8.sig.gz,"GCA_019351995.1 Acidobacteria bacterium, ASM1935199v1",d274ca0535b3d1c17de124b6c73d3ee8,0.07827854964418841,231000,9,871276000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/W-2-TORTOR-G/W-2-TORTOR-G_unmatched_2.fastq.gz,W-2-TORTOR-G,f622efc8fc70906b0a7e39485237f1c2,877068000,31,DNA,1000,877068,true,0.7665399556177204,0.9211090665271576,0.8438245110724389,0.9211090665271576,596,12878,1693524
