intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
687000,0.0009449312758497848,0.18878812860676009,0.0009449312758497848,0.0005960489981683086,1.5342066957787481,1.0,0.9552933373991387,signatures/b145ceae2686466cf86787e8ca375938.sig.gz,GCF_937859915.1 uncultured Sphingomonas sp. SRR12240183_bin.13_CONCOCT_v1.1_MAG,b145ceae2686466cf86787e8ca375938,0.18878812860676009,687000,0,726350000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7987893488092288,0.9476420958406715,0.8732157223249501,0.9476420958406715,1054,1054,1768311
641000,0.0008816607682965241,0.09814445637172213,0.0008802853224801489,0.0005632493379275479,1.55625,1.0,1.9684920465930262,signatures/9427e56a12226d50b9c8d4cf56b920c1.sig.gz,"GCF_022829365.1 Methylobacterium sp. J-077 strain=J-077, ASM2282936v1",9427e56a12226d50b9c8d4cf56b920c1,0.09829780708480294,640000,1,725710000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7970055382324939,0.9279005109090815,0.8624530245707878,0.9279005109090815,996,2050,1768311
533000,0.000733112620127999,0.0653186274509804,0.000733112620127999,0.00039698899118989814,1.3170731707317074,1.0,0.7188361373739062,signatures/fd0c18741012ebc26c58ba341945dc59.sig.gz,"GCF_001557535.2 Burkholderia sp. PAMC 26561 strain=PAMC 26561, ASM155753v2",fd0c18741012ebc26c58ba341945dc59,0.0653186274509804,533000,2,725177000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7922759521737489,0.9157467556874536,0.8540113539306012,0.9157467556874536,702,2752,1768311
356000,0.0004896587106295828,0.07390396659707725,0.00048690781899683234,0.0003144243292045347,1.5706214689265536,1.0,1.3764919622907181,signatures/498150ab681f0d11140df321d485e8fa.sig.gz,"GCF_005844085.1 Acetobacteraceae bacterium KEBCLARHB70R strain=KEBCLARHB70R, ASM584408v1",498150ab681f0d11140df321d485e8fa,0.07432150313152401,354000,3,724823000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7820281215557777,0.9195690340098622,0.85079857778282,0.9195690340098622,556,3308,1768311
209000,0.0002874681756224236,0.029329216952006736,0.0002874681756224236,0.00020075654112879465,1.6985645933014355,1.0,1.2754763991821911,signatures/344da35130fd1cc529357e95c9b79ce0.sig.gz,GCF_001899645.1 Pseudonocardia sp. 73-21 ASM189964v1,344da35130fd1cc529357e95c9b79ce0,0.029329216952006736,209000,4,724614000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7687072204602255,0.892396954760309,0.8305520876102672,0.892396954760309,355,3663,1768311
188000,0.00025858381347854375,0.04570872842207634,0.00025858381347854375,0.00016399830120380408,1.5425531914893618,1.0,1.0635637965342395,signatures/e027456f7b5671494e1b0d2ab547d748.sig.gz,"GCA_903827735.1 uncultured Rhodanobacter sp., freshwater MAG --- MJ130820A_bin-077",e027456f7b5671494e1b0d2ab547d748,0.04570872842207634,188000,5,724426000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7660858882408799,0.9052617401473748,0.8356738141941273,0.9052617401473748,290,3953,1768311
169000,0.0002324503429674143,0.02605811749842072,0.00022694855970191338,0.0001289365954291977,1.3818181818181818,1.0,0.7743832523289766,signatures/e0fbbbd0ecdd728008181bce864d69b3.sig.gz,"GCF_009765865.1 Acidisoma sp. L85 strain=L85, ASM976586v1",e0fbbbd0ecdd728008181bce864d69b3,0.026689829437776372,165000,6,724261000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7634574631431426,0.8896864191946595,0.826571941168901,0.8896864191946595,228,4181,1768311
159000,0.00021869588480366198,0.03560623690947173,0.0002104432099054106,0.00019906000697841048,2.3006535947712417,2.0,1.9405711958796896,signatures/68d38d139272b52f79455dbcc287ec27.sig.gz,"GCA_901457705.2 Beijerinckiaceae bacterium RH AL1, RHAL1_v2",68d38d139272b52f79455dbcc287ec27,0.03700255992552944,153000,7,724108000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.761956787838426,0.8991122775605456,0.8305345326994857,0.8991122775605456,352,4533,1768311
152000,0.00020906776408903535,0.019475357710651828,0.0002021905350071592,0.00012384699297804516,1.489795918367347,1.0,0.8834637070168717,signatures/6e925e11ef1a02ddd098c16a7dec1db9.sig.gz,"GCF_009766005.1 Bradyrhizobium sp. S69 strain=S69, ASM976600v1",6e925e11ef1a02ddd098c16a7dec1db9,0.020137784843667197,147000,8,723961000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7608509427093638,0.8816388103777376,0.8212448765435507,0.8816388103777376,219,4752,1768311
125000,0.0001719307270469041,0.0314122533748702,0.00016642894378140314,0.000103488583173435,1.512396694214876,1.0,1.1930633013301541,signatures/74b04813ced5fffcb747f0e358da44a0.sig.gz,GCA_025964255.1 Solirubrobacterales bacterium ASM2596425v1,74b04813ced5fffcb747f0e358da44a0,0.03245067497403946,121000,9,723840000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-3-POLCOM-G/S-3-POLCOM-G_unmatched_2.fastq.gz,S-3-POLCOM-G,c1a58eb29a046a1f803d656e986160a8,727037000,31,DNA,1000,727037,true,0.7560661425257277,0.8953131415405202,0.8256896420331239,0.8953131415405202,183,4935,1768311
