intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4680000,0.015122580144827787,0.7374724235739049,0.015122580144827787,0.038165011852010135,18.013461538461538,9.0,80.5103886590721,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_020091305.1_ASM2009130v1_genomic,6d0ae679c2f742228ffe16430c5e44b3,0.7374724235739049,4680000,0,304791000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8735308647762263,0.990224654193692,0.9318777594849592,0.990224654193692,False,84303,84303,2208908
4130000,0.013345353845756145,0.8146756329113924,0.013309809319774712,0.03654701780246167,19.599174556931295,9.0,115.56533328866111,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_012273055.1_ASM1227305v1_genomic,c1884ac4d25c83812a1bdd52c3c7dc1b,0.8168512658227848,4119000,1,300672000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8700150737531781,0.9934954964691506,0.9317552851111643,0.9934954964691506,False,80729,165032,2208908
3939000,0.01272817162189672,0.7594061419564775,0.012065750910424564,0.09971307089294801,58.98687734333155,40.0,70.12332536162496,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_018289375.1_ASM1828937v1_genomic,d63aa3877a3e796774bd21a9b9ae06b0,0.801098230628432,3734000,2,296938000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8686871955957427,0.9928716024661294,0.9307793990309361,0.9928716024661294,False,220257,385289,2208908
3576000,0.011555202264509437,0.6646840148698885,0.011555202264509437,0.007987657249645527,4.934004474272931,4.0,4.583991971872362,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_014169115.1_ASM1416911v1_genomic,efe9091202a2cf128c9d2f1a419088a5,0.6646840148698885,3576000,3,293362000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8659821760066878,0.9869108209105886,0.9264464984586382,0.9869108209105886,False,17644,402933,2208908
3413000,0.011028497015875478,0.6452245538340852,0.010631044588992184,0.017167758910737796,11.52644376899696,6.0,62.333143104599735,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_018289355.1_ASM1828935v1_genomic,2cc034a4db3dba2e340c8fa9efefef92,0.6693469307707394,3290000,4,290072000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8646799036346599,0.9871334021873513,0.9259066529110056,0.9871334021873513,False,37922,440855,2208908
3214000,0.01038546422766592,0.4383990884489389,0.00994600463371366,0.007457078339161251,5.351526965562053,4.0,29.60373797490496,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_020091405.1_ASM2009140v1_genomic,6567e1e09256d8c7a31fd1e8d0b378f2,0.45776954849736506,3078000,5,286994000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8630058490428563,0.9751089122236348,0.9190573806332456,0.9751089122236348,False,16472,457327,2208908
3098000,0.010010631044588993,0.564494806421152,0.00965841710531843,0.0125016524001905,9.23887587822014,5.0,30.96565318257315,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_040687805.1_Bfrag638R-erm-GA1tetQ-6_hyb1_genomic,19372aa6486247a78345b1022a14d0c2,0.5850802644003777,2989000,6,284005000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8619831108506144,0.9828580995058573,0.9224206051782359,0.9828580995058573,False,27615,484942,2208908
3052000,0.009861990299575728,0.5892220591318935,0.009080010727984205,0.014100632529738677,11.084341637010676,7.0,15.304373471082013,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_018289315.1_ASM1828931v1_genomic,b8882c82de7b01fc8d6d7c5d0f9c6851,0.6399664499895156,2810000,7,281195000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8615672451626863,0.985705107012027,0.9236361760873566,0.985705107012027,False,31147,516089,2208908
2839000,0.009173719023753437,0.8720099409754583,0.009070316766352905,0.03307924096431359,26.030993943712147,19.0,52.139444390900834,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_006542725.1_Aond_3.0_genomic,7fbb97287421b4f5df527beb1443bd37,0.8819509164336751,2807000,8,278388000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8595589351132005,0.9959559774033623,0.9277574562582813,0.9959559774033623,False,73069,589158,2208908
2733000,0.008831199046114175,0.6789264413518886,0.008827967725570408,0.01350124133734859,10.916178623718887,8.0,13.114288209278808,/net/nfs-ip34/jbod2/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_964272205.1_LUMC_Rgna_QRD011_genomic,6e86d242a5fb72e2090f4121f3222291,0.6791749502982107,2732000,9,275656000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091506/SRR5091506_unmatched_2.fastq,SRR5091506,a989770c,309471000,31,DNA,1000,309471,True,0.8585044884909309,0.9875976629267869,0.9230510757088588,0.9875976629267869,False,29823,618981,2208908
