intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
1333000,0.0007842163660601981,0.20936076645201823,0.0007842163660601981,0.0007208516933296697,1.6099024756189046,1.0,3.461626450082584,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_009766125.1 Acidisoma sp. S159 strain=S159, ASM976612v1",ec5c6d692415893b5cba4b56a9945469,0.20936076645201823,1333000,0,26602000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7940000192407741,0.9508092469902727,0.8724046331155234,0.9508092469902727,False,2146,2146,2977034
1305000,0.0007677437042074709,0.27139874739039666,0.0007648021574480552,0.0007722451271970692,1.7684615384615385,1.0,2.1763248702407467,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_005844085.1 Acetobacteraceae bacterium KEBCLARHB70R strain=KEBCLARHB70R, ASM584408v1",498150ab681f0d11140df321d485e8fa,0.27244258872651356,1300000,1,25302000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7934564690288024,0.9589215185404976,0.87618899378465,0.9589215185404976,False,2299,4445,2977034
1229000,0.0007230321934643538,0.1880079742370802,0.0007212672654087044,0.0006449372093163868,1.566068515497553,1.0,1.4947293071549044,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_022829365.1 Methylobacterium sp. J-077 strain=J-077, ASM2282936v1",9427e56a12226d50b9c8d4cf56b920c1,0.18846802637632265,1226000,2,24076000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7919221755938283,0.9475902214235593,0.8697561985086938,0.9475902214235593,False,1920,6365,2977034
663000,0.00039004910029850817,0.08730789613142555,0.0003876958628909757,0.00038561870640375624,1.7420333839150228,1.0,1.2743207153945562,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_009766005.1 Bradyrhizobium sp. S69 strain=S69, ASM976600v1",6e925e11ef1a02ddd098c16a7dec1db9,0.08783783783783784,659000,3,23417000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7763116539562083,0.9245389537782245,0.8504253038672164,0.9245389537782245,False,1148,7513,2977034
648000,0.00038122446002026135,0.2,0.00038122446002026135,0.00036613622820565704,1.6820987654320987,1.0,1.9745730690608045,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_903970385.1 Rhodospirillales bacterium, BOG_genome_mining.22",184f66a2c882535d504dc2c45dabcb82,0.2,648000,4,22769000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7757387898144845,0.9494073302041575,0.862573060009321,0.9494073302041575,False,1090,8603,2977034
648000,0.00038122446002026135,0.08355899419729207,0.00038122446002026135,0.0003187736518964849,1.4645061728395061,1.0,1.3258957151649446,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_002141475.1 Caballeronia sordidicola strain=PAMC 26510, ASM214147v1",f609ef9ea2e648f734dd79bf3c6f87f3,0.08355899419729207,648000,5,22121000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7757387898144845,0.9230507663841369,0.8493947780993107,0.9230507663841369,False,949,9552,2977034
633000,0.0003723998197420146,0.061587639850825784,0.00034004280538844304,0.0002714110755873127,1.397923875432526,1.0,0.7446202774077869,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_002220365.1 Caballeronia sordidicola strain=PAMC 26633, ASM222036v1",8e53a40c47af10041f1ae723589e6530,0.06744805540756527,578000,6,21543000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7751529461371389,0.9166949110744347,0.8459239286057868,0.9166949110744347,False,808,10360,2977034
468000,0.00027532877668129987,0.06388206388206388,0.00027532877668129987,0.0003483332739901526,2.215811965811966,1.0,6.275240144458699,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_014203275.1 Granulicella aggregans strain=M8UP14, ASM1420327v1",779f272f13d6fda4647ee89872acf2a3,0.06388206388206388,468000,7,21075000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7676380674034288,0.9150900574766855,0.8413640624400571,0.9150900574766855,False,1037,11397,2977034
559000,0.00032886492770266377,0.07376375883029407,0.0002641508989955206,0.00022707164244681116,1.5055679287305122,1.0,1.4532323852890658,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_022829585.1 Methylobacterium sp. J-026 strain=J-026, ASM2282958v1",a2812e6a63e8d582bea34bde88b2b2b3,0.09183505832101199,449000,8,20626000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.772050534086409,0.925867120143484,0.8489588271149465,0.925867120143484,False,676,12073,2977034
405000,0.00023826528751266335,0.13344316309719934,0.00023826528751266335,0.0002811523146863623,2.066666666666667,1.0,12.55655846535296,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_013288945.1 Bacteroidetes bacterium, ASM1328894v1",2d943d5e3b2ea636d1e4a8f1151f900d,0.13344316309719934,405000,9,20221000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7640662079698307,0.9370952845257546,0.8505807462477927,0.9370952845257546,False,837,12910,2977034
358000,0.00021061474797415676,0.05009823182711198,0.00021002643862227363,0.0002227048800920648,1.8571428571428572,1.0,1.3999942834159858,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_001899645.1 Pseudonocardia sp. 73-21, ASM189964v1",344da35130fd1cc529357e95c9b79ce0,0.05023856300870053,357000,10,19864000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7610319043021496,0.9080253526524279,0.8345286284772888,0.9080253526524279,False,663,13573,2977034
313000,0.00018414082713941638,0.04896212961495801,0.0001817875897318839,0.00018911440044016965,1.8220064724919094,1.0,1.4155977570153342,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_023231945.1 Comamonadaceae bacterium BS-T2-15 strain=BS-T2-15, ASM2323194v1",be84853b0c595a0b38db8da38d8600ce,0.04959594359055617,309000,11,19555000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7577413207851526,0.9076483405705684,0.8326948306778605,0.9076483405705684,False,563,14136,2977034
296000,0.00017413956815740333,0.04583008573655495,0.0001729629494536371,0.00012898744186327733,1.3061224489795917,1.0,0.7614186982113319,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_000633255.1 Pseudomonas sp. H1h strain=H1h, ASM63325v1",99207c452feb1f0c0dc5e2922312116f,0.04614185502727981,294000,12,19261000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7563775460797393,0.90553719136316,0.8309573687214497,0.90553719136316,False,384,14520,2977034
458000,0.0002694456831624687,0.025864367611767844,0.00017119802139798775,0.0001320105850319479,1.3505154639175259,1.0,0.9456854869029523,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_900215135.1 Burkholderia sp. D7 strain=D7, IMG-taxon 2687453788 annotated assembly",0472644a063a6d3fc929e22a6d797487,0.04070749266731846,291000,13,18970000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7671034052854129,0.9018842144346234,0.8344938098600181,0.9018842144346234,False,393,14913,2977034
279000,0.00016413830917539032,0.037204960661421524,0.00016413830917539032,0.00016963192224207047,1.810035842293907,1.0,1.0556757329765694,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_903880405.1 uncultured cyanobacterium, freshwater MAG --- A5_bin-0177",3db104c58e82c3bdd50e0ce2f3fbd788,0.037204960661421524,279000,14,18691000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-1-POLCOM-B/S-1-POLCOM-B_unmatched_2.fastq.gz,S-1-POLCOM-B,d10fb576,1699786000,31,DNA,1000,1699786,True,0.7549357616046817,0.8992705064151582,0.82710313400992,0.8992705064151582,False,505,15418,2977034
