intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4460000,0.007413600799206113,0.809437386569873,0.007413600799206113,0.04081363560446902,38.51816143497758,31.0,64.88403510085858,signatures/f906f0ea3324bc6db880a742f3f0b0ba.sig.gz,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.809437386569873,4460000,0,597137000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8536724469756799,0.9932033361534791,0.9234378915645796,0.9932033361534791,171791,171791,4209157
3974000,0.006605751026019079,0.7613176651897515,0.006569181694722547,0.0090132062073237,9.599696356275304,6.0,52.22140443227718,signatures/364f6db3e1881c45e824633d261d9452.sig.gz,"GCF_000381365.1 Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 strain=DSM 18765, Bact_saly_DSM_18765_V1",364f6db3e1881c45e824633d261d9452,0.765555769601233,3952000,1,593185000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8505011588685333,0.9914191816184694,0.9209601702435013,0.9914191816184694,37938,209729,4209157
3896000,0.006476096124149555,0.5909852291761839,0.006451162489174647,0.013569938113498737,14.717340891522804,13.0,55.16711610221996,signatures/60210be30b063414acf935ddf123a997.sig.gz,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",60210be30b063414acf935ddf123a997,0.5932693771889752,3881000,2,589304000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8499574850035018,0.9832988838488189,0.9166281844261603,0.9832988838488189,57118,266847,4209157
3559000,0.005915920458379945,0.7613882863340564,0.0058344705841285776,0.0031417217271771996,3.7675213675213675,3.0,4.179187936082672,signatures/e55bfe44d199f02a0f8c1befd7e6019c.sig.gz,"GCF_014647335.1 Butyricimonas faecihominis strain=JCM 18676, ASM1464733v1",e55bfe44d199f02a0f8c1befd7e6019c,0.7720173535791757,3510000,3,585794000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8474805747615259,0.9916880193770202,0.9195842970692731,0.9916880193770202,13224,280071,4209157
3251000,0.005403949820228492,0.7238138895255558,0.005249361283384059,0.010539402545450311,14.047498416719442,13.0,18.870436509155557,signatures/a8c995daf67b413b45a7f31c15f510d6.sig.gz,"GCA_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184, ASM2515121v1",a8c995daf67b413b45a7f31c15f510d6,0.7451294980517992,3158000,4,582636000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8450096236718821,0.99055465619015,0.9177821399310161,0.99055465619015,44362,324433,4209157
3174000,0.005275957160690629,0.490952380952381,0.005141315531826123,0.004832321531366019,6.5761396702230845,3.0,23.77318541986595,signatures/df098e390010d8add7b59e4ff0574d30.sig.gz,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.5038095238095238,3093000,5,579543000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8443564924420244,0.9781279959563092,0.9112422441991668,0.9781279959563092,20340,344773,4209157
3029000,0.005034932022599847,0.6667400396213956,0.005034932022599847,0.004626817198788261,6.429514691317267,6.0,4.348707658448096,signatures/aa387c39ac911f35b9a9d7259ce43062.sig.gz,"GCF_000701705.1 Bilophila wadsworthia ATCC 49260 strain=ATCC 49260, ASM70170v1",aa387c39ac911f35b9a9d7259ce43062,0.6667400396213956,3029000,6,576514000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8430838336249977,0.9870091495730394,0.9150464915990186,0.9870091495730394,19475,364248,4209157
2886000,0.004797231369172386,0.622182942996023,0.004680874405956147,0.002639958547519135,3.946022727272727,3.0,3.8799361638881553,signatures/47030cb09435e5a03e1ce6a49f0753a5.sig.gz,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.6376491383119752,2816000,7,573698000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8417696190750977,0.9855897684259941,0.9136796937505459,0.9855897684259941,11112,375360,4209157
2813000,0.004675887678961165,0.6030383091149274,0.004552881746418283,0.011972943750969613,18.399415845198977,17.0,11.323273229758364,signatures/2fc80b3803e2d9af5d93edb14dd1cc3b.sig.gz,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",2fc80b3803e2d9af5d93edb14dd1cc3b,0.6193306913254073,2739000,8,570959000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8410742264865416,0.9846634689557711,0.9128688477211564,0.9846634689557711,50396,425756,4209157
2656000,0.004414915632890456,0.7311648596052266,0.004371697332267282,0.00811849023450539,12.993155893536121,10.0,19.583766428622198,signatures/79a393fb99d8977a1fe96a36cabdd09c.sig.gz,"GCF_000265365.1 Alistipes finegoldii DSM 17242 strain=DSM 17242, ASM26536v1",79a393fb99d8977a1fe96a36cabdd09c,0.7383931053655824,2630000,9,568329000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064431/SRR19064431_unmatched_2.fastq,SRR19064431,3320c8701bfe7f0ef6244fc2ba1e8593,601597000,31,DNA,1000,601597,true,0.8395175030017452,0.9902645083479666,0.9148910056748559,0.9902645083479666,34172,459928,4209157
