intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2067000,0.016142384105960264,0.680605861047086,0.016142384105960264,0.01319956009366971,2.6942428640541847,2.0,2.9135887268989173,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_003269195.1 Prevotella pallens strain=DSM 18710, ASM326919v1",302bef2567647ce54a6aa7bebb32f678,0.680605861047086,2067000,0,97868000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8753717071920649,0.9876647141794562,0.9315182106857606,0.9876647141794562,False,5569,5569,421908
1771000,0.013830750968386854,0.705015923566879,0.013830750968386854,0.04186694729656702,9.974025974025974,10.0,5.5407124763694675,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_013267735.1 Rothia dentocariosa strain=FDAARGOS_752, ASM1326773v1",87dd01fc34a54f5847536fb857bf8c96,0.705015923566879,1771000,1,96097000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8710183061172271,0.9887880091450093,0.9299031576311182,0.9887880091450093,False,17664,23233,421908
1625000,0.012690553542421592,0.5006253908692934,0.012503123828564288,0.01890222512964912,4.981261711430356,5.0,2.9475360348376407,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_019391775.1 Prevotella melaninogenica strain=SCHI0044.S.1, ASM1939177v1",d482bab29da232be4a899e7e9a37a7ad,0.508130081300813,1601000,2,94496000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.868604257480818,0.978397466712778,0.923500862096798,0.978397466712778,False,7975,31208,421908
1558000,0.012167312257903287,0.6435684647302905,0.01211264525802824,0.009729609298709672,2.6466795615731784,2.0,1.6092055457742735,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_916048365.1 Prevotella nanceiensis, ERR2764814_bin.4_metaWRAP_v1.1_MAG",32d2a9ba8cb7639b30578cb4b4c20496,0.6464730290456432,1551000,3,92945000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8674253012750618,0.9860268086138206,0.9267260549444412,0.9860268086138206,False,4105,35313,421908
1531000,0.01195645382981382,0.6650738488271069,0.01195645382981382,0.0141334129715483,3.8948399738732853,3.0,3.6197503473672845,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_001065605.1 Neisseria lactamica strain=595_NLAC, ASM106560v1",342fa6fe5b07db1474a7699d3288da6f,0.6650738488271069,1531000,4,91414000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8669362720053879,0.98692948717577,0.9269328795905789,0.98692948717577,False,5963,41276,421908
1642000,0.012823316256403849,0.5575091575091575,0.011886167687117331,0.015235548982242574,4.223390275952694,3.0,3.449661213457362,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_900637985.1 Rothia aeria strain=NCTC10207, 54949_H01",353260df4815cdf91055cdbcedfaca90,0.6014652014652014,1522000,5,89892000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8688959107602603,0.983734173132069,0.9263150419461647,0.983734173132069,False,6428,47704,421908
1505000,0.011753404973135075,0.7320038910505836,0.011753404973135075,0.01869364885235644,5.240531561461794,3.0,11.455153856825989,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_018195655.1 Streptococcus oralis strain=E619, ASM1819565v1",c71f03899440b0e2c4f7f45ad1328b7d,0.7320038910505836,1505000,6,88387000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8664574019280574,0.989986937261851,0.9282221695949542,0.989986937261851,False,7887,55591,421908
1401000,0.010941209546420092,0.6636579572446556,0.010909971260777208,0.023585710628857476,7.123120973514674,7.0,4.388344619398991,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCA_900538375.1 uncultured Veillonella sp., UMGS16",a6f3492f88141d042bb119f44dfe6525,0.6655581947743467,1397000,7,86990000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8644582892536397,0.9869526641766768,0.9257054767151582,0.9869526641766768,False,9951,65542,421908
1353000,0.010566350118705485,0.5775862068965517,0.010464825690366112,0.058067161561288244,18.28283582089552,18.0,8.738310111223502,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_001837295.1 Rothia sp. HMSC065C03 strain=HMSC065C03, ASM183729v1",23ecded40aee72cc4d3ae5b3ee071726,0.5831896551724138,1340000,8,85650000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8634866848998324,0.9827554881540289,0.9231210865269306,0.9827554881540289,False,24499,90041,421908
1271000,0.009925965263026365,0.4593128390596745,0.009918155691615645,0.005937313347933673,1.9724409448818898,2.0,1.2692720441666727,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-full.k31.zip,"GCF_013410305.1 Corynebacterium durum strain=DSM 45333, ASM1341030v1",bb2dbb46a577f5244bb32a0d740b2c37,0.4596745027124774,1270000,9,84380000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ11/GQ11_unmatched_2.fastq,GQ11,086e859e,128048000,31,DNA,1000,128048,True,0.8617469721972869,0.9752395461842124,0.9184932591907496,0.9752395461842124,False,2505,92546,421908
