intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3985000,0.05249361119161156,0.5725574712643678,0.05249361119161156,0.06854496836887758,3.6923462986198246,3.0,3.152852826261833,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_003641125.1_ASM364112v1_genomic,d699afdb13168ecdfb9908f3ef91d521,0.5725574712643678,3985000,0,71929000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.9093123954679192,0.9821723696636446,0.9457423825657819,0.9821723696636446,False,14714,14714,214662
3597000,0.04738256448085992,0.5974979149291076,0.04718497246884633,0.10136400480755793,6.074539363484087,5.0,4.588757959007114,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_009648855.1_ASM964885v1_genomic,d9cf265d2bc62a227cdba0b0a03e529f,0.6,3582000,1,68347000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.9063126006880526,0.9836567776983505,0.9449846891932016,0.9836567776983505,False,21759,36473,214662
2042000,0.026898859235450642,0.8141945773524721,0.026898859235450642,0.04808489625550866,5.05484818805093,4.0,3.882572188472034,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_029851525.1_ASM2985152v1_genomic,d75270eb86bbd6fe7b091c9aaadfc7f5,0.8141945773524721,2042000,2,66305000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8899103414106191,0.9933910998984009,0.9416507206545099,0.9933910998984009,False,10322,46795,214662
1800000,0.02371104144163132,0.37556077761162143,0.023157783807993257,0.027853089974005645,3.401023890784983,2.0,2.834481948501403,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_000195105.1_ASM19510v1_genomic,049852c0c98f2828f7051b78b887aca6,0.38453321939756463,1758000,3,64547000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8862965373371142,0.9696405512797472,0.9279685443084307,0.9696405512797472,False,5979,52774,214662
809000,0.010656795847933187,0.23885444346028933,0.010656795847933187,0.01305773728000298,3.464771322620519,2.0,2.2679706689292125,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_000092125.1_ASM9212v1_genomic,c0ba521bc765653682e48605efbb39c4,0.23885444346028933,809000,4,63738000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8637241307506923,0.9548601846126378,0.909292157681665,0.9548601846126378,False,2803,55577,214662
739000,0.009734699791869748,0.001487034914340593,0.006322944384435018,0.011553046184233818,5.166666666666667,2.0,36.19186909913453,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,plasmid.6.1.genomic,65dad25ba1b8fe8a2d0774a605c3027f,0.002289414170203538,480000,5,63258000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8612062628801875,0.8219205107874602,0.8415633868338239,0.8612062628801875,False,2480,58057,214662
714000,0.00940537977184709,0.06830890131479522,0.005954105962009642,0.006247030214942561,2.9668141592920354,2.0,2.179196801570823,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_030687855.1_ASM3068785v1_genomic,9efe58f8f64d044bc63cf1bc23406bc6,0.10790388393531812,452000,6,62806000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8602507166767465,0.9306955719750756,0.895473144325911,0.9306955719750756,False,1341,59398,214662
325000,0.004281160260294544,0.00012942731003854146,0.004281160260294544,0.0049612879783100874,3.276923076923077,2.0,3.5087043074559254,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_009914755.1_T2T-CHM13v2.0_genomic,7d2ab6979601ca56f418f3170a307005,0.00012942731003854146,325000,7,62481000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8386847719833469,0.7491719034463757,0.7939283377148614,0.8386847719833469,False,1065,60463,214662
310000,0.00408356824828095,0.03324408746095493,0.003925494638670074,0.003493864773457808,2.5167785234899327,2.0,1.857703087963384,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_024072595.1_ASM2407259v1_genomic,d92331919daa3a831ad74b1a1c6bc1f1,0.034582775546630966,298000,8,62183000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8374073498430764,0.8971528614524976,0.867280105647787,0.8971528614524976,False,750,61213,214662
1741000,0.022933846194377848,0.06110531803962461,0.0038596306346655425,0.004467488423661384,3.273037542662116,2.0,2.8285218444496967,/net/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/RefSeq_20250528.k31.sbt.zip,GCF_029814895.1_ASM2981489v1_genomic,8a3d77c79eb2ea56eed9da88560a09e2,0.36308654848800836,293000,9,61890000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002418/SRR20002418_unmatched_2.fastq,SRR20002418,e0792dd7,75914000,31,DNA,1000,75914,True,0.8853442232527,0.9678471584764564,0.9265956908645783,0.9678471584764564,False,959,62172,214662
