intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4559000,0.013537027139378823,0.37606203085044954,0.013537027139378823,0.02727399089859732,25.737661767931563,10.0,89.16653416241465,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_003639075.1 Streptococcus sp., ASM363907v1",68cd482d4f7b1cb1e23a5860388dddf9,0.37606203085044954,4559000,0,236476000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8704153835390295,0.9689440342486361,0.9196797088938328,0.9689440342486361,False,117338,117338,4302194
3049000,0.009053387968406676,0.6970190964136004,0.008887107310410357,0.025561608797743662,36.742733043768794,19.0,179.13577092568613,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_001072395.1 Streptococcus parasanguinis strain=348_SPAR, ASM107239v1",a72d28d5213a94ca5c59062bfd710d7b,0.7100605496040987,2993000,1,233483000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8591929041979858,0.9890154520235508,0.9241041781107683,0.9890154520235508,False,109971,227309,4302194
2400000,0.007126313914127917,0.768,0.007126313914127917,0.003625824404943152,6.499583333333334,5.0,6.823549894279533,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_000517825.1 Prevotella sp. ICM33 strain=ICM33, PspICM33v1.0",3cc604c73f86cffbe258b611b2a0dd85,0.768,2400000,2,231083000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8525847868186075,0.9915211324758997,0.9220529596472535,0.9915211324758997,False,15599,242908,4302194
2269000,0.0067373359463151015,0.7392739273927392,0.006651226319852723,0.002921765034305752,5.611607142857143,5.0,3.8754088617413345,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_000759075.1 Prevotella histicola JCM 15637 = DNF00424 strain=DNF00424, 04_NF40_HMP2132v01",956333c2f6816ea11255a0b32c35283b,0.7488448844884489,2240000,3,228843000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.85104246788911,0.9907135998916159,0.9208780338903629,0.9907135998916159,False,12570,255478,4302194
2224000,0.006603717560425203,0.8248419486798066,0.006585901775639884,0.013163051224561236,25.532010820559062,16.0,41.47323181611366,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_007096695.1 Lactococcus lactis strain=M178B.2, ASM709669v1",ff44e24d25d9033dee86efe13bddd796,0.8270732614354779,2218000,4,226625000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8504927120621295,0.9938941363392947,0.9221934242007122,0.9938941363392947,False,56630,312108,4302194
2218000,0.006585901775639884,0.7505930193154863,0.006576993883247223,0.0032406720849873344,6.294356659142212,5.0,15.835840703013343,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_008868525.1 Lactobacillus paracasei strain=BIO5452, ASM886852v1",f5db4bf85265ae8d3da21e7d40ef9708,0.7516096238563199,2215000,5,224410000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.85041859931091,0.9908313805821297,0.9206249899465199,0.9908313805821297,False,13942,326050,4302194
3043000,0.009035572183621355,0.5064635272391506,0.006514638636498604,0.013100989867030635,25.68960802187785,13.0,53.21246873720459,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_019923685.1 Streptococcus sp. LPB0406 strain=LPB0406, ASM1992368v1",fe30f335cc2b55f4a18e3f4a5a530cec,0.7024469067405356,2194000,6,222216000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8591383112330039,0.9886715760562583,0.9239049436446312,0.9886715760562583,False,56363,382413,4302194
2153000,0.006392897440465586,0.6872007660389403,0.006392897440465586,0.0026842118230837567,5.363678588016721,4.0,8.04331745738016,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_901873715.1 Actinomyces naeslundii, Actinomyces_naeslundii_BgEED02",6414cbfd4d26118a66dd3f8739390ae8,0.6872007660389403,2153000,7,220063000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8496030367369669,0.9879719929769168,0.9187875148569419,0.9879719929769168,False,11548,393961,4302194
2187000,0.006493853554249065,0.8877679697351829,0.006271156244432567,0.16979266857793954,345.8716856060606,306.0,240.28307980529826,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_009717475.1 Streptococcus salivarius strain=BIOML-A3, ASM971747v1",86b73140674a22ac01f79f3fabfac226,0.9192938209331651,2112000,8,217951000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8500325654383918,0.9972891812574811,0.9236608733479365,0.9972891812574811,False,730481,1124442,4302194
1954000,0.005802007245085812,0.6349154746423927,0.005799037947621593,0.01697250286714174,37.388120839733745,39.0,44.44558513617546,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/genbank-2022.03-bacteria-k31.zip,"GCA_016651435.1 Catonella sp. Marseille-Q4567 strain=Marseille-Q4567, ASM1665143v1",4ea84ca56b0eeafc7bda08311b978d26,0.6352405721716515,1953000,9,215998000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ8/GQ8_unmatched_2.fastq,GQ8,866bb9a0,336780000,31,DNA,1000,336780,True,0.8469492025527058,0.9854694571594256,0.9162093298560656,0.9854694571594256,False,73019,1197461,4302194
