intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4504000,0.012836516812302991,0.9340522604728329,0.012836516812302991,0.061362061023020324,50.63143872113677,47.0,28.700164113338587,signatures/80de12d878510b85b1c4a148c64d42a2.sig.gz,"GCA_021725695.1 Escherichia coli strain=CMB68, ASM2172569v1",80de12d878510b85b1c4a148c64d42a2,0.9340522604728329,4504000,0,346370000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8689247498596913,0.9978016814968612,0.9333632156782763,0.9978016814968612,228044,228044,3716368
3334000,0.009501986468076859,0.41779448621553883,0.009501986468076859,0.009978021552225184,11.122375524895022,6.0,41.09472309168848,signatures/31aa520c326fc194502e3a049c7cddd1.sig.gz,"GCA_001406235.1 [Ruminococcus] torques strain=2789STDY5834918, 14207_7#41",31aa520c326fc194502e3a049c7cddd1,0.41779448621553883,3334000,1,343036000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8605343419332814,0.9722388931171273,0.9163866175252043,0.9722388931171273,37082,265126,3716368
2889000,0.008233724926896835,0.5030482494338966,0.0082308749009616,0.012419114576382102,15.981301939058172,4.0,93.53081948384079,signatures/4d66ef9f0b5311e85842bf6f24e96cc0.sig.gz,"GCA_001913895.1 Bacteroides vulgatus, ASM191389v1",4d66ef9f0b5311e85842bf6f24e96cc0,0.5032224351158335,2888000,2,340148000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8565666724051222,0.978091207095792,0.9173289397504572,0.978091207095792,46154,311280,3716368
2552000,0.0072732661867222995,0.5406952098346757,0.007270416160787063,0.004418561348068868,6.437083496667974,5.0,5.828586734763668,signatures/f206e918f5f0fb22791679580ffb3fc3.sig.gz,"GCA_009834065.1 Aeromonas veronii strain=AVNIH1, ASM983406v1",f206e918f5f0fb22791679580ffb3fc3,0.5409071640525647,2551000,3,337597000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.853146339391565,0.9803723541114038,0.9167593467514844,0.9803723541114038,16421,327701,3716368
2495000,0.007110814708413847,0.6384615384615384,0.007096564578737667,0.08709282826673785,129.9875502008032,98.0,219.69954347525515,signatures/ccab6dfd75e39fa04816edf56f617939.sig.gz,"GCA_009494345.1 Prevotella copri strain=BU41813, ASM949434v1",ccab6dfd75e39fa04816edf56f617939,0.6397435897435897,2490000,4,335107000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8525249073641479,0.9856940322627884,0.9191094698134681,0.9856940322627884,323669,651370,3716368
2443000,0.006962613359781574,0.6034658511722731,0.006748861414638873,0.012659672023868465,19.868243243243242,16.0,23.048502874409063,signatures/9bfd896652719af4955e7626331253db.sig.gz,"GCA_015558055.1 Roseburia faecis strain=1001271B_151109_E4, ASM1555805v1",9bfd896652719af4955e7626331253db,0.622579001019368,2368000,5,332739000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8519458838976961,0.9848296422285207,0.9183877630631083,0.9848296422285207,47048,698418,3716368
2367000,0.0067460113887036375,0.45084745762711864,0.00644390863956862,0.00615412682490001,10.115435647943388,8.0,9.081693979891604,signatures/3cd98d018061f585cf58245bb2b82a1a.sig.gz,"GCA_014864805.1 Roseburia inulinivorans, ASM1486480v1",3cd98d018061f585cf58245bb2b82a1a,0.4719840478564307,2261000,6,330478000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8510777961709167,0.9760712625262643,0.9135745293485905,0.9760712625262643,22871,721289,3716368
2246000,0.00640115825054008,0.35611688954928183,0.006147505942304075,0.00439030795658557,7.564209550301345,3.0,44.74720814220355,signatures/3a1f560b2a0114f3879aa472f451b42c.sig.gz,"GCA_009678725.1 Parabacteroides distasonis strain=BIOML-A16, ASM967872v1",3a1f560b2a0114f3879aa472f451b42c,0.3708106323262341,2157000,7,328321000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8496384289618143,0.9685045897169143,0.9090715093393643,0.9685045897169143,16316,737605,3716368
2312000,0.006589259962265657,0.4593843522873023,0.006124705734822187,0.004571667821916452,7.906002791996277,5.0,13.918245179968215,signatures/b9c00fd6e05380ad9b86f29f593810df.sig.gz,"GCA_009881485.1 Blautia wexlerae strain=BIOML-A8, ASM988148v1",b9c00fd6e05380ad9b86f29f593810df,0.49422830269345874,2149000,8,326172000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8504325840221845,0.9775223529514331,0.9139774684868087,0.9775223529514331,16990,754595,3716368
2159000,0.006153205994174547,0.6870988446726572,0.0061019055273402985,0.00554762068772522,9.629612330686594,8.0,8.401009775004264,signatures/bff3e8a1ff2f46748997b855d46008f9.sig.gz,"GCA_000468015.1 Ruminococcus callidus ATCC 27760 strain=ATCC 27760, ASM46801v1",bff3e8a1ff2f46748997b855d46008f9,0.6928754813863928,2141000,9,324031000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065016/SRR19065016_unmatched_2.fastq,SRR19065016,271f5f65688daba790472c2bb62c8ec4,350874000,31,DNA,1000,350874,true,0.8485563584318742,0.9882341213247283,0.9183952398783013,0.9882341213247283,20617,775212,3716368
