intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
6219000,0.02591584746363072,0.7793233082706766,0.02591584746363072,0.03656215488871233,15.938736131210806,7.0,82.94995813928348,signatures/31aa520c326fc194502e3a049c7cddd1.sig.gz,"GCA_001406235.1 [Ruminococcus] torques strain=2789STDY5834918, 14207_7#41",31aa520c326fc194502e3a049c7cddd1,0.7793233082706766,6219000,0,233750000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8888422515213416,0.9919893771216854,0.9404158143215136,0.9919893771216854,99123,99123,2711082
4803000,0.020015085281848904,0.6587751630280692,0.019365001312669553,0.10336979847898367,60.306434258661504,41.0,65.08758502564663,signatures/32c89e0a9f7fd5b3dee4965a0bf389b5.sig.gz,"GCA_013304615.1 Blautia sp. MSK.20.9 strain=MSK.20.9, ASM1330461v1",32c89e0a9f7fd5b3dee4965a0bf389b5,0.6808902750212645,4647000,1,229103000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8814650127030919,0.9876780253206668,0.9345715190118793,0.9876780253206668,280244,379367,2711082
3904000,0.016268768049206357,0.8176298628288734,0.015151957127795674,0.08886710176969934,66.26127612761276,61.0,58.412887260873134,signatures/8d27f018535e86364fe0f0e998411510.sig.gz,"GCA_009881365.1 Blautia wexlerae strain=BIOML-A14, ASM988136v1",8d27f018535e86364fe0f0e998411510,0.8778952102541039,3636000,2,225467000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8755919567627611,0.9958079068445813,0.9356999318036712,0.9958079068445813,240926,620293,2711082
3264000,0.013601756893598757,0.44952634695085847,0.012655801374344185,0.06685559492483074,59.680935133355284,63.0,54.794307577992726,signatures/b9a3acbd8c2ce11bc0967297cf05ddbe.sig.gz,"GCA_020553045.1 bacterium MSK18_59 strain=MSK.18.59, NA",b9a3acbd8c2ce11bc0967297cf05ddbe,0.48312611012433393,3037000,3,222430000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8705493335247177,0.9768061910382413,0.9236777622814796,0.9768061910382413,181251,801544,2711082
3035000,0.012647466964482913,0.8039000274649821,0.01219740883197413,0.00792229818205425,7.337888623163649,6.0,8.338106942439863,signatures/4a33549919b3057286863cecc94d490c.sig.gz,"GCA_017776255.1 Anaerobutyricum hallii strain=SM6/1, ASM1777625v1",4a33549919b3057286863cecc94d490c,0.8335622081845647,2927000,4,219503000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8685089699285856,0.9941447272327985,0.931326848580692,0.9941447272327985,21478,823022,2711082
2983000,0.012430772308089795,0.670303605313093,0.011776521133979806,0.046477015449919994,44.58704883227176,42.0,29.069559827400777,signatures/e869cf0b15c41500b90acfad5f73aa6d.sig.gz,"GCA_900537995.1 Roseburia intestinalis L1-82 strain=L1-82, Roseburia intestinalis strain L1-82",e869cf0b15c41500b90acfad5f73aa6d,0.7075426944971537,2826000,5,216677000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8680249273908395,0.9889021277382065,0.928463527564523,0.9889021277382065,126003,949025,2711082
3015000,0.012564122865870175,0.7885071090047393,0.011093099525355359,0.007306307961175648,7.441021788129226,4.0,20.61168510561032,signatures/e02ec34f0d68aeda3b6ace178edca050.sig.gz,"GCA_020560705.1 Coprococcus comes strain=DFI.3.84, ASM2056070v1",e02ec34f0d68aeda3b6ace178edca050,0.893068720379147,2662000,6,214015000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8683237564871886,0.9963585254516584,0.9323411409694236,0.9963585254516584,19808,968833,2711082
2620000,0.01091807691826861,0.9420863309352518,0.010913909713337973,0.006495561550701897,6.723940435280642,6.0,8.444717446031094,signatures/99ebc08bb18947a40a71b7362a0b709f.sig.gz,"GCA_902362555.1 Turicibacter sanguinis, MGYG-HGUT-00037",99ebc08bb18947a40a71b7362a0b709f,0.9424460431654677,2619000,7,211396000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8643992709562016,0.9980896782842563,0.931244474620229,0.9980896782842563,17610,986443,2711082
2977000,0.012405769078505973,0.6841688654353562,0.010805562385141415,0.009212557938122123,9.63208638642499,6.0,32.86436857909851,signatures/38d60135c872a927543c84b5f3202a7e.sig.gz,"GCA_020564005.1 Blautia obeum strain=DFI.1.65, ASM2056400v1",38d60135c872a927543c84b5f3202a7e,0.7854881266490765,2593000,8,208803000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8679685517446504,0.9922415457404029,0.9301050487425266,0.9922415457404029,24976,1011419,2711082
2582000,0.010759723130904408,0.8855755894590847,0.010643041392846575,0.02884973600946043,30.624119028974157,25.0,34.754982822013076,signatures/614f224e3cc9534524ebb11ba6d73b06.sig.gz,"GCA_008416325.1 Anaerostipes hadrus strain=BIOML-A1, ASM841632v1",614f224e3cc9534524ebb11ba6d73b06,0.8952843273231623,2554000,9,206249000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8639919832212283,0.9964381672357594,0.9302150752284939,0.9964381672357594,78214,1089633,2711082
2541000,0.010588867728748296,0.9033868092691623,0.010559697294233839,0.010367447388164577,11.09194948697711,10.0,6.836042872200706,signatures/b6a87d52fdef8cddbc541f3e05b1a6fd.sig.gz,"GCA_018365095.1 Peptostreptococcaceae bacterium, ASM1836509v1",b6a87d52fdef8cddbc541f3e05b1a6fd,0.9058823529411765,2534000,10,203715000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.863545983414434,0.9968165027966541,0.9301812431055441,0.9968165027966541,28107,1117740,2711082
2378000,0.009909613325054486,0.6139597315436242,0.00953039767636653,0.018050726610261143,21.39790118058592,19.0,13.855963246970052,signatures/bbe725c8b09d2c576b443fb546244a8d.sig.gz,"GCA_020554625.1 Lachnoclostridium sp. 210928-DFI.6.3 strain=DFI.6.3, ASM2055462v1",bbe725c8b09d2c576b443fb546244a8d,0.6383892617449665,2287000,11,201428000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8617011410240041,0.9856266503079382,0.9236638956659711,0.9856266503079382,48937,1166677,2711082
4050000,0.01687717996907934,0.3957358294331773,0.009513728856643984,0.05837337269769044,69.31887866841875,85.0,57.904712217869985,signatures/04beb7c0bdbe5e4e09758cd9ac18be4f.sig.gz,"GCA_001406495.1 [Ruminococcus] torques strain=2789STDY5834965, 14207_7#88",04beb7c0bdbe5e4e09758cd9ac18be4f,0.7020280811232449,2283000,12,199145000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.8766295886818974,0.9886525549656904,0.9326410718237939,0.9886525549656904,158255,1324932,2711082
2719000,0.011330630206401661,0.6232725262576009,0.00939704711858615,0.010219904820289463,12.286917960088692,11.0,11.376978428953361,signatures/dc2dea63b8e3c3fca87090e8304c3e04.sig.gz,"GCA_020538025.1 Blautia sp. MSK17_66 strain=MSK.17.66, ASM2053802v1",dc2dea63b8e3c3fca87090e8304c3e04,0.7515201768933112,2255000,13,196890000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS58/NS58_unmatched_2.fastq,NS58,752073e9d70caa5600c2c6b4631c250e,239969000,31,DNA,1000,239969,true,0.865434097550354,0.9908275766186765,0.9281308370845153,0.9908275766186765,27707,1352639,2711082
