intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2296000,0.011761391286530237,0.8438074237412716,0.011761391286530237,0.01839779805881501,5.199477351916376,4.0,14.271243706817657,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_001815675.1 Neisseria sp. HMSC065D04 strain=HMSC065D04, ASM181567v1",9b46f9ea46e94d34715c93e7cb3adcda,0.8438074237412716,2296000,0,99624000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8664763875759006,0.9945365604164534,0.930506473996177,0.9945365604164534,False,11938,11938,648882
2119000,0.010854698665573854,0.6716323296354992,0.010854698665573854,0.0248951273112831,7.623407267579046,6.0,7.837828882122325,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000144405.1 Prevotella melaninogenica ATCC 25845 strain=ATCC 25845, ASM14440v1",33345282ddecaefe1682f1bd43bc7ffe,0.6716323296354992,2119000,1,97505000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8642369518635937,0.9872419468298118,0.9257394493467028,0.9872419468298118,False,16154,28092,648882
1986000,0.010173398560561433,0.49334073251942284,0.00910790666700817,0.022683631230331555,8.278402699662543,8.0,6.664682475501013,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_900187995.1 Prevotella jejuni strain=DSM 26989, IMG-taxon 2724679806 annotated assembly",052d4e1d04265a0bb026713fab8042a8,0.5510543840177581,1778000,2,95727000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8624317005700854,0.9809603059924012,0.9216960032812433,0.9809603059924012,False,14719,42811,648882
1761000,0.009020823194938913,0.7742960944595823,0.00873395999282842,0.03242500177227909,12.340175953079179,12.0,7.3618138920620115,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_023472875.1 Neisseria perflava strain=CCUG 17915, ASM2347287v1",c0266e06bc15a70a1f660b2410808373,0.7997275204359673,1705000,3,94022000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8590930369868868,0.9928167556928864,0.9259548963398866,0.9928167556928864,False,21040,63851,648882
1672000,0.00856491560587045,0.6796747967479675,0.00856491560587045,0.01476847870645202,5.731459330143541,5.0,3.985651991054978,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000164695.2 Rothia dentocariosa ATCC 17931 strain=ATCC 17931, ASM16469v2",749b0a6cf814c3c640e32fe578204f06,0.6796747967479675,1672000,4,92350000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8576570225579442,0.9876211008270709,0.9226390616925075,0.9876211008270709,False,9583,73434,648882
1577000,0.00807827267371872,0.5201187335092349,0.00807827267371872,0.00623842239421035,2.566899175649968,2.0,1.791474231459694,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_005696555.1 Actinomyces sp. oral taxon 171 str. F0337 strain=F0337, ASM569655v1",addc21e0789598ec415298641d9774f5,0.5201187335092349,1577000,5,90773000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8560401716624939,0.9791337395930767,0.9175869556277854,0.9791337395930767,False,4048,77482,648882
1459000,0.007473810926414466,0.6601809954751131,0.007473810926414466,0.04001035627433031,17.794379712131597,9.0,25.975265214364466,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000187745.1 Streptococcus sp. M334 strain=M334, ASM18774v1",871ce9439ca9d063f58e00414c9a5235,0.6601809954751131,1459000,6,89314000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8538952232520716,0.9866944332675731,0.9202948282598223,0.9866944332675731,False,25962,103444,648882
1348000,0.006905207079374024,0.6601371204701273,0.006905207079374024,0.008023030381486928,3.8620178041543025,3.0,5.244775223504207,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_002959915.1 Veillonella atypica KON strain=ATCC 17744, ASM295991v1",c64242b3a6215455e5c7b11a8f869a61,0.6601371204701273,1348000,7,87966000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.851718386727995,0.9866923178840804,0.9192053523060377,0.9866923178840804,False,5206,108650,648882
1348000,0.006905207079374024,0.6317519962423673,0.00688983940783239,0.01237050804306484,5.968029739776951,4.0,6.18161474067169,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_014931395.1 Haemophilus parainfluenzae strain=M1C137_2, ASM1493139v1",f933131d2119ed65677531a0c48a4c5a,0.633161108501644,1345000,8,86621000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.851718386727995,0.9853652293955211,0.918541808061758,0.9853652293955211,False,8027,116677,648882
1350000,0.006915452193735113,0.592756183745583,0.006874471736290757,0.011593787468291615,5.605812220566319,5.0,3.940926936046962,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000175615.1 Rothia mucilaginosa ATCC 25296 strain=ATCC 25296, ASM17561v1",11db2ba4a5b7213bf246441cf0a5780d,0.5962897526501767,1342000,9,85279000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq,GQ27,32a76ded,195215000,31,DNA,1000,195215,True,0.8517591212701817,0.9834599726137044,0.9176095469419431,0.9834599726137044,False,7523,124200,648882
