intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2422000,0.027702478582621325,0.38063806380638066,0.027702478582621325,0.027850368142643717,7.088769611890999,6.0,5.956902557665424,signatures/bb217474c348bbe1c7ce2dad76cea683.sig.gz,"GCF_001457615.1 Pseudomonas aeruginosa strain=NCTC10332, NCTC10332",bb217474c348bbe1c7ce2dad76cea683,0.38063806380638066,2422000,0,85007000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8907558134300869,0.9693221479097687,0.9300389806699279,0.9693221479097687,17169,17169,616473
2096000,0.02397373869082341,0.8873835732430144,0.02397373869082341,0.3383181420759709,99.5057251908397,94.0,77.65915058454004,signatures/573514f3d349904ef56eb74c28c247d7.sig.gz,"GCF_006742205.1 Staphylococcus epidermidis strain=NBRC 100911, ASM674220v1",573514f3d349904ef56eb74c28c247d7,0.8873835732430144,2096000,1,82911000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.886611605608746,0.9961532901548875,0.9413824478818167,0.9961532901548875,208564,225733,616473
1675000,0.01915840281828684,0.3688212927756654,0.018861018655137313,0.021846861095295333,8.16737416616131,6.0,6.633971995198218,signatures/71f25748ff29c1c5734ec98980e907cb.sig.gz,"GCF_000219605.1 Pseudomonas stutzeri strain=CGMCC 1.1803, ASM21960v1",71f25748ff29c1c5734ec98980e907cb,0.37463654663386264,1649000,2,81262000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8802220334600798,0.9688253377973216,0.9245236856287007,0.9688253377973216,13468,239201,616473
700000,0.008006496700179574,0.1580519182173214,0.00786924247103364,0.0065663865246328714,5.883720930232558,5.0,4.39653300155338,signatures/f9f1049741b44f56fdab607d19ee11af.sig.gz,"GCF_001447195.1 Aquabacterium parvum strain=B6, ASM144719v1",f9f1049741b44f56fdab607d19ee11af,0.16080863772111187,688000,3,80574000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8557937567033086,0.942751162370256,0.8992724595367823,0.942751162370256,4048,243249,616473
540000,0.0061764403115671,0.2222222222222222,0.0061764403115671,0.00429053664961807,4.898148148148148,4.0,3.9052192398616308,signatures/ff021938b2e5aeb2c3d43194bd8f6fed.sig.gz,"GCF_003030305.1 Cutibacterium acnes strain=ATCC 6919, ASM303030v1",ff021938b2e5aeb2c3d43194bd8f6fed,0.2222222222222222,540000,4,80034000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8486595288540072,0.9526395955589316,0.9006495622064694,0.9526395955589316,2645,245894,616473
491000,0.00561598554255453,0.16333998669328012,0.00561598554255453,0.004217540751987516,5.295315682281059,4.0,7.1070056980415,signatures/a9239d25a473d0bfcff2743fc4cf6798.sig.gz,"GCF_000290615.1 Bacillus coagulans DSM 1 = ATCC 7050 strain=DSM 1, ASM29061v1",a9239d25a473d0bfcff2743fc4cf6798,0.16333998669328012,491000,5,79543000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8460593671053224,0.9432262693988864,0.8946428182521045,0.9432262693988864,2600,248494,616473
489000,0.005593109837696874,0.1312533620225928,0.005581671985268046,0.0032783268691410654,4.141393442622951,3.0,3.2413958781126273,signatures/97ba6e5ddb76f6e678214ccd15330af6.sig.gz,"GCF_000751775.1 Bacillus thermoamylovorans strain=1A1, A1A",97ba6e5ddb76f6e678214ccd15330af6,0.13152232383001614,488000,6,79055000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8459479773955729,0.9366570971907414,0.8913025372931571,0.9366570971907414,2021,250515,616473
423000,0.004838211577394228,0.13844621513944222,0.004769584462821261,0.0033075252281932867,4.889688249400479,4.0,3.651787663627449,signatures/ecd478457205c8bcbfe9f2a3a5acfea4.sig.gz,"GCF_010093135.1 Pseudoxanthomonas taiwanensis strain=DSM 22914, ASM1009313v1",ecd478457205c8bcbfe9f2a3a5acfea4,0.14043824701195218,417000,7,78638000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8420006266544547,0.9386410187579073,0.890320822706181,0.9386410187579073,2039,252554,616473
324000,0.0037058641869402603,0.03568252556691863,0.003671550629653776,0.0028225080417147224,5.420560747663552,4.0,4.32777895849585,signatures/a0541afb9891b4188990ac45f81af15f.sig.gz,"GCF_902833645.1 Paraburkholderia fungorum strain=LMG 16225, ASM90283364v1",a0541afb9891b4188990ac45f81af15f,0.03601600711427301,321000,8,78317000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8347896975155331,0.8983288363526821,0.8665592669341076,0.8983288363526821,1740,254294,616473
281000,0.0032140365325006577,0.12589605734767026,0.0032140365325006577,0.002399131835457514,5.263345195729538,4.0,4.42675160077143,signatures/b8585e0ba0a696aed890501ac47c788a.sig.gz,"GCA_000771265.1 Bifidobacterium thermophilum DSM 20210 strain=DSM 20210, DSM-20210",b8585e0ba0a696aed890501ac47c788a,0.12589605734767026,281000,9,78036000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002429/SRR20002429_unmatched_2.fastq,SRR20002429,4d7331bfb6e5d7a196d19b16422f98c6,87429000,31,DNA,1000,87429,true,0.8309641434686871,0.9353370403519741,0.8831505919103306,0.9353370403519741,1479,255773,616473
