intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4653000,0.010695027375408563,0.7312588401697313,0.010695027375408563,0.05171373268036121,34.82441435632925,31.0,23.862425137589213,signatures/bb217474c348bbe1c7ce2dad76cea683.sig.gz,"GCF_001457615.1 Pseudomonas aeruginosa strain=NCTC10332, NCTC10332",bb217474c348bbe1c7ce2dad76cea683,0.7312588401697313,4653000,0,430409000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8638239135282328,0.9899544169807126,0.9268891652544727,0.9899544169807126,162038,162038,3133365
2661000,0.006116369620881621,0.5877879668977858,0.006040518362900001,0.024950811667328893,29.748858447488583,27.0,22.623769562775816,signatures/71f25748ff29c1c5734ec98980e907cb.sig.gz,"GCF_000219605.1 Pseudomonas stutzeri strain=CGMCC 1.1803, ASM21960v1",71f25748ff29c1c5734ec98980e907cb,0.5951688660254977,2628000,1,427781000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8483920137847657,0.9834002835642858,0.9158961486745257,0.9834002835642858,78180,240218,3133365
2226000,0.005116512129305708,0.5081552951987135,0.005084332807737748,0.009137779990521372,12.943942133815552,10.0,11.57523250764557,signatures/f9f1049741b44f56fdab607d19ee11af.sig.gz,"GCF_001447195.1 Aquabacterium parvum strain=B6, ASM144719v1",f9f1049741b44f56fdab607d19ee11af,0.5113714679531358,2212000,2,425569000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8435210711670419,0.9785981783606418,0.9110596247638418,0.9785981783606418,28632,268850,3133365
1368000,0.0031443794217835617,0.562962962962963,0.0031443794217835617,0.0047849516414461765,10.959795321637428,9.0,8.420282736441546,signatures/ff021938b2e5aeb2c3d43194bd8f6fed.sig.gz,"GCF_003030305.1 Cutibacterium acnes strain=ATCC 6919, ASM303030v1",ff021938b2e5aeb2c3d43194bd8f6fed,0.562962962962963,1368000,3,424201000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8303770178788188,0.9816370961564412,0.90600705701763,0.9816370961564412,14993,283843,3133365
1350000,0.0031030060083390414,0.22527754056362084,0.0030317517962957004,0.004304637346750219,10.22592873388931,7.0,10.773168634344971,signatures/7f5a3153366e663e263351e2ee1983fa.sig.gz,"GCF_904063055.1 Pseudomonas sp. V5/DAB/2/5 strain=V5/DAB/2/5, V5",7f5a3153366e663e263351e2ee1983fa,0.23057216054654142,1319000,4,422882000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8300223023117715,0.9537737881534651,0.8918980452326184,0.9537737881534651,13488,297331,3133365
1177000,0.0027053615346778162,0.13039128501556246,0.002696167442801256,0.003910492393959848,10.445865302642796,8.0,8.716908559775442,signatures/a0541afb9891b4188990ac45f81af15f.sig.gz,"GCF_902833645.1 Paraburkholderia fungorum strain=LMG 16225, ASM90283364v1",a0541afb9891b4188990ac45f81af15f,0.13083592707870165,1173000,5,421709000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8263586137270849,0.9364990110631345,0.8814288123951097,0.9364990110631345,12253,309584,3133365
699000,0.0016066675554288815,0.22275334608030592,0.0016066675554288815,0.0019052998932457597,8.540772532188841,6.0,7.080932908036568,signatures/45a6efd714a5a7022ba11ad07e19b0d1.sig.gz,"GCF_003003175.1 Nesterenkonia sandarakina strain=CG 35, ASM300317v1",45a6efd714a5a7022ba11ad07e19b0d1,0.22275334608030592,699000,6,421010000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8125845888428976,0.9527129579541994,0.8826487733985485,0.9527129579541994,5970,315554,3133365
613000,0.0014089945800828388,0.0948155067725362,0.0013998004882062787,0.001516261271827572,7.801313628899836,6.0,6.938500539438713,signatures/16a707ace116aee210649a59a3bac4e3.sig.gz,"GCF_001315015.1 Azospirillum brasilense strain=Sp 7, ASM131501v1",16a707ace116aee210649a59a3bac4e3,0.0954382687217811,609000,7,420401000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8091505487313281,0.9270172685136979,0.868083908622513,0.9270172685136979,4751,320305,3133365
556000,0.001277978770841857,0.16147803316846088,0.001275680247872717,0.0016037071965762048,9.054054054054054,7.0,8.29744108805183,signatures/665c776faeff4b55e776c278b0065366.sig.gz,"GCF_000368045.1 Acinetobacter johnsonii CIP 64.6 strain=CIP 64.6, Acin_john_CIP_64_6_V1",665c776faeff4b55e776c278b0065366,0.1617689845795752,555000,8,419846000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8066071230491644,0.942932255616367,0.8747696893327657,0.942932255616367,5025,325330,3133365
481000,0.0011055895481563546,0.154296875,0.0010894998873723744,0.0013940284646059428,9.215189873417721,7.0,7.300374337681403,signatures/e395f56abdba5b0e317f4c836665ec14.sig.gz,"GCA_019745555.1 Burkholderiaceae bacterium, ASM1974555v1",e395f56abdba5b0e317f4c836665ec14,0.15657552083333334,474000,9,419372000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002425/SRR20002425_unmatched_2.fastq,SRR20002425,549396df16cebd52c27f51dd930c116e,435062000,31,DNA,1000,435062,true,0.8028456564128756,0.9419402399697507,0.8723929481913132,0.9419402399697507,4368,329698,3133365
