intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3662000,0.021146239353255377,0.8062527520915896,0.021146239353255377,0.06680904128615059,9.772801747678864,9.0,13.136607073358043,signatures/2fc80b3803e2d9af5d93edb14dd1cc3b.sig.gz,GCF_025147485.1 Bacteroides uniformis strain=ATCC 8492 ASM2514748v1,2fc80b3803e2d9af5d93edb14dd1cc3b,0.8062527520915896,3662000,0,169513000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8830296018482836,0.99307704267099,0.9380533222596368,0.99307704267099,35788,35788,535676
3519000,0.02032048505846687,0.6956,0.02008373033059044,0.029407701670412713,4.529327199539965,4.0,8.059627351767084,signatures/960cc77fc7b96d595712107aaa1524b5.sig.gz,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.7038,3478000,1,166035000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8818957061576653,0.9887329522730053,0.9353143292153353,0.9887329522730053,15753,51541,535676
3052000,0.017623790962898803,0.6405375139977604,0.016515085895770176,0.021412196925006906,4.010489510489511,3.0,4.6022070303919715,signatures/a65db27ac6f6490cca7eeb016c93eea7.sig.gz,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",a65db27ac6f6490cca7eeb016c93eea7,0.683538633818589,2860000,2,163175000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.877854539212336,0.9878017161044468,0.9328281276583914,0.9878017161044468,11470,63011,535676
2831000,0.01634762523458929,0.7038712921065863,0.016168615562292477,0.07190540550631352,13.756428571428572,12.0,12.096012983708349,signatures/21dcfee3f1e24fb9aebbbe6b8ae42cad.sig.gz,"GCF_000154845.1 Bacteroides coprocola DSM 17136 strain=DSM 17136, ASM15484v1",21dcfee3f1e24fb9aebbbe6b8ae42cad,0.7116641528406235,2800000,3,160375000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8757285439997394,0.9890874248866682,0.9324079844432038,0.9890874248866682,38518,101529,535676
2529000,0.014603724556084885,0.516315667669521,0.012882921899812329,0.06625273486211815,15.907664724338861,15.0,10.14769856492576,signatures/4fede25466357d8494c5b32e1ffd6afe.sig.gz,"GCF_000187895.1 Bacteroides plebeius DSM 17135 strain=DSM 17135, ASM18789v1",4fede25466357d8494c5b32e1ffd6afe,0.5852811849109003,2231000,4,158144000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.872547642498454,0.9828689854423666,0.9277083139704103,0.9828689854423666,35490,137019,535676
2015000,0.011635628699292622,0.5845662895271251,0.011635628699292622,0.014686116234440222,3.9042183622828786,3.0,4.016004838207552,signatures/8c264a558b00116d93f31f085905a4ee.sig.gz,"GCA_001916965.1 Roseburia sp. CAG:10041_57, ASM191696v1",8c264a558b00116d93f31f085905a4ee,0.5845662895271251,2015000,5,156129000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8661759565144831,0.9828302357127306,0.9245030961136069,0.9828302357127306,7867,144886,535676
1758000,0.010151580770896493,0.5691109669046074,0.010128482748664645,0.010431678850648527,3.1858608893956673,3.0,2.3960021517772048,signatures/77a3e7c3120575d9da787e808e54cdea.sig.gz,GCF_025149915.1 Coprococcus eutactus strain=ATCC 27759 ASM2514991v1,77a3e7c3120575d9da787e808e54cdea,0.5704088254380273,1754000,6,154375000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8623719752095839,0.9820532559953341,0.922212615602459,0.9820532559953341,5588,150474,535676
1778000,0.010267070882055723,0.26432783910479357,0.010093835715316876,0.005667605044840538,1.736842105263158,1.0,1.193265659389945,signatures/4e1788a417277623d5d9145c388358e7.sig.gz,GCF_028539415.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838 ASM2853941v1,4e1788a417277623d5d9145c388358e7,0.26886435808256465,1748000,7,152627000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8626867243477649,0.9585126442378351,0.9105996842928,0.9585126442378351,3036,153510,535676
1817000,0.010492276598816226,0.478510813030386,0.010093835715316876,0.007786423136373479,2.3861556064073226,2.0,3.139249659440806,signatures/00191848f4049b7a1cb875559983f7c7.sig.gz,GCF_025145845.1 Alistipes shahii WAL 8301 strain=WAL 8301 ASM2514584v1,00191848f4049b7a1cb875559983f7c7,0.49739939775526965,1748000,8,150879000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8632907510840426,0.9777240510909351,0.9205074010874889,0.9777240510909351,4171,157681,535676
1825000,0.010538472643279919,0.38711895484758196,0.009753139887397141,0.0058318834519373655,1.8496151568975725,1.0,1.563308239717761,signatures/a8c995daf67b413b45a7f31c15f510d6.sig.gz,GCF_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184 ASM2515121v1,a8c995daf67b413b45a7f31c15f510d6,0.41829016731606694,1689000,9,149190000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091517/SRR5091517_unmatched_2.fastq,SRR5091517,2e57ff2688f84674c74f670afe9373ed,173175000,31,DNA,1000,173175,true,0.8634131019105822,0.9722760810259274,0.9178445914682548,0.9722760810259274,3124,160805,535676
