intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
6023000,0.017912640560546984,0.9223583460949464,0.017912640560546984,0.04195731550467269,23.93973103104765,20.0,19.833053522205216,signatures/c9ec4d1fd087d83b4329356906928061.sig.gz,"GCA_022747525.1 Bacteroides ovatus, ASM2274752v1",c9ec4d1fd087d83b4329356906928061,0.9223583460949464,6023000,0,330220000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8783150207877616,0.99739625148013,0.9378556361339458,0.99739625148013,144189,144189,3436564
5344000,0.01589326766653878,0.8924082453494219,0.015836760913981854,0.07759349163874149,50.07605633802817,38.0,76.58770319810591,signatures/be9bda7eb7ecb1a6a9dd1de6bbf6ab85.sig.gz,"GCA_004347605.1 Bacteroides dorei strain=RJX1045, ASM434760v1",be9bda7eb7ecb1a6a9dd1de6bbf6ab85,0.8955924250041897,5325000,1,324895000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8749326415572047,0.9964492269473341,0.9356909342522695,0.9964492269473341,266655,410844,3436564
4588000,0.013644893722694599,0.8937575030012005,0.013285034930095198,0.09419612147482194,72.46720394000448,51.0,371.7851646165002,signatures/ec6dd96b704e5c23234edc184fb2067d.sig.gz,"GCF_022136535.1 Bacteroides uniformis strain=DFI.5.36, NA",ec6dd96b704e5c23234edc184fb2067d,0.9179671868747499,4467000,2,320428000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.870638257593728,0.997242723349032,0.93394049047138,0.997242723349032,323711,734555,3436564
4205000,0.012505836552731209,0.7322806387941863,0.01213705564130703,0.023032889828328528,19.395736339132565,8.0,246.34724263006584,signatures/8d8c953ce26498f214538d8632c323e7.sig.gz,"GCF_015548795.1 Bacteroides nordii strain=D6t1_180914_C9, ASM1554879v1",8d8c953ce26498f214538d8632c323e7,0.7545307733716131,4081000,3,316347000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8681935204567259,0.9909553698512144,0.9295744451539701,0.9909553698512144,79154,813709,3436564
4765000,0.01417129873335653,0.6005303384807362,0.011450052491799086,0.023298562168491552,20.796623376623376,8.0,204.2790526833863,signatures/e6926dd01541bce8b0d47713832ab6c9.sig.gz,"GCA_022715565.1 Bacteroides caccae, ASM2271556v1",e6926dd01541bce8b0d47713832ab6c9,0.7432537825612229,3850000,4,312497000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8717020219007511,0.9904741217762244,0.9310880718384877,0.9904741217762244,80067,893776,3436564
3746000,0.011140752372540098,0.7542129058775174,0.010914725362312375,0.009993412024335936,9.357765667574931,7.0,13.955527394961418,signatures/4112ecff54d2eb134ed39a3d5dcd53fa.sig.gz,"GCA_008680675.1 Parabacteroides distasonis, ASM868067v1",4112ecff54d2eb134ed39a3d5dcd53fa,0.7698314837648993,3670000,5,308827000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8649624270220713,0.9915973195845438,0.9282798733033075,0.9915973195845438,34343,928119,3436564
3659000,0.01088201092662152,0.7999125300677892,0.010879036887013261,0.029631341072070824,27.837616183706945,22.0,37.012290689905036,signatures/e0253071e9d8f406512894a280c88d6e.sig.gz,"GCF_020564165.1 Blautia faecis strain=DFI.1.205, ASM2056416v1",e0253071e9d8f406512894a280c88d6e,0.8001312048983162,3658000,6,305169000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8643070139097089,0.9928329179251573,0.9285699659174331,0.9928329179251573,101830,1029949,3436564
4009000,0.011922924789512348,0.5024803034724249,0.010242592410845727,0.009481854550068032,9.461382113821138,6.0,16.72162133757146,signatures/d34b9baefa32823dafd2202f738ae95e.sig.gz,"GCF_021411065.1 Bacteroides thetaiotaomicron strain=BJH_202, ASM2141106v1",d34b9baefa32823dafd2202f738ae95e,0.5849139188794864,3444000,7,301725000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8668577422595558,0.9828490841153632,0.9248534131874595,0.9828490841153632,32585,1062534,3436564
3460000,0.010290177044577879,0.4844004140174479,0.00974295375665813,0.009781281535859655,10.260683760683762,5.0,26.051895799464315,signatures/b60b620b94ab673c732cb872b614dc7b.sig.gz,"GCF_008572295.1 Bacteroides cellulosilyticus strain=BIOML-A3, ASM857229v1",b60b620b94ab673c732cb872b614dc7b,0.5116072748780127,3276000,8,298449000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8627492848456394,0.9786127318082672,0.9206810083269533,0.9786127318082672,33614,1096148,3436564
3420000,0.010171215460247499,0.68068669527897,0.009433653637399142,0.011075306614397405,11.99905422446406,7.0,24.974735008905135,signatures/be3a000c53b737119a7fe3478aca87d1.sig.gz,"GCF_015547825.1 Parabacteroides merdae strain=1001713B170207_170306_F10, ASM1554782v1",be3a000c53b737119a7fe3478aca87d1,0.7339055793991416,3172000,9,295277000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064381/SRR19064381_unmatched_2.fastq,SRR19064381,e7192b845de88925f0ba3f32359162c4,336243000,31,DNA,1000,336243,true,0.8624257300007094,0.9900697979200913,0.9262477639604003,0.9900697979200913,38061,1134209,3436564
