intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3795000,0.011147567950228091,0.759,0.011147567950228091,0.007836670819022108,4.301712779973649,3.0,28.451986872865028,signatures/960cc77fc7b96d595712107aaa1524b5.sig.gz,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.759,3795000,0,336638000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8649794915851775,0.991144171659857,0.9280618316225173,0.991144171659857,16325,16325,2083155
3689000,0.010836199780867308,0.8233980799285555,0.0108332623453073,0.040984948311575474,23.150216919739698,21.0,46.19138949064624,signatures/20e22b7a195404638366fe78b372a400.sig.gz,GCF_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850 ASM2514812v1,20e22b7a195404638366fe78b372a400,0.8236213440500112,3688000,1,332950000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8641894011219171,0.9937600534288618,0.9289747272753894,0.9937600534288618,85378,101703,2083155
3292000,0.009670037863544369,0.777804583835947,0.009470292245463864,0.010665552971334346,6.891439205955335,4.0,18.97356790564513,signatures/928b2d7b80c57c283b973481c1cf1d26.sig.gz,"GCF_020554845.1 Blautia faecis strain=DFI.3.66, ASM2055484v1",928b2d7b80c57c283b973481c1cf1d26,0.7942098914354644,3224000,2,329726000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8610211352327954,0.9925950525391638,0.9268080938859796,0.9925950525391638,22218,123921,2083155
2791000,0.00819838264798066,0.7535664335664336,0.007913451398659942,0.025527625164714098,19.739420935412028,19.0,16.519083849181268,signatures/6fb5d9fae55cc8ecb2a67f82352fb7a7.sig.gz,GCF_025147765.1 Blautia obeum ATCC 29174 strain=ATCC 29174 ASM2514776v1,6fb5d9fae55cc8ecb2a67f82352fb7a7,0.7806993006993007,2694000,3,327032000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8564478218284441,0.9920458282913012,0.9242468250598727,0.9920458282913012,53178,177099,2083155
2775000,0.008151383679020541,0.7008434370057987,0.007810641154059683,0.005281892129966325,4.138021812711545,3.0,8.855157789617733,signatures/7cd4b3339789e10ae81fb36d32edd892.sig.gz,"GCF_020686945.1 Fusicatenibacter sp. CLA-AA-H277 strain=CLA-AA-H277, ASM2068694v1",7cd4b3339789e10ae81fb36d32edd892,0.7314180284659989,2659000,4,324373000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8562890011975853,0.9899613679883759,0.9231251845929807,0.9899613679883759,11003,188102,2083155
2750000,0.008077947790020357,0.7355824682814303,0.007493398113578883,0.017376527430748072,14.189729517836144,13.0,9.006774115846364,signatures/05df2d9cef43af2f34e1eb0c217ff27b.sig.gz,"GCF_020687435.1 Blautia sp. CLA-AA-H217 strain=CLA-AA-H217, ASM2068743v1",05df2d9cef43af2f34e1eb0c217ff27b,0.792964244521338,2551000,5,321822000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8560390610812997,0.9925447951549248,0.9242919281181122,0.9925447951549248,36198,224300,2083155
2541000,0.007464023757978809,0.8167791706846673,0.007464023757978809,0.005577117401249547,4.572215663124754,4.0,2.6279158895963257,signatures/dc265546367468bce45238d035694f73.sig.gz,GCF_000435835.1 Clostridium sp. CAG:221 MGS221,dc265546367468bce45238d035694f73,0.8167791706846673,2541000,6,319281000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8538591294042565,0.9934926677765882,0.9236758985904223,0.9934926677765882,11618,235918,2083155
2636000,0.007743080136179512,0.657346346610393,0.007320089415538447,0.015352194147819053,12.83346709470305,11.0,20.44353584001983,signatures/0c12e5258167a95b3340bc8d07d5f489.sig.gz,GCF_027667425.1 Fusicatenibacter saccharivorans strain=AM67-22ACA ASM2766742v1,0c12e5258167a95b3340bc8d07d5f489,0.6953310472170932,2492000,7,316789000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8548707225015978,0.98834690620428,0.9216088143529388,0.98834690620428,31981,267899,2083155
2430000,0.007137968410817988,0.723153320918684,0.006844224854817248,0.010435133247405979,9.32961373390558,9.0,5.448741109570606,signatures/d857a1209d50af1cfcfc6c682397f261.sig.gz,"GCF_000173975.1 Anaerobutyricum hallii DSM 3353 strain=DSM 3353, ASM17397v1",d857a1209d50af1cfcfc6c682397f261,0.7541899441340782,2330000,8,314459000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.8526297297111881,0.9909409271898422,0.9217853284505151,0.9909409271898422,21738,289637,2083155
2433000,0.00714678071749801,0.6595495758993858,0.006623917187816692,0.007346068823491291,6.786252771618625,4.0,15.308026876289334,signatures/8c91537000df08516afde1ea4eac7752.sig.gz,GCF_025149785.1 Coprococcus comes ATCC 27758 strain=ATCC 27758 ASM2514978v1,8c91537000df08516afde1ea4eac7752,0.7116115823340158,2255000,9,312204000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS70/NS70_unmatched_2.fastq,NS70,da3abd511dd8a8184a7c29b92e142fa3,340433000,31,DNA,1000,340433,true,0.852663665227119,0.9890850679083808,0.9208743665677499,0.9890850679083808,15303,304940,2083155
