intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5067000,0.020922367980972908,0.8665982555156491,0.020922367980972908,0.06224630787351636,43.38740872311032,36.0,146.16419830765182,signatures/1b498151dadac2cc0e7566e6245e17a2.sig.gz,"GCF_024460835.1 Blautia producta strain=DFI.9.79, ASM2446083v1",1b498151dadac2cc0e7566e6245e17a2,0.8665982555156491,5067000,0,237114000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.882726482583216,0.9953919471370296,0.9390592148601228,0.9953919471370296,219844,219844,3531840
4221000,0.017429112936192353,0.576560579155853,0.017429112936192353,0.008277838180665036,6.926320777067046,5.0,12.444333150768758,signatures/e38fe3fd7d0c64ca14f878b8d7dee6b9.sig.gz,"GCA_021769355.1 Eisenbergiella tayi, ASM2176935v1",e38fe3fd7d0c64ca14f878b8d7dee6b9,0.576560579155853,4221000,1,232893000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8775400465951555,0.9823931392403372,0.9299665929177463,0.9823931392403372,29236,249080,3531840
4142000,0.017102910632956343,0.6162901686286987,0.015996300287801274,0.009253533568904593,8.436241610738255,7.0,11.356484251652969,signatures/71de4be0e456195583195979eedc7db9.sig.gz,"GCF_004210255.1 Blautia producta strain=PMF1, ASM421025v1",71de4be0e456195583195979eedc7db9,0.6589245943366211,3874000,2,229019000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8770053827427585,0.9866338034127616,0.9318195930777601,0.9866338034127616,32682,281762,3531840
3752000,0.01549254483217098,0.7371630926618139,0.015471899116776296,0.0071965321192353,6.783293301307713,5.0,13.61850138500888,signatures/edd8c10e0f6c5a9dc33a44f63425ca39.sig.gz,"GCA_022774295.1 Faecalicatena sp., ASM2277429v1",edd8c10e0f6c5a9dc33a44f63425ca39,0.7381467637222113,3747000,3,225272000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8742122006404882,0.9902538495105281,0.9322330250755082,0.9902538495105281,25417,307179,3531840
3266000,0.013485781295807681,0.9049598226655583,0.013485781295807681,0.01079777113346018,11.676668707899571,9.0,11.48009489234096,signatures/aa9e1cae8cdb9ffad29d5e57edbea378.sig.gz_0,"GCF_902375885.1 Neglecta timonensis, MGYG-HGUT-01539",aa9e1cae8cdb9ffad29d5e57edbea378,0.9049598226655583,3266000,4,222006000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8703088964445806,0.996783740340822,0.9335463183927013,0.996783740340822,38136,345315,3531840
3170000,0.013089383560229746,0.8216510903426791,0.013068737844835062,0.011200960405907403,12.499210110584519,9.0,21.429433391711903,signatures/4fe281a0aec397c52e1ad3b4d779035b.sig.gz,"GCF_020538945.1 Erysipelatoclostridium ramosum strain=MSK.23.1, ASM2053894v1",4fe281a0aec397c52e1ad3b4d779035b,0.8229491173416407,3165000,5,218841000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8694717138926435,0.9937338788570925,0.9316027963748681,0.9937338788570925,39560,384875,3531840
3099000,0.012796214401625232,0.9967835316822129,0.012796214401625232,0.044219443689408354,50.39561148757664,48.0,32.06715374408724,signatures/a0c5f4bf4fee288906e611d90c1b4709.sig.gz,"GCA_934839355.1 Akkermansia muciniphila, MTG232_bin.17.fa",a0c5f4bf4fee288906e611d90c1b4709,0.9967835316822129,3099000,6,215742000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8688366115046479,0.9998960811331329,0.9343663463188904,0.9998960811331329,156176,541051,3531840
2798000,0.011553342334865246,0.8705623625510525,0.011441855471733951,0.026843798133550784,34.21436304583183,30.0,28.46718477989971,signatures/22ebb597f80928e98aff71fb09e1c35a.sig.gz,"GCF_020555005.1 Longicatena caecimuris strain=DFI.2.51, ASM2055500v1",22ebb597f80928e98aff71fb09e1c35a,0.8790449261702796,2771000,7,212971000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8659776792431493,0.995849949165327,0.9309138142042381,0.995849949165327,94808,635859,3531840
2716000,0.011214752602392426,0.7676136363636363,0.01115694459928731,0.03457885974449579,45.198741672834934,42.0,74.249126220654,signatures/de91ab4aa72e89c825b8e3f2dac4ab22.sig.gz,"GCF_016889005.1 [Clostridium] scindens strain=FDAARGOS_1227, ASM1688900v1",de91ab4aa72e89c825b8e3f2dac4ab22,0.7715909090909091,2702000,8,210269000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8651471675114207,0.9916703441532765,0.9284087558323486,0.9916703441532765,122127,757986,3531840
2539000,0.010483894277420606,0.7208968094279965,0.010355890841973565,0.01598826673915013,22.515151515151516,20.0,28.10685653833739,signatures/ab26379e9ff8e6d4962fc8dabf4b404f.sig.gz,"GCF_022133415.1 Sellimonas intestinalis strain=MSK.1.22, NA",ab26379e9ff8e6d4962fc8dabf4b404f,0.7298074159241161,2508000,9,207761000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.863268494530657,0.9898909724501462,0.9265797334904016,0.9898909724501462,56468,814454,3531840
2464000,0.010174208546500346,0.7766093052899936,0.01006272168336905,0.07307012775210656,105.8974148543291,98.0,56.374809480050764,signatures/bd404efcfcc7bf49472d36fddcbe327a.sig.gz,"GCF_002865385.1 [Ruminococcus] gnavus strain=RJX1127, ASM286538v1",bd404efcfcc7bf49472d36fddcbe327a,0.7852135117909497,2437000,10,205324000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8624339154883675,0.992230353588431,0.9273321345383992,0.992230353588431,258072,1072526,3531840
2419000,0.009988397107948188,0.9237839908081195,0.00995949310639563,0.008204788438887379,12.014096185737976,9.0,31.970637964307375,signatures/ff319075e0e50fcb7f8fec8840a453c8.sig.gz_0,"GCF_003425665.1 Evtepia gabavorous strain=KLE1738, ASM342566v1",ff319075e0e50fcb7f8fec8840a453c8,0.9264649559555725,2412000,11,202912000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8619212865610676,0.9975391921804309,0.9297302393707492,0.9975391921804309,28978,1101504,3531840
2300000,0.009497029081554705,0.6915604128718883,0.009406187933818094,0.0039053297997644286,6.054872695346796,4.0,15.585783758326622,signatures/c3a33d2c55b0df0f06de555bbe386617.sig.gz,"GCF_000185825.1 Anaerostipes caccae strain=3_2_56FAA, ASM18582v1",c3a33d2c55b0df0f06de555bbe386617,0.6982392228293868,2278000,12,200634000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064373/SRR19064373_unmatched_2.fastq,SRR19064373,acd192a6b83fdb4d7bc35325ebb188bf,242181000,31,DNA,1000,242181,true,0.8605198557309619,0.9884799820794694,0.9244999189052157,0.9884799820794694,13793,1115297,3531840
