intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
6901000,0.019530045025795733,0.9562144935568796,0.019530045025795733,0.10213213324476461,44.73757426459933,40.0,30.88985003824377,signatures/ed637ce0849ed00dc0eb3a30f8e4230c.sig.gz,"GCA_021667175.1 Pseudomonas aeruginosa strain=PS07, PDT000866453.1",ed637ce0849ed00dc0eb3a30f8e4230c,0.9562144935568796,6901000,0,346452000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8807677312657791,0.9985567513429063,0.9396622413043427,0.9985567513429063,308734,308734,3022888
3799000,0.010751288371684972,0.9139072847682119,0.010544696097104029,0.051921209121872855,42.123456790123456,38.0,27.458049835558537,signatures/7b2e6c817a0634c4bc2e68ca6d223d8f.sig.gz,"GCA_003331695.1 Pseudomonas sp., ASM333169v1",7b2e6c817a0634c4bc2e68ca6d223d8f,0.931812607309296,3726000,1,342726000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8639701265308198,0.9977244140599085,0.9308472702953642,0.9977244140599085,156952,465686,3022888
2155000,0.006098717146875787,0.4948311509303928,0.006095887115717144,0.012448360640553007,17.46982358402971,14.0,14.576862820272419,signatures/f9f1049741b44f56fdab607d19ee11af.sig.gz,"GCA_001447195.1 Aquabacterium parvum strain=B6, ASM144719v1",f9f1049741b44f56fdab607d19ee11af,0.4950608775557087,2154000,2,340572000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8483129178879223,0.9775754300197396,0.9129441739538309,0.9775754300197396,37630,503316,3022888
2032000,0.005750623314362691,0.5707865168539326,0.005750623314362691,0.005890724366896822,8.763287401574804,6.0,7.854895322763605,signatures/48a642d008b08a0744ec69f753c17953.sig.gz,"GCA_003226535.1 Meiothermus sp. Pnk-1 strain=Pnk-1, ASM322653v1",48a642d008b08a0744ec69f753c17953,0.5707865168539326,2032000,3,338540000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8467061989810841,0.9820742253525543,0.9143902121668193,0.9820742253525543,17807,521123,3022888
1988000,0.005626101943382397,0.6035830618892508,0.005244047736965584,0.008336729643969608,13.600107933081489,10.0,11.16453698632189,signatures/d374947474e97123c437127ce5c365ae.sig.gz,"GCA_016235285.1 Meiothermus silvanus, ASM1623528v1",d374947474e97123c437127ce5c365ae,0.647557003257329,1853000,4,336687000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8461084873964044,0.9860800983360251,0.9160942928662148,0.9860800983360251,25201,546324,3022888
1739000,0.004921424184880276,0.6409878363435312,0.004921424184880276,0.010083072876004668,17.527314548591143,14.0,13.30868210221579,signatures/98ce8be75f5488075c113310a4c63ba3.sig.gz,"GCA_011525575.1 Cutibacterium acnes, ASM1152557v1",98ce8be75f5488075c113310a4c63ba3,0.6409878363435312,1739000,5,334948000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8424639308340237,0.9857558157720908,0.9141098733030573,0.9857558157720908,30480,576804,3022888
1695000,0.004796902813899981,0.19840525328330205,0.004788412720424052,0.007766083295179973,13.874704491725769,11.0,10.46240136903401,signatures/ad7114bd75e568ad37fbc58a859476e9.sig.gz,"GCA_009455635.1 Paraburkholderia agricolaris strain=BaQS159, ASM945563v1",ad7114bd75e568ad37fbc58a859476e9,0.19875703564727956,1692000,6,333256000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8417677592858946,0.9492164200908838,0.8954920896883892,0.9492164200908838,23476,600280,3022888
1115000,0.003155484741887008,0.26572926596758817,0.003155484741887008,0.003766927520966705,10.212556053811658,8.0,10.872956710894812,signatures/e116aa557d633e43d64d3443fbd019f9.sig.gz,"GCA_001457055.1 Bacillus sp. SGD-V-76 strain=SGD-V-76, ASM145705v1",e116aa557d633e43d64d3443fbd019f9,0.26572926596758817,1115000,7,332141000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8304714606375161,0.9581500545055898,0.894310757571553,0.9581500545055898,11387,611667,3022888
985000,0.0027875806912634107,0.287467134092901,0.0027847506601047676,0.003730538478435192,11.460365853658537,9.0,9.28043522227981,signatures/b817b58d3e40a020df051d92664d82c3.sig.gz,"GCA_009823385.1 Acinetobacter johnsonii strain=JH7, ASM982338v1",b817b58d3e40a020df051d92664d82c3,0.28775927548933683,984000,8,331157000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8271570624163163,0.9606149323311957,0.893885997373756,0.9606149323311957,11277,622944,3022888
848000,0.002399866422529312,0.12197231833910034,0.002394206360212026,0.00317544017509084,11.346335697399526,9.0,8.639039684331188,signatures/f1f5d51b6cf8d067be5e8e73ce4cebd2.sig.gz,"GCA_007828115.1 Azospirillum brasilense strain=BR 11002, ASM782811v1",f1f5d51b6cf8d067be5e8e73ce4cebd2,0.12226066897347174,846000,9,330311000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002361/SRR20002361_unmatched_2.fastq,SRR20002361,7f6069823043afecbc5910103f0313e4,353353000,31,DNA,1000,353353,true,0.8231707033079864,0.9344533766071772,0.8788120399575818,0.9344533766071772,9599,632543,3022888
