intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
1174000,0.000669497107304875,0.17026831036983323,0.000669497107304875,0.000670106944738351,1.6345826235093697,1.0,3.066863613490591,signatures/48fe550b161c1b6a0798cff176c79725.sig.gz,"GCF_022829385.1 Methylobacterium sp. J-070 strain=J-070, ASM2282938v1",48fe550b161c1b6a0798cff176c79725,0.17026831036983323,1174000,0,1752381000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7899594466618235,0.9444910901597245,0.867225268410774,0.9444910901597245,1919,1919,2863722
1150000,0.0006558106247023902,0.12979683972911965,0.0006558106247023902,0.0009753041670944317,2.428695652173913,2.0,2.5584732273757496,signatures/b7c91e4f6f0e2e1a8285e3866edc9796.sig.gz,"GCF_002245985.1 Nostoc sp. 'Peltigera membranacea cyanobiont' 232 strain=232, ASM224598v1",b7c91e4f6f0e2e1a8285e3866edc9796,0.12979683972911965,1150000,1,1751231000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.789433285263858,0.936258161913647,0.8628457235887526,0.936258161913647,2793,4712,2863722
939000,0.0005354836318222126,0.1150735294117647,0.0005354836318222126,0.0004948105996322268,1.509052183173589,1.0,1.423473176935846,signatures/fd0c18741012ebc26c58ba341945dc59.sig.gz,"GCF_001557535.2 Burkholderia sp. PAMC 26561 strain=PAMC 26561, ASM155753v2",fd0c18741012ebc26c58ba341945dc59,0.1150735294117647,939000,2,1750292000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7842882054049529,0.932628934035783,0.8584585697203679,0.932628934035783,1417,6129,2863722
879000,0.000501267425316001,0.09230277866496327,0.0004944241840147585,0.0008143248541583296,2.6897347174163784,2.0,2.7880819513937265,signatures/43d2844c19c3a510b4109eb982d98e3d.sig.gz,GCA_937873135.1 uncultured Scytonema sp. SRR13685156_bin.26_CONCOCT_v1.1_MAG,43d2844c19c3a510b4109eb982d98e3d,0.09358032577451293,867000,3,1749425000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7826194347025093,0.9264295623366456,0.8545244985195775,0.9264295623366456,2332,8461,2863722
1088000,0.0006204538779793049,0.09357839291718031,0.00047617554054477904,0.0005412536552081522,1.8562874251497006,1.0,1.9375750295746215,signatures/b934245b074c1504958680c36c38a3f9.sig.gz,"GCA_003326195.1 Nostoc punctiforme NIES-2108, ASM332619v1",b934245b074c1504958680c36c38a3f9,0.12193208562142777,835000,4,1748590000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7880232228637973,0.9343722580658586,0.8611977404648279,0.9343722580658586,1550,10011,2863722
759000,0.0004328350123035776,0.11994929488195215,0.00043169447208670387,0.0006753448833371396,2.5548216644649933,2.0,2.9137706351563586,signatures/be84853b0c595a0b38db8da38d8600ce.sig.gz,GCF_023231945.1 Scleromatobacter humisilvae strain=BS-T2-15 ASM2323194v1,be84853b0c595a0b38db8da38d8600ce,0.12026620186975123,757000,5,1747833000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7789225383309669,0.9339577124250311,0.856440125377999,0.9339577124250311,1934,11945,2863722
722000,0.0004117350182914137,0.09744904845458227,0.0004117350182914137,0.00040367046801330575,1.6011080332409973,1.0,2.5364705759753368,signatures/50eb584445706a041942988680bc0cd3.sig.gz,"GCF_003330725.1 Acidisarcina polymorpha strain=SBC82, ASM333072v1",50eb584445706a041942988680bc0cd3,0.09744904845458227,722000,6,1747111000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7776678103260811,0.9276409728203233,0.8526543915732022,0.9276409728203233,1156,13101,2863722
993000,0.0005662782176778031,0.08002458512599878,0.0003712458405923966,0.0004605894007868082,2.0261136712749614,2.0,1.7721848438352565,signatures/5fecf54fd95f6a535be00ea420845bb9.sig.gz,"GCF_020829625.1 Nostoc sp. XA010 strain=XA010, ASM2082962v1",5fecf54fd95f6a535be00ea420845bb9,0.12206515058389675,651000,7,1746460000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7857041148723812,0.9344051337447112,0.8600546243085463,0.9344051337447112,1319,14420,2863722
515000,0.00029368910584498347,0.07629629629629629,0.00029368910584498347,0.0003519894738385919,1.9572815533980583,2.0,1.2549399043165892,signatures/c503a02e822521b2eb9d88f905419341.sig.gz,"GCA_013695595.1 Ktedonobacteraceae bacterium, ASM1369559v1",c503a02e822521b2eb9d88f905419341,0.07629629629629629,515000,8,1745945000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7692382974374764,0.9203472614700733,0.8447927794537748,0.9203472614700733,1008,15428,2863722
1012000,0.0005771133497381035,0.05737797317100665,0.0002902674851943623,0.00039214700309597093,2.206286836935167,2.0,1.8822612545804336,signatures/9b4764380df8391b873f2e264e9af2c4.sig.gz,GCF_026127265.1 Nostoc sp. KVJ3 strain=KVJ3 ASM2612726v1,9b4764380df8391b873f2e264e9af2c4,0.11407958516514485,509000,9,1745436000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-22-POLPIL-B/S-22-POLPIL-B_unmatched_2.fastq.gz,S-22-POLPIL-B,46af875cc01f01cf47ab5185782b6a16,1753555000,31,DNA,1000,1753555,true,0.7861846358179336,0.9323679851748873,0.8592763104964105,0.9323679851748873,1123,16551,2863722
