intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
7616000,0.009968234106909835,0.6967978042086002,0.009968234106909835,0.007047510121469951,7.516281512605042,6.0,6.244619334005329,signatures/2aff86d3dce82c19adaf5f4309d1a958.sig.gz,"GCA_000780515.1 Escherichia coli strain=blood-2011-0167, ASM78051v1",2aff86d3dce82c19adaf5f4309d1a958,0.6967978042086002,7616000,0,756411000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8618651055122833,0.9884140910560191,0.9251395982841513,0.9884140910560191,57244,57244,8122585
6275000,0.008213060533201052,0.9192792264869616,0.008213060533201052,0.0393851218546805,50.98151394422311,11.0,648.3348482958792,signatures/23224cba3f2a2a61aac4d313c936b241.sig.gz,"GCA_009102705.1 Bacteroides xylanisolvens strain=BIOML-A11, ASM910270v1",23224cba3f2a2a61aac4d313c936b241,0.9192792264869616,6275000,1,750136000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8564972413538354,0.9972886705220005,0.926892955937918,0.9972886705220005,319909,377153,8122585
5669000,0.00741989484664809,0.9074587889668679,0.0072772297314100155,0.007646211150760503,11.170323741007195,9.0,28.25894428794698,signatures/fa3a6b7b6d6c96a8c564e136ecffbb95.sig.gz,"GCA_021409585.1 Bacteroides thetaiotaomicron strain=VPI-0940-1, ASM2140958v1",fa3a6b7b6d6c96a8c564e136ecffbb95,0.9252488983189163,5560000,2,744576000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8536958166166531,0.9974969282955174,0.9255963724560852,0.9974969282955174,62107,439260,8122585
5482000,0.007175139098487357,0.8084415584415584,0.006843998968622837,0.005175569107617834,8.039586919104991,7.0,7.730382119177536,signatures/c135b6664d7b501cbded5876dd83912c.sig.gz,"GCA_015559525.1 Bacteroides congonensis strain=D55t1_190419_D3, ASM1555952v1",c135b6664d7b501cbded5876dd83912c,0.8475572047000618,5229000,3,739347000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8527725969973021,0.9946788226036759,0.923725709800489,0.9946788226036759,42039,481299,8122585
4968000,0.006502388004612402,0.9450296877992722,0.006457886959492269,0.04480580997305661,73.76145115524929,45.0,628.8679433682336,signatures/771bdba442770a95c1cd2a97743e7da7.sig.gz,"GCA_021410005.1 Bacteroides fragilis strain=BJH_64, ASM2141000v1",771bdba442770a95c1cd2a97743e7da7,0.9515418502202643,4934000,4,734413000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8500685794010814,0.9983989730198451,0.9242337762104633,0.9983989730198451,363939,845238,8122585
5037000,0.006592698949120908,0.919076229815997,0.00640684164303094,0.02515492297095075,41.74116445352401,36.0,45.5323859763489,signatures/d32b97fcad91bbcf164599dd51518901.sig.gz,"GCA_018288975.1 Parabacteroides distasonis strain=CL11T00C22, ASM1828897v1",d32b97fcad91bbcf164599dd51518901,0.9457378895981975,4895000,5,729518000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8504468980685779,0.9982019468047938,0.9243244224366858,0.9982019468047938,204323,1049561,8122585
4902000,0.006416003622908614,0.9410628019323671,0.00637412028632496,0.046902556267493664,78.22792607802874,71.5,67.98755321835577,signatures/f702151f4fae6ed64b14e7072592da43.sig.gz,"GCA_015551025.1 Phocaeicola dorei strain=1001275B_160808_H6, ASM1555102v1",f702151f4fae6ed64b14e7072592da43,0.9472463768115942,4870000,6,724648000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8497019208285531,0.9982532675080802,0.9239775941683166,0.9982532675080802,380970,1430531,8122585
4783000,0.006260249964988148,0.6745092378752887,0.006116275995481835,0.010318513133442125,17.935587417076825,13.0,34.75448298706164,signatures/9b683b90c62d251fed39090bf28a62e6.sig.gz,"GCA_015557085.1 Parabacteroides goldsteinii strain=1001713B170207_170306_B11, ASM1555708v1",9b683b90c62d251fed39090bf28a62e6,0.6903868360277137,4673000,7,719975000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8490285846306215,0.9881194217316397,0.9185740031811306,0.9881194217316397,83813,1514344,8122585
4807000,0.00629166246742589,0.7585920637556035,0.005980155151584957,0.12223190031252366,217.29897132851826,211.0,115.68574235332555,signatures/cf7ad2a0f171238a147ded6c95fb558d.sig.gz,"GCA_015546945.1 Bacteroides intestinalis strain=1001095IJ_161003_E8, ASM1554694v1",cf7ad2a0f171238a147ded6c95fb558d,0.7981072555205048,4569000,8,715406000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8491656788730203,0.9927518059402057,0.920958742406613,0.9927518059402057,992839,2507183,8122585
4469000,0.005849269724761036,0.8506029021050481,0.0054474514644115984,0.04980643477415133,97.20254685247477,82.5,422.71659719112773,signatures/541162962f74c58accb797e4434c1660.sig.gz,"GCA_019132285.1 Bacteroides uniformis strain=DFI.3.57, ASM1913228v1",541162962f74c58accb797e4434c1660,0.9133455957490292,4162000,9,711244000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19065028/SRR19065028_unmatched_2.fastq,SRR19065028,4fae8dbbec5d3eeb16ad395bc9356d23,764027000,31,DNA,1000,764027,true,0.8471708832376454,0.9970803690701623,0.9221256261539039,0.9970803690701623,404557,2911740,8122585
