intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5195000,0.009487510090181568,0.855566534914361,0.009487510090181568,0.006390872478982399,10.283734359961501,5.0,162.6630898629553,signatures/ef68cc6a6319ffa9e2f4ba12bd0ee899.sig.gz,"GCF_900461125.1 Blautia coccoides strain=NCTC11035, 49699_D02",ef68cc6a6319ffa9e2f4ba12bd0ee899,0.855566534914361,5195000,0,542367000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8604920193300256,0.9949806580616363,0.9277363386958309,0.9949806580616363,53424,53424,8359422
4405000,0.008044751096679462,0.8161218424962853,0.00802466204740285,0.00921834069389008,17.53755120619026,14.0,33.244786327259575,signatures/7002fcebf844f96d46aab14d98e07d37.sig.gz,"GCF_020297485.1 Enterocloster clostridioformis strain=FDAARGOS_1529, ASM2029748v1",7002fcebf844f96d46aab14d98e07d37,0.8181649331352154,4394000,1,537973000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8559253531559217,0.9935469966658758,0.9247361749108987,0.9935469966658758,77060,130484,8359422
4049000,0.007394596411000033,0.8096,0.0073927701337930685,0.16414149207923706,338.9644268774704,321.0,288.70111741557884,signatures/960cc77fc7b96d595712107aaa1524b5.sig.gz,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.8098,4048000,2,533925000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8536017674658253,0.9932176858586585,0.9234097266622419,0.9932176858586585,1372128,1502612,8359422
4134000,0.007549829973592032,0.6342249436029649,0.0071882270866130225,0.005967158973431416,12.673272357723578,10.0,25.77178526440175,signatures/12339c0d1522bf08ef0abca2a6195e89.sig.gz,"GCF_014287615.1 Blautia sp. NSJ-34 strain=NSJ-34, ASM1428761v1",12339c0d1522bf08ef0abca2a6195e89,0.6661295520464067,3936000,3,529989000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8541740244978008,0.9869799838824981,0.9205770041901494,0.9869799838824981,49882,1552494,8359422
3833000,0.00700012053429566,0.5564657694558222,0.006947158495293684,0.0022568546007128245,4.959516298633018,3.0,12.765145491082901,signatures/0f58288732b3804f3c8d60da453de357.sig.gz,GCF_025149285.1 Hungatella hathewayi strain=DSM 13479 ASM2514928v1,0f58288732b3804f3c8d60da453de357,0.5607080163838501,3804000,4,526185000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8520935439020346,0.9815100127561791,0.9168017783291069,0.9815100127561791,18866,1571360,8359422
3778000,0.006899675287912602,0.8,0.006888717624670813,0.07082032705132006,156.95042417815483,154.0,59.48043363581046,signatures/a979b53ddcfd88958a35250270db69a6.sig.gz,"GCA_900759525.1 uncultured Bacteroides sp., ERS608613_38",a979b53ddcfd88958a35250270db69a6,0.8012725344644751,3772000,5,522413000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8516963680204368,0.992878570445388,0.9222874692329124,0.992878570445388,592017,2163377,8359422
3690000,0.006738962893699709,0.754051282051282,0.006713395012802203,0.03241085328626788,73.70402611534277,69.0,62.840545527909384,signatures/5feebdfe795727335c87e462e7a7cc14.sig.gz,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",5feebdfe795727335c87e462e7a7cc14,0.7569230769230769,3676000,6,518737000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8510490965240657,0.9910565665459319,0.9210528315349988,0.9910565665459319,270936,2434313,8359422
3523000,0.006433974600136606,0.5679935012185215,0.006384665115548559,0.0023868875144716943,5.707379862700229,5.0,6.889651012597368,signatures/ee57b146d808065c374f21482d0a5cda.sig.gz,GCF_025149125.1 [Clostridium] asparagiforme DSM 15981 strain=DSM 15981 ASM2514912v1,ee57b146d808065c374f21482d0a5cda,0.5723801787164906,3496000,7,515241000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8497785905843446,0.9821625575517342,0.9159705740680394,0.9821625575517342,19953,2454266,8359422
3349000,0.00611620236612475,0.8042418332520722,0.006024888505776515,0.016134010222237854,40.88238860260685,36.0,36.47773497722623,signatures/d032ebaee27bc1c409ba1a161bba51c6.sig.gz,"GCF_024622975.1 Blautia caecimuris strain=DSM 29492, ASM2462297v1",d032ebaee27bc1c409ba1a161bba51c6,0.8164310092637738,3299000,8,511942000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8483912653992386,0.9934790040691023,0.9209351347341704,0.9934790040691023,134871,2589137,8359422
3294000,0.0060157571197416914,0.5049291435613062,0.005986536684430256,0.040591442805495405,103.51464307504575,101.0,53.40504736383066,signatures/514bdd6aa640f40cc6414be0e11ec2f6.sig.gz,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",514bdd6aa640f40cc6414be0e11ec2f6,0.5073937153419593,3278000,9,508664000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8479382042069691,0.9783516971105648,0.913144950658767,0.9783516971105648,339321,2928458,8359422
3179000,0.005805735240940752,0.6735784523300555,0.0057545994791457404,0.002054089385605847,5.4493811488416375,4.0,22.017892354113055,signatures/1d173544271fef8a51c6d94810f03490.sig.gz,"GCF_000466485.1 [Clostridium] symbiosum ATCC 14940 strain=ATCC 14940, ASM46648v1",1d173544271fef8a51c6d94810f03490,0.6795639162035058,3151000,10,505513000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8469667517733975,0.9876159030561558,0.9172913274147767,0.9876159030561558,17171,2945629,8359422
3204000,0.005851392171114869,0.48149882903981267,0.005632238906279106,0.0020107849561847697,5.450389105058366,3.0,31.191458315266914,signatures/77a5975adbf3dbbc2be7beba4b4c4989.sig.gz,"GCF_000233455.1 [Clostridium] citroniae WAL-17108 strain=WAL-17108, Clos_citr_WAL_17108_V1",77a5975adbf3dbbc2be7beba4b4c4989,0.5002341920374708,3084000,11,502429000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8471807976770018,0.9779033080658585,0.9125420528714301,0.9779033080658585,16809,2962438,8359422
3576000,0.006530767292105734,0.45969259723964867,0.005352818493613508,0.0020500221187541435,5.846809962470147,3.0,17.514980843997275,signatures/93f73424a62c9a7810069426678c2739.sig.gz,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",93f73424a62c9a7810069426678c2739,0.560853199498118,2931000,12,499498000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8501880071854285,0.9815182098136006,0.9158531084995145,0.9815182098136006,17137,2979575,8359422
2805000,0.005122707565535957,0.7256683104074747,0.005106271070673275,0.005247372366175556,15.688483547925609,13.0,14.533367324803107,signatures/2de6b86d95365c349243cb609e5c2a62.sig.gz,"GCF_000239295.1 Flavonifractor plautii ATCC 29863 strain=ATCC 29863, ASM23929v1",2de6b86d95365c349243cb609e5c2a62,0.7280041526083572,2796000,13,496702000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8435540001105504,0.9898119780485894,0.9166829890795699,0.9898119780485894,43865,3023440,8359422
2552000,0.004660659432173891,0.6459758022093635,0.004485336820305281,0.005431356378467315,18.48656351791531,16.0,19.311115984542177,signatures/a8487ccc34a799adb014d58e14274aaf.sig.gz,GCA_025758065.1 Lachnospiraceae bacterium ASM2575806v1,a8487ccc34a799adb014d58e14274aaf,0.6712256706996318,2456000,14,494246000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.8409857263837043,0.9872226587985465,0.9141041925911254,0.9872226587985465,45403,3068843,8359422
2358000,0.004306361654022741,0.762987012987013,0.004291751436367023,0.0011393132204595006,4.052765957446809,3.0,3.0902356187298468,signatures/9c491b6fcfb38f1249c728ca487866ad.sig.gz,"GCA_905199445.1 uncultured Lachnospiraceae bacterium, ERR1600560-mag-bin.9",9c491b6fcfb38f1249c728ca487866ad,0.7655844155844156,2350000,15,491896000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064976/SRR19064976_unmatched_2.fastq,SRR19064976,d99d996de5c0eb5140f210fcd63588a6,547562000,31,DNA,1000,547562,true,0.838843577696017,0.9914203782891733,0.9151319779925952,0.9914203782891733,9524,3078367,8359422
