intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5541000,0.009479670290189798,0.8535120147874307,0.009479670290189798,0.011945196107517323,12.251218191662154,6.0,122.78093928409574,signatures/514bdd6aa640f40cc6414be0e11ec2f6.sig.gz,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",514bdd6aa640f40cc6414be0e11ec2f6,0.8535120147874307,5541000,0,578973000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8604690730868646,0.9949034940700432,0.9276862835784538,0.9949034940700432,67884,67884,5682954
4506000,0.007708968476375245,0.7427184466019418,0.007590921688787608,0.006448055008011678,8.258733378408834,3.0,41.72216985920203,signatures/723b884481420dddcbc68522388758ed.sig.gz,"GCF_900106755.1 Bacteroides faecis MAJ27 strain=MAJ27, IMG-taxon 2693429916 annotated assembly",723b884481420dddcbc68522388758ed,0.7542684968195514,4437000,1,574536000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8547489763308782,0.9909442564250955,0.9228466163779869,0.9909442564250955,36644,104528,5682954
4348000,0.0074386584410296415,0.8676,0.007421550210944477,0.022591595849623277,29.59589672660212,23.0,122.65603399608257,signatures/960cc77fc7b96d595712107aaa1524b5.sig.gz,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.8696,4338000,2,570198000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8537653717019322,0.9955029825429986,0.9246341771224654,0.9955029825429986,128387,232915,5682954
3870000,0.006620885042958766,0.8212241303390577,0.006381369821766459,0.015698701766722025,23.91823056300268,18.0,45.69784215437459,signatures/2fc80b3803e2d9af5d93edb14dd1cc3b.sig.gz,GCF_025147485.1 Bacteroides uniformis strain=ATCC 8492 ASM2514748v1,2fc80b3803e2d9af5d93edb14dd1cc3b,0.8520475561426685,3730000,3,566468000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8505639450748195,0.9948483818945303,0.9227061634846749,0.9948483818945303,89215,322130,5682954
3742000,0.006401899697868657,0.831079532431813,0.006203444228880746,0.016829803654930166,26.37699944842802,19.0,57.317666114396644,signatures/a8c995daf67b413b45a7f31c15f510d6.sig.gz,GCF_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184 ASM2515121v1,a8c995daf67b413b45a7f31c15f510d6,0.8576667430666972,3626000,4,562842000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8496416034217803,0.9950593528859406,0.9223504781538605,0.9950593528859406,95643,417773,5682954
3378000,0.005779160122768659,0.6865641025641026,0.005726124609504648,0.003461404051484492,5.87720346579026,5.0,9.352578745865873,signatures/5feebdfe795727335c87e462e7a7cc14.sig.gz,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",5feebdfe795727335c87e462e7a7cc14,0.692923076923077,3347000,5,559495000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8468414127293838,0.9882363110758183,0.917538861902601,0.9882363110758183,19671,437444,5682954
3252000,0.005563596423695583,0.7536265793167992,0.005510560910431572,0.004520008432234363,7.974852530270103,6.0,20.44192721848308,signatures/b37a0141517537faad74a6d2ac4d5c41.sig.gz,"GCF_000190535.1 Odoribacter splanchnicus DSM 20712 strain=DSM 220712, ASM19053v1",b37a0141517537faad74a6d2ac4d5c41,0.7608797379503978,3221000,6,556274000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8458036132440554,0.9912232596912713,0.9185134364676634,0.9912232596912713,25687,463131,5682954
3133000,0.005360008485682122,0.8654696132596685,0.005360008485682122,0.010394770043889147,18.855090967124163,17.0,15.104426495049651,signatures/74059216b7cd65a7ff314267c1b83b8e.sig.gz,"GCF_005121165.3 Dysosmobacter welbionis strain=J115, ASM512116v3",74059216b7cd65a7ff314267c1b83b8e,0.8654696132596685,3133000,7,553141000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8447870998984824,0.9953501020227512,0.9200686009606168,0.9953501020227512,59073,522204,5682954
3117000,0.005332635317545859,0.6947979459700826,0.005324081202503276,0.007158952896680142,13.073264781491002,8.0,50.319944528603834,signatures/20e22b7a195404638366fe78b372a400.sig.gz,GCF_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850 ASM2514812v1,20e22b7a195404638366fe78b372a400,0.695914266577361,3112000,8,550029000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8446475849877882,0.9883736369961843,0.9165106109919863,0.9883736369961843,40684,562888,5682954
3065000,0.0052436725211030015,0.7827096774193548,0.005188926184830475,0.00956527186389332,17.922518958127267,15.0,34.50700694793498,signatures/873a8b7cc5e0a6e07152a8bfd5c774b1.sig.gz,"GCF_003473545.1 Clostridium sp. AM22-11AC strain=AM22-11AC, ASM347354v1",873a8b7cc5e0a6e07152a8bfd5c774b1,0.7909677419354839,3033000,9,546996000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064491/SRR19064491_unmatched_2.fastq,SRR19064491,fd9cf5d3c0420b656d04d5379dac2c27,584514000,31,DNA,1000,584514,true,0.8441893264196831,0.9924640838558484,0.9183267051377657,0.9924640838558484,54359,617247,5682954
