intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2340000,0.005116107210868886,0.7468879668049793,0.005116107210868886,0.010438948629046658,16.33803418803419,11.0,49.39020290648875,signatures/dff57ddcce4dd6b6a8940ac3baf34695.sig.gz,"GCF_000185845.1 Prevotella salivae DSM 15606 strain=DSM 15606, ASM18584v1",dff57ddcce4dd6b6a8940ac3baf34695,0.7468879668049793,2340000,0,455039000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8435189176693203,0.9906299786001135,0.9170744481347168,0.9906299786001135,38231,38231,3662342
2232000,0.00487997918575186,0.6992076069730586,0.004823133550075539,0.05303136626781442,88.0412511332729,87.0,79.56363096151459,signatures/33345282ddecaefe1682f1bd43bc7ffe.sig.gz,"GCF_000144405.1 Prevotella melaninogenica ATCC 25845 strain=ATCC 25845, ASM14440v1",33345282ddecaefe1682f1bd43bc7ffe,0.7074484944532489,2206000,1,452833000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8422341325186139,0.9888978803882006,0.9155660064534072,0.9888978803882006,194219,232450,3662342
2154000,0.0047094422787228975,0.7790235081374322,0.0047094422787228975,0.002670422369074215,4.540389972144847,4.0,3.076627836631562,signatures/bb2dbb46a577f5244bb32a0d740b2c37.sig.gz,GCF_030408675.1 Corynebacterium durum strain=DSM 45333 ASM3040867v1,bb2dbb46a577f5244bb32a0d740b2c37,0.7790235081374322,2154000,2,450679000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8412682512142436,0.99197706478914,0.9166226580016918,0.99197706478914,9780,242230,3662342
2124000,0.0046438511606348345,0.6761120263591434,0.004486432477223484,0.01663962568214547,29.697855750487328,27.0,21.527382609826834,signatures/ae975e88c05929ca5d0da00e93b1b561.sig.gz,"GCF_000220255.1 Prevotella pallens ATCC 700821 strain=ATCC 700821, ASM22025v1",ae975e88c05929ca5d0da00e93b1b561,0.699835255354201,2052000,3,448627000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8408877183643839,0.9885527875129758,0.9147202529386799,0.9885527875129758,60940,303170,3662342
2040000,0.004460196029988259,0.6724934036939314,0.004458009659385324,0.001581774722295187,2.8410985777341833,2.0,2.576206435331379,signatures/addc21e0789598ec415298641d9774f5.sig.gz,"GCF_005696555.1 Actinomyces sp. oral taxon 171 str. F0337 strain=F0337, ASM569655v1",addc21e0789598ec415298641d9774f5,0.6728232189973615,2039000,4,446588000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8397938849695157,0.9872983663505247,0.9135461256600201,0.9872983663505247,5793,308963,3662342
2023000,0.004423027729738357,0.7434766629915472,0.004423027729738357,0.007755146843194873,14.039545229856648,9.0,51.61297872725575,signatures/9b46f9ea46e94d34715c93e7cb3adcda.sig.gz,GCF_001815675.1 Neisseria sp. HMSC065D04 strain=HMSC065D04 ASM181567v1,9b46f9ea46e94d34715c93e7cb3adcda,0.7434766629915472,2023000,5,444565000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8395672186321519,0.9904837015056087,0.9150254600688803,0.9904837015056087,28402,337365,3662342
2052000,0.004486432477223484,0.5703745743473326,0.004394604911900197,0.002532532461468645,4.614427860696518,3.0,12.55162833764559,signatures/927a443f638861aea914b9c26b38bdb5.sig.gz,"GCF_000613445.1 Prevotella shahii DSM 15611 = JCM 12083 strain=JCM 12083, ASM61344v1",927a443f638861aea914b9c26b38bdb5,0.5822928490351873,2010000,6,442555000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8399527868219421,0.9827067020768286,0.9113297444493853,0.9827067020768286,9275,346640,3662342
2048000,0.004477686994811742,0.6615437158469946,0.0042349998578859105,0.017789436377050532,33.635002581311305,33.0,24.105932824272482,signatures/eacfb5d41d7cf4b700ce1526b366572b.sig.gz,GCA_000613925.1 Prevotella histicola JCM 15637 = DNF00424 strain=JCM 15637 ASM61392v1,eacfb5d41d7cf4b700ce1526b366572b,0.6994535519125683,1937000,7,440618000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8398999196861774,0.9885353901641408,0.914217654925159,0.9885353901641408,65151,411791,3662342
1916000,0.004189086075224267,0.7402396598376498,0.004186899704621332,0.005483649533549843,10.487206266318537,10.0,6.921131095531084,signatures/eb948218f0408dc18f5b24385de1af7d.sig.gz,GCF_002355935.1 Rothia aeria strain=JCM 11412 ASM235593v1,eb948218f0408dc18f5b24385de1af7d,0.7406262079628914,1915000,8,438703000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8380967768597158,0.9903609746942826,0.9142288757769992,0.9903609746942826,20083,431874,3662342
2230000,0.00487560644454599,0.5861852433281005,0.004081953915680431,0.007066243403811004,13.861274772362078,3.0,39.835649709396094,signatures/6a4cd333b22b8dc71d2bab8cbbfd6038.sig.gz,"GCF_018127785.1 Prevotella scopos JCM 17725 strain=W2052, ASM1812778v1",6a4cd333b22b8dc71d2bab8cbbfd6038,0.7001569858712716,1867000,9,436836000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8422097771156798,0.9885674442745184,0.915388610695099,0.9885674442745184,25879,457753,3662342
1819000,0.003977008126739531,0.8808716707021792,0.003977008126739531,0.017625333734533805,35.48653106102254,27.0,52.90474194939162,signatures/9630f7633372e1686a36cdb947c1b8a2.sig.gz,"GCF_001073155.1 Streptococcus parasanguinis strain=512_SPAR, ASM107315v1",9630f7633372e1686a36cdb947c1b8a2,0.8808716707021792,1819000,10,435017000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8366933900090409,0.9959166394596353,0.9163050147343381,0.9959166394596353,64550,522303,3662342
1803000,0.003942026197092564,0.72,0.003935467085283758,0.00215135560796889,4.377222222222223,4.0,3.2742145886974985,signatures/09d719285d29084500b86f4107ce2647.sig.gz,"GCA_015256945.1 Prevotellaceae bacterium, ASM1525694v1",09d719285d29084500b86f4107ce2647,0.7212,1800000,11,433217000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8364549675755854,0.9895121978801856,0.9129835827278855,0.9895121978801856,7879,530182,3662342
1723000,0.0037671165488577306,0.5627041149575441,0.0037671165488577306,0.013505565564330147,28.706906558328498,28.0,17.950195297219803,signatures/5bb167c321b3d5ddc328e1d5bcda4a1e.sig.gz,"GCF_900637555.1 Lautropia mirabilis strain=NCTC12852, 51726_E01",5bb167c321b3d5ddc328e1d5bcda4a1e,0.5627041149575441,1723000,12,431494000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8352312668671316,0.9816225331544701,0.9084269000108008,0.9816225331544701,49462,579644,3662342
1735000,0.003793352996092956,0.75,0.0037452528428283767,0.017287571723230654,36.96030356100409,36.0,29.048455810306148,signatures/9c3e18fe8819a5356cca94ed98c26da2.sig.gz,"GCF_002094975.1 Streptococcus salivarius strain=ATCC 25975, ASM209497v1",9c3e18fe8819a5356cca94ed98c26da2,0.7596322241681261,1713000,13,429781000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8354182841156162,0.991170792972961,0.9132945385442885,0.991170792972961,63313,642957,3662342
1706000,0.0037299482486078286,0.7075197341088492,0.0037233891367990223,0.006212691223266424,13.360540223135644,12.0,8.71236148762952,signatures/28e3cd66731f957607c3ae87279be4bb.sig.gz,"GCA_905369775.1 Prevotellaceae bacterium UBA1746, DRR046098-mag-bin.1",28e3cd66731f957607c3ae87279be4bb,0.7087660988782717,1703000,14,428078000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8349641565971758,0.988957239704036,0.9119606981506059,0.988957239704036,22753,665710,3662342
1681000,0.003675288983534443,0.7446808510638298,0.0036731026129315078,0.0022398235882940478,4.882738095238095,4.0,5.398517179830927,signatures/788aae5375cbd2a3770dcd29301a45eb.sig.gz,"GCF_007990445.1 Leptotrichia wadei strain=JMUB3936, ASM799044v1",788aae5375cbd2a3770dcd29301a45eb,0.7451241134751773,1680000,15,426398000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8345666306973198,0.990554425282632,0.912560527989976,0.990554425282632,8203,673913,3662342
1710000,0.0037386937310195704,0.8013435700575816,0.0036512389069021534,0.005261387385448983,11.538323353293412,7.0,18.928783128394457,signatures/9403291063dff800b731730fe99af225.sig.gz,"GCF_001073085.1 Streptococcus pseudopneumoniae strain=469_SPSE, ASM107308v1",9403291063dff800b731730fe99af225,0.8205374280230326,1670000,16,424728000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8350272370593701,0.9936398040451192,0.9143335205522447,0.9936398040451192,19269,693182,3662342
1664000,0.003638120683284541,0.8148873653281097,0.003638120683284541,0.030496059625234346,67.11959134615384,66.0,59.17992854931672,signatures/c64242b3a6215455e5c7b11a8f869a61.sig.gz,"GCF_002959915.1 Veillonella atypica KON strain=ATCC 17744, ASM295991v1",c64242b3a6215455e5c7b11a8f869a61,0.8148873653281097,1664000,17,423064000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8342930316012295,0.9934183552608558,0.9138556934310427,0.9934183552608558,111687,804869,3662342
2000000,0.004372741205870842,0.4553274139844617,0.0035878341594170263,0.055922139439735556,124.80560633759903,126.0,88.92038832080931,signatures/052d4e1d04265a0bb026713fab8042a8.sig.gz,"GCF_900187995.1 Prevotella jejuni strain=DSM 26989, IMG-taxon 2724679806 annotated assembly",052d4e1d04265a0bb026713fab8042a8,0.5549389567147613,1641000,18,421423000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8392576006203288,0.9811826172573713,0.9102201089388501,0.9811826172573713,204806,1009675,3662342
1681000,0.003675288983534443,0.42677376171352077,0.0034850747410790613,0.0012456510069239848,2.86198243412798,2.0,4.766810452680784,signatures/09a6e918f95c4fa2bb401566734bc7cd.sig.gz,"GCF_003892345.1 Lautropia dentalis strain=KCOM 2505, ASM389234v1",09a6e918f95c4fa2bb401566734bc7cd,0.4500669344042838,1594000,19,419829000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8345666306973198,0.9745752782199983,0.9045709544586591,0.9745752782199983,4562,1014237,3662342
1591000,0.003478515629270255,0.6369095276220976,0.003478515629270255,0.0015798633770412484,3.636706473915776,3.0,2.3346670498739246,signatures/d12d14b14ad46ef5c40f58ed400bc280.sig.gz,"GCA_015258065.1 Lachnospiraceae bacterium, ASM1525806v1",d12d14b14ad46ef5c40f58ed400bc280,0.6369095276220976,1591000,20,418238000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8330865591561477,0.9855528706867978,0.9093197149214727,0.9855528706867978,5786,1020023,3662342
1699000,0.0037146436543872806,0.5347575449304849,0.0034479064408291593,0.0029898900758039528,6.943563728598605,6.0,8.552793162251106,signatures/ab8f9c85a3098c70e9af1a8b971c887b.sig.gz,"GCF_000599605.1 Prevotella sp. HJM029 strain=HJM029, HJM029",ab8f9c85a3098c70e9af1a8b971c887b,0.576127500847745,1577000,21,416661000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5a1b5955c7ee94b4997fe71bc,457379000,31,DNA,1000,457379,true,0.8348534205876079,0.9823693268491268,0.9086113737183674,0.9823693268491268,10950,1030973,3662342
