intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2367000,0.00538047480928524,0.6648876404494382,0.00538047480928524,0.006706715704743854,8.88888888888889,6.0,31.39067762997785,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCA_916438425.1 Prevotella shahii, DRR214959_bin.23_metaWRAP_v1.1_MAG",57718a9dfbdaeed4e864a376d1dadc2c,0.6648876404494382,2367000,0,311961000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8448909624074552,0.9869205723549467,0.915905767381201,0.9869205723549467,False,21040,21040,3137154
2284000,0.005191805857375365,0.8563929508811399,0.005191805857375365,0.008048696366196878,11.055166374781086,10.0,6.1393283401314465,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCA_015260065.1 Rothia dentocariosa, ASM1526006v1",815d096419b228d333ebcfd80b8b80c3,0.8563929508811399,2284000,1,309677000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8439186701720394,0.9950116461619678,0.9194651581670036,0.9950116461619678,False,25250,46290,3137154
2278000,0.005178167137960193,0.6593925095841935,0.005082696102053991,0.050547406980977025,70.91905187835421,79.0,49.53555466013749,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCF_019375485.1 Prevotella melaninogenica strain=SCHI0034.S.9, ASM1937548v1",7f8a2644f32c4925ef6a42002a33b281,0.6717782365084046,2236000,2,307441000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.843847064620982,0.9872488645089578,0.9155479645649699,0.9872488645089578,False,158575,204865,3137154
2147000,0.004880388430728944,0.7776157491797302,0.004848564752093543,0.014093028267021638,20.727613689639007,20.0,7.655766223669993,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,GCA_015261515.1 Prevotella pallens ASM1526151v1,18eb3cf91fdaf46ca62915d98f31eaf9,0.7827196500182282,2133000,3,305308000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8422364108605794,0.9921285404730347,0.917182475666807,0.9921285404730347,False,44212,249077,3137154
2189000,0.004975859466635146,0.6266068759342301,0.004764459315699985,0.0035672459815488814,5.339217557251908,3.0,13.899067330948006,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCF_019391785.1 Prevotella salivae strain=SCHI0034.S.8, ASM1939178v1",22248a518982ac1ec5fa508b6b782e30,0.6544095665171898,2096000,4,303212000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8427629269252337,0.986414995495733,0.9145889612104834,0.986414995495733,False,11191,260268,3137154
2189000,0.004975859466635146,0.7946257197696737,0.00470535819823424,0.005999705465527035,9.092753623188406,8.0,16.958348966333254,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,GCA_937927245.1 Rothia aeria ERR589473_bin.57_CONCOCT_v1.1_MAG,5d091fd4548d94b0fcd433e8a9d78932,0.8403071017274473,2070000,5,301142000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8427629269252337,0.9944032092127346,0.9185830680689842,0.9944032092127346,False,18822,279090,3137154
2069000,0.004703085078331712,0.7603822124219037,0.004703085078331712,0.015445846777046968,23.420009666505557,16.0,81.431655722436,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,GCA_001815675.1 Neisseria sp. HMSC065D04 strain=HMSC065D04 ASM181567v1,9b46f9ea46e94d34715c93e7cb3adcda,0.7603822124219037,2069000,6,299073000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8412315945404146,0.9912023452345923,0.9162169698875035,0.9912023452345923,False,48456,327546,3137154
2003000,0.004553059164764823,0.7240506329113924,0.004550786044862295,0.001955912907048873,3.064935064935065,3.0,2.110763818356364,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,GCA_030408675.1 Corynebacterium durum strain=DSM 45333 ASM3040867v1,bb2dbb46a577f5244bb32a0d740b2c37,0.7244122965641953,2002000,7,297071000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.840352306818392,0.9896540660934913,0.9150031864559416,0.9896540660934913,False,6136,333682,3137154
2080000,0.004728089397259527,0.8741779921087243,0.004532601085642065,0.005442193784557596,8.562186559679038,7.0,10.890647963850334,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCA_015262495.1 Prevotella histicola, ASM1526249v1",1e8a1cdb7e7cea0872bcba13de47ef35,0.9118807540552389,1994000,8,295077000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8413754980176577,0.9970287439256358,0.9192021209716468,0.9970287439256358,False,17073,350755,3137154
1912000,0.004346205253634719,0.855098389982111,0.004346205253634719,0.00674656073625968,11.069560669456067,6.0,51.03987564721469,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCF_003943175.1 Streptococcus gordonii strain=BCA10, ASM394317v1",8be1e108eaf08512b9126762a8e730fe,0.855098389982111,1912000,9,293165000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8390928250002125,0.9949630911873731,0.9170279580937928,0.9949630911873731,False,21165,371920,3137154
1893000,0.004303015975486675,0.7924369747899159,0.0042871041361689744,0.01150118865698018,19.130965005302226,18.0,15.416945608652641,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs220-k31.zip,"GCF_003942515.1 Streptococcus salivarius strain=BCC42, ASM394251v1",3f92e4eed5cba0c384354e6dc6b52f2f,0.7953781512605042,1886000,10,291279000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ6/GQ6_unmatched_2.fastq,GQ6,444e88cd,439924000,31,DNA,1000,439924,True,0.8388225468707058,0.9926421183600089,0.9157323326153574,0.9926421183600089,False,36081,408001,3137154
