intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4638000,0.019429026244685083,0.7274153074027604,0.019429026244685083,0.008373223840494246,4.534066407934454,4.0,17.012640948082186,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",93f73424a62c9a7810069426678c2739,0.7274153074027604,4638000,0,137110000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8806204023905301,0.989786141866994,0.935203272128762,0.989786141866994,False,21029,21029,2511458
4517000,0.0189221456548604,0.8194192377495463,0.018913767463293048,0.16159816329797272,89.88859357696568,90.0,59.928859565020474,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.8197822141560799,4515000,1,132595000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8798697753627693,0.9936102897555931,0.9367400325591813,0.9936102897555931,False,405847,426876,2511458
4492000,0.01881741826026852,0.7242658922232978,0.018804850972917495,0.005173488865830128,2.894408554243707,2.0,3.396889987167859,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_020215665.1 Blautia sp. NBRC 113351 strain=NBRC 113351, ASM2021566v1",dbd6c540cf449ec70979210a14f4ba9c,0.7247499193288157,4489000,2,128106000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8797122638285019,0.9896689415295872,0.9346906026790445,0.9896689415295872,False,12993,439869,2511458
4224000,0.017694740590243598,0.6916321458160729,0.01748528580105984,0.005633779262882358,3.3897939626257787,3.0,2.7739809130718927,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_003434055.1 Enterocloster aldensis strain=AF19-9LB, ASM343405v1",420d475a10a0d7f2dd3f44da9d2fe498,0.699917149958575,4174000,3,123932000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8779683195108045,0.9885565189236865,0.9332624192172454,0.9885565189236865,False,14149,454018,2511458
4200000,0.017594202291435393,0.66,0.01741826026852104,0.05920425505821718,35.75974025974026,34.0,20.798310998364155,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.6666666666666666,4158000,4,119774000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8778069575015657,0.9870056455892898,0.9324063015454278,0.9870056455892898,False,148689,602707,2511458
3674000,0.015390737909222294,0.6186086956521739,0.014900613702532308,0.02252874625018615,15.906662918189486,13.0,15.803732011288751,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",c08f8e47dd318b08d89c36c36e6da9e1,0.6389565217391304,3557000,5,116217000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8740262942107916,0.9856548900462013,0.9298405921284965,0.9856548900462013,False,56580,659287,2511458
3554000,0.014888046415181284,0.7692646411272567,0.014636700668160777,0.06876165159839424,49.425300515168864,47.0,24.90363800474419,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",2fc80b3803e2d9af5d93edb14dd1cc3b,0.7824746807573756,3494000,6,112723000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8730905369175945,0.992118522557135,0.9326045297373647,0.992118522557135,False,172692,831979,2511458
3541000,0.014833588169993507,0.7545293857711003,0.014305762101250445,0.015803967257266495,11.622547584187409,10.0,23.215323256844194,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.7823685373398144,3415000,7,109308000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.872987333672723,0.9921141809237828,0.9325507572982529,0.9921141809237828,False,39691,871670,2511458
3128000,0.013103491611335694,0.665397536394177,0.012445803573298704,0.007355886500988669,6.218108381016493,4.0,14.287459292059204,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",a65db27ac6f6490cca7eeb016c93eea7,0.7005599104143337,2971000,8,106337000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8695019283778083,0.9885857907228641,0.9290438595503362,0.9885857907228641,False,18474,890144,2511458
2793000,0.011700144523804537,0.7243706202958733,0.011691766332237187,0.007383360581781579,6.64385524901469,6.0,4.967612486391049,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000239295.1 Flavonifractor plautii ATCC 29863 strain=ATCC 29863, ASM23929v1",2de6b86d95365c349243cb609e5c2a62,0.7248896963405139,2791000,9,103546000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091526/SRR5091526_unmatched_2.fastq,SRR5091526,2d5bda94,238715000,31,DNA,1000,238715,True,0.8663304671295374,0.9896750980496305,0.928002782589584,0.9896750980496305,False,18543,908687,2511458
