intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3139000,0.033754865905327225,0.5361229718189582,0.033754865905327225,0.06627085530295768,6.3864287989805675,5.0,5.250290480801306,signatures/7f5a3153366e663e263351e2ee1983fa.sig.gz,"GCF_904063055.1 Pseudomonas sp. V5/DAB/2/5 strain=V5/DAB/2/5, V5",7f5a3153366e663e263351e2ee1983fa,0.5361229718189582,3139000,0,89855000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.896451875637894,0.9800914353459071,0.9382716554919006,0.9800914353459071,20047,20047,302501
2756000,0.02963632062283588,0.43092880716643095,0.029485773275695206,0.04411225086859217,4.866520787746171,4.0,3.957153205398733,signatures/bb217474c348bbe1c7ce2dad76cea683.sig.gz,"GCF_001457615.1 Pseudomonas aeruginosa strain=NCTC10332, NCTC10332",bb217474c348bbe1c7ce2dad76cea683,0.4331290271884331,2742000,1,87113000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8926968641205935,0.9733700454250724,0.933033454772833,0.9733700454250724,13344,33391,302501
1664000,0.017893627545863173,0.49129022733982874,0.017893627545863173,0.03216518292501512,5.847355769230769,4.0,4.414875175555472,signatures/c0ba521bc765653682e48605efbb39c4.sig.gz,"GCF_000092125.1 Meiothermus silvanus DSM 9946 strain=DSM 9946, ASM9212v1",c0ba521bc765653682e48605efbb39c4,0.49129022733982874,1664000,2,85449000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8782849321075822,0.977334355199496,0.927809643653539,0.977334355199496,9730,43121,302501
1513000,0.0162698668731316,0.3299038246477298,0.015861238359464052,0.022951990241354574,4.707118644067797,4.0,3.8123328197176694,signatures/71f25748ff29c1c5734ec98980e907cb.sig.gz,"GCF_000219605.1 Pseudomonas stutzeri strain=CGMCC 1.1803, ASM21960v1",71f25748ff29c1c5734ec98980e907cb,0.33840304182509506,1475000,3,83974000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8755938644154818,0.9656515900444543,0.9206227272299681,0.9656515900444543,6943,50064,302501
1386000,0.014904187366926898,0.5703703703703704,0.014904187366926898,0.021394970595138528,4.66955266955267,4.0,3.6625966315729834,signatures/ff021938b2e5aeb2c3d43194bd8f6fed.sig.gz,"GCF_003030305.1 Cutibacterium acnes strain=ATCC 6919, ASM303030v1",ff021938b2e5aeb2c3d43194bd8f6fed,0.5703703703703704,1386000,4,82588000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8731210552843223,0.9820511202234897,0.9275860877539059,0.9820511202234897,6472,56536,302501
1514000,0.01628062025507022,0.38792134831460673,0.0148504204572338,0.01933547327116274,4.235336712527154,4.0,3.2005742117449523,signatures/48a642d008b08a0744ec69f753c17953.sig.gz,"GCF_003226535.1 Meiothermus sp. Pnk-1 strain=Pnk-1, ASM322653v1",48a642d008b08a0744ec69f753c17953,0.42528089887640447,1381000,5,81207000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8756125266324611,0.9727960589450351,0.9242042927887482,0.9727960589450351,5849,62385,302501
699000,0.007516613975095167,0.1580519182173214,0.007398326773770351,0.008224766199120003,3.616279069767442,3.0,2.9577199131950893,signatures/f9f1049741b44f56fdab607d19ee11af.sig.gz,"GCF_001447195.1 Aquabacterium parvum strain=B6, ASM144719v1",f9f1049741b44f56fdab607d19ee11af,0.160578911095796,688000,6,80519000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8540525399525761,0.9427076875571244,0.8983801137548503,0.9427076875571244,2488,64873,302501
506000,0.005441211260941566,0.20926385442514475,0.005441211260941566,0.0056495681006013205,3.377470355731225,2.0,2.2408810211828536,signatures/135a55a222701c6da9d4adf08fa15f14.sig.gz,GCA_026414605.1 Bacteroidia bacterium ASM2641460v1,135a55a222701c6da9d4adf08fa15f14,0.20926385442514475,506000,7,80013000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8451969519909902,0.950795046237304,0.8979959991141471,0.950795046237304,1709,66582,302501
458000,0.004925048927887821,0.053353658536585365,0.004892788782071961,0.005110726906687912,3.3978021978021977,2.0,2.6943154657549195,signatures/ad7114bd75e568ad37fbc58a859476e9.sig.gz,"GCF_009455635.1 Paraburkholderia agricolaris strain=BaQS159, ASM945563v1",ad7114bd75e568ad37fbc58a859476e9,0.053705440900562854,455000,8,79558000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8424839396466021,0.9099820966986492,0.8762330181726257,0.9099820966986492,1546,68128,302501
399000,0.004290599393509259,0.1196043165467626,0.004290599393509259,0.0054545274230498415,4.135338345864661,4.0,2.6399151887547085,signatures/ecc086bafd9157ba0cd2d2984de44bf0.sig.gz,"GCF_014201465.1 Anoxybacillus tepidamans strain=DSM 16325, ASM1420146v1",ecc086bafd9157ba0cd2d2984de44bf0,0.1196043165467626,399000,9,79159000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002452/SRR20002452_unmatched_2.fastq,SRR20002452,d9c0e2a5b5d4d9ba6969bb841672cca8,92994000,31,DNA,1000,92994,true,0.8387443580601835,0.9337914615891874,0.8862679098246855,0.9337914615891874,1650,69778,302501
