intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3538000,0.014339561463948446,0.7899084617102031,0.014339561463948446,0.05116460971399375,20.633408705483323,17.0,46.65357557499623,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM2514812v1",20e22b7a195404638366fe78b372a400,0.7899084617102031,3538000,0,145245000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8720339940826151,0.992421180942773,0.932227587512694,0.992421180942773,False,73001,73001,1426787
2961000,0.012000972723219714,0.762486427795874,0.011384914684067604,0.03161719303582104,16.05945176219295,14.0,15.260023132374672,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_001487165.1 Blautia massiliensis strain=GD9, Blautia massiliensis1",f9be5cc1d2e4e2f448a63153f292a0b5,0.8037459283387622,2809000,1,142436000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8670402128410973,0.9929772891892571,0.9300087510151772,0.9929772891892571,False,45111,118112,1426787
2713000,0.010995825396182062,0.7373167981961668,0.010602683094881044,0.02907441685409245,15.857415902140673,14.0,13.992268181306647,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_015557635.1 Fusicatenibacter saccharivorans strain=D41t1_190614_C8, ASM1555763v1",7e75980e185a634bb1b9c7535e692c2d,0.7646561443066516,2616000,2,139820000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8645971530038743,0.991381578184071,0.9279893655939726,0.991381578184071,False,41483,159595,1426787
2604000,0.010554046933895351,0.9210526315789473,0.01049730474607871,0.008679641740498055,4.781467181467182,4.0,2.8289942838735738,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_000980705.1 Ruminococcus sp. UNK.MGS-30, ASM98070v1",3085eeec4919397105926f4ea1ff090f,0.9260312944523471,2590000,3,137230000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8634542336592292,0.9975241265076296,0.9304891800834294,0.9975241265076296,False,12384,171979,1426787
2769000,0.011222794147448627,0.7146853146853147,0.010355449276537105,0.049685061610457625,27.74559686888454,30.0,16.10188497631624,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_025147765.1 Blautia obeum ATCC 29174 strain=ATCC 29174, ASM2514776v1",6fb5d9fae55cc8ecb2a67f82352fb7a7,0.7745454545454545,2555000,4,134675000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8651671720003434,0.9917926101827771,0.9284798910915603,0.9917926101827771,False,70890,242869,1426787
2518000,0.010205487780164552,0.5734620024125452,0.009634012888582661,0.007524598976581648,4.516617585191418,2.0,16.37031484363309,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_020554845.1 Blautia faecis strain=DFI.3.66, ASM2055484v1",928b2d7b80c57c283b973481c1cf1d26,0.6074788902291918,2377000,5,132298000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8625193187324894,0.9840499309142423,0.9232846248233659,0.9840499309142423,False,10736,253605,1426787
2318000,0.009394885097069672,0.7346740188128447,0.009180075386049528,0.02371762568624469,14.940397350993377,15.0,6.516914776837127,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_001404675.1 Coprococcus eutactus strain=2789STDY5834963, 14207_7#86",2f02bbf17e3ba9ba81a105840505bb1c,0.751865066493675,2265000,6,130033000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8602197360223907,0.9908422415294411,0.9255309887759159,0.9908422415294411,False,33840,287445,1426787
2337000,0.009471892351963685,0.6460953495174028,0.008953106634782961,0.010797687391320499,6.974196468990494,5.0,9.330254948336908,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_025149785.1 Coprococcus comes ATCC 27758 strain=ATCC 27758, ASM2514978v1",8c91537000df08516afde1ea4eac7752,0.6835331968411816,2209000,7,127824000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8604462897513177,0.9878014626474898,0.9241238761994037,0.9878014626474898,False,15406,302851,1426787
2195000,0.00889636444696632,0.6383363471971067,0.00858428241397479,0.06456464770144388,43.493862134088765,42.0,21.081829644852267,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_000020605.1 [Eubacterium] rectale ATCC 33656 strain=ATCC 33656, ASM2060v1",c7f0f63b1e20051e05be14074e3f6057,0.661543098251959,2118000,8,125706000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8587081140777684,0.9867600379205571,0.9227340759991627,0.9867600379205571,False,92120,394971,1426787
2211000,0.00896121266161391,0.6551831160769708,0.00855591132006647,0.013784818616934412,9.316911416390337,9.0,5.303797083844844,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000173975.1 Anaerobutyricum hallii DSM 3353 strain=DSM 3353, ASM17397v1",d857a1209d50af1cfcfc6c682397f261,0.686219739292365,2111000,9,123595000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/NAFLD/preproc/NS62/NS62_unmatched_2.fastq,NS62,4cd5b4ea,246730000,31,DNA,1000,246730,True,0.8589093206409103,0.9879264647934064,0.9234178927171584,0.9879264647934064,False,19668,414639,1426787
